,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
88873,USC00040029,41.1936,-120.9447,1278.6,CA,ADIN RS,,,
88883,USC00040136,32.8358,-116.7775,516.6,CA,ALPINE,,,
88887,USC00040176,34.5592,-115.7442,197.5,CA,AMBOY,,,
88925,USC00040521,34.8928,-117.0219,676.7,CA,BARSTOW,,,
88949,USC00040741,34.2431,-116.9169,2058.3,CA,BIG BEAR LAKE,,,
88967,USC00040924,33.6131,-114.5972,81.7,CA,BLYTHE,,HCN,
88968,USC00040931,39.3886,-120.0936,1699.3,CA,BOCA,,,
88969,USC00040943,38.2119,-119.0142,2551.2,CA,BODIE CALIFORNIA ST HISTORIC P,,,
88972,USC00040983,33.2558,-116.4036,246.9,CA,BORREGO DESERT PARK,,,
88979,USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,,
88989,USC00041072,38.2575,-119.2286,1972.1,CA,BRIDGEPORT,,,
88998,USC00041149,40.8669,-121.8464,1158.2,CA,BUCKHORN,,,
88999,USC00041159,39.9372,-121.3147,576.4,CA,BUCKS CREEK,,,
89004,USC00041194,34.1867,-118.3481,199.6,CA,BURBANK VALLEY PUMP PLT,,,
89016,USC00041277,38.2769,-120.3114,1431.0,CA,CALAVERAS BIG TREES,,,
89027,USC00041424,32.6264,-116.4700,801.6,CA,CAMPO,,,
89028,USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,,
89035,USC00041497,40.1706,-121.0886,1389.9,CA,CANYON DAM,,,
89050,USC00041614,41.5300,-120.1792,1428.9,CA,CEDARVILLE,,HCN,
89057,USC00041697,37.9747,-119.9161,1452.4,CA,CHERRY VALLEY DAM,,,
89058,USC00041700,40.3033,-121.2422,1380.7,CA,CHESTER,,,
89059,USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIV FARM,,HCN,
89090,USC00041907,40.4000,-122.1433,128.0,CA,COLEMAN FISHERIES STN,,,
89093,USC00041912,39.0911,-120.9481,725.4,CA,COLFAX,,HCN,
89094,USC00041916,39.3308,-121.1922,181.4,CA,COLGATE POWERHOUSE,,,
89096,USC00041948,39.1875,-122.0269,15.2,CA,COLUSA 2 SSW,,,
89103,USC00041990,41.9797,-122.3378,823.9,CA,COPCO #1 DAM,,,
89130,USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,HCN,
89135,USC00042294,38.5350,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,HCN,
89138,USC00042319,36.4622,-116.8669,-59.1,CA,DEATH VALLEY,,HCN,
