,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
88883,USC00040136,32.8358,-116.7775,516.6,CA,ALPINE,,,
88889,USC00040192,33.8647,-117.8425,71.6,CA,ANAHEIM,,,
88891,USC00040212,38.5731,-122.4406,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,,
88903,USC00040343,36.4914,-118.8253,520.6,CA,ASH MTN,,,
88907,USC00040383,38.9072,-121.0839,393.8,CA,AUBURN,,,
88919,USC00040449,36.9092,-119.0883,528.8,CA,BALCH PWR HOUSE,,,
88925,USC00040521,34.8928,-117.0219,676.7,CA,BARSTOW,,,
88935,USC00040673,37.0856,-122.0797,128.0,CA,BEN LOMOND #4,,,
88943,USC00040693,37.8744,-122.2606,94.5,CA,BERKELEY,,HCN,
88949,USC00040741,34.2431,-116.9169,2058.3,CA,BIG BEAR LAKE,,,
88968,USC00040931,39.3886,-120.0936,1699.3,CA,BOCA,,,
88969,USC00040943,38.2119,-119.0142,2551.2,CA,BODIE CALIFORNIA ST HISTORIC P,,,
88972,USC00040983,33.2558,-116.4036,246.9,CA,BORREGO DESERT PARK,,,
88979,USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,,
88989,USC00041072,38.2575,-119.2286,1972.1,CA,BRIDGEPORT,,,
89004,USC00041194,34.1867,-118.3481,199.6,CA,BURBANK VALLEY PUMP PLT,,,
89010,USC00041244,35.4028,-119.4700,68.6,CA,BUTTONWILLOW,,,
89013,USC00041253,34.5822,-119.9817,242.3,CA,CACHUMA LAKE,,,
89016,USC00041277,38.2769,-120.3114,1431.0,CA,CALAVERAS BIG TREES,,,
89035,USC00041497,40.1706,-121.0886,1389.9,CA,CANYON DAM,,,
89039,USC00041534,36.4806,-121.7244,146.3,CA,CARMEL VALLEY,,,
89057,USC00041697,37.9747,-119.9161,1452.4,CA,CHERRY VALLEY DAM,,,
89058,USC00041700,40.3033,-121.2422,1380.7,CA,CHESTER,,,
89059,USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIV FARM,,HCN,
89065,USC00041758,32.6400,-117.0858,17.1,CA,CHULA VISTA,,HCN,
89074,USC00041806,38.9239,-122.5672,411.2,CA,CLEARLAKE 4 SE,,,
89079,USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,,
89096,USC00041948,39.1875,-122.0269,15.2,CA,COLUSA 2 SSW,,,
89103,USC00041990,41.9797,-122.3378,823.9,CA,COPCO #1 DAM,,,
89105,USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIG DIST,,,
89126,USC00042214,34.0050,-118.4139,28.0,CA,CULVER CITY,,,
89130,USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,HCN,
89135,USC00042294,38.5350,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,HCN,
89138,USC00042319,36.4622,-116.8669,-59.1,CA,DEATH VALLEY,,HCN,
89151,USC00042402,39.8717,-121.6108,826.0,CA,DE SABLA,,,
89161,USC00042500,39.5633,-120.8239,888.5,CA,DOWNIEVILLE,,,
89170,USC00042574,41.1833,-122.2736,661.4,CA,DUNSMUIR TRTMT PL,,,
89173,USC00042598,33.8089,-115.4508,296.6,CA,EAGLE MTN,,,
89179,USC00042706,32.8006,-116.9281,150.9,CA,EL CAJON,,,
89181,USC00042713,32.7669,-115.5617,-9.1,CA,EL CENTRO 2 SSW,,,
89194,USC00042863,33.1211,-117.0900,182.9,CA,ESCONDIDO #2,,,
89198,USC00042920,37.5850,-120.2672,134.7,CA,EXCHEQUER DAM,,,
89202,USC00042934,38.2736,-122.0678,12.2,CA,FAIRFIELD,,,
89203,USC00042941,34.7050,-118.4297,932.7,CA,FAIRMONT,,HCN,
89229,USC00043161,39.5092,-123.7567,37.5,CA,FT BRAGG 5 N,,HCN,
89233,USC00043182,41.6000,-122.8478,830.6,CA,FT JONES RS,,,
89234,USC00043191,38.5150,-123.2447,34.1,CA,FT ROSS,,,
89242,USC00043261,36.9969,-119.7072,125.0,CA,FRIANT GOVERNMENT CAMP,,,
89254,USC00043384,38.9331,-120.8008,914.7,CA,GEORGETOWN RS,,,
89259,USC00043402,34.5225,-119.6822,474.9,CA,GIBRALTAR DAM #2,,,
89262,USC00043417,37.0031,-121.5608,59.1,CA,GILROY,,,
89271,USC00043463,35.7269,-118.7006,957.1,CA,GLENNVILLE,,,
89283,USC00043573,39.2042,-121.0681,731.5,CA,GRASS VALLEY #2,,,
89303,USC00043714,37.4725,-122.4433,8.2,CA,HALF MOON BAY,,,
89306,USC00043747,36.3158,-119.6369,72.2,CA,HANFORD 1 S,,HCN,
89308,USC00043761,41.8042,-123.3758,341.4,CA,HAPPY CAMP RS,,HCN,
89314,USC00043824,40.9317,-121.5433,919.0,CA,HAT CREEK,,,
89315,USC00043855,33.7044,-115.6289,417.6,CA,HAYFIELD PUMPING PLT,,,
89324,USC00043914,33.2372,-116.7614,823.0,CA,HENSHAW DAM,,,
89329,USC00043939,37.9614,-119.7831,1179.6,CA,HETCH HETCHY,,,
89357,USC00044211,33.7572,-116.7067,1639.8,CA,IDYLLWILD FIRE DEPT,,,
89358,USC00044223,32.8489,-115.5667,-19.5,CA,IMPERIAL,,,
89364,USC00044259,33.7086,-116.2153,-6.4,CA,INDIO FIRE STN,,HCN,
89369,USC00044297,34.1472,-115.1219,281.0,CA,IRON MTN,,,
89371,USC00044374,41.2683,-120.2947,1645.9,CA,JESS VALLEY,,,
89377,USC00044412,33.0764,-116.5925,1284.7,CA,JULIAN CDF,,,
89385,USC00044500,37.9567,-122.5447,44.2,CA,KENTFIELD,,,
89391,USC00044534,36.0067,-119.9600,73.2,CA,KETTLEMAN CITY,,,
89394,USC00044555,36.2069,-121.1378,97.5,CA,KING CITY,,,
89424,USC00044712,38.4919,-122.0039,57.0,CA,LAKE SOLANO,,,
89436,USC00044838,41.7019,-121.5011,1453.9,CA,LAVA BEDS NAT MON,,,
89443,USC00044881,37.9567,-119.1194,2071.7,CA,LEE VINING,,,
89446,USC00044890,36.3817,-119.0264,156.4,CA,LEMON COVE,,HCN,
89447,USC00044957,36.2033,-119.0545,132.6,CA,LINDSAY,,,
89452,USC00044997,37.6922,-121.7692,146.3,CA,LIVERMORE,,HCN,
89458,USC00045026,36.6044,-118.7325,2052.8,CA,LODGEPOLE,,,
