ID,LATITUDE,LONGITUDE
USC00040029,41.1936,-120.9447
USC00040136,32.8358,-116.7775
USC00040144,34.1822,-118.1383
USC00040176,34.5592,-115.7442
USC00040192,33.8647,-117.8425
USC00040212,38.5731,-122.4406
USC00040232,37.9833,-121.7525
USC00040343,36.4914,-118.8253
USC00040383,38.9072,-121.0839
USC00040449,36.9092,-119.0883
USC00040521,34.8928,-117.0219
USC00040673,37.0856,-122.0797
USC00040693,37.8744,-122.2606
USC00040741,34.2431,-116.9169
USC00040790,36.2472,-121.7803
USC00040798,34.2947,-118.1886
USC00040924,33.6131,-114.5972
USC00040931,39.3886,-120.0936
USC00040943,38.2119,-119.0142
USC00040983,33.2558,-116.4036
USC00041018,39.4539,-120.6556
USC00041072,38.2575,-119.2286
USC00041149,40.8669,-121.8464
USC00041159,39.9372,-121.3147
USC00041194,34.1867,-118.3481
USC00041244,35.4028,-119.47
USC00041253,34.5822,-119.9817
USC00041277,38.2769,-120.3114
USC00041312,38.5961,-122.6014
USC00041424,32.6264,-116.47
USC00041428,38.2486,-120.8433
USC00041497,40.1706,-121.0886
USC00041534,36.4806,-121.7244
USC00041614,41.53,-120.1792
USC00041697,37.9747,-119.9161
USC00041700,40.3033,-121.2422
USC00041715,39.6911,-121.8211
USC00041758,32.64,-117.0858
USC00041806,38.9239,-122.5672
USC00041838,38.8,-123.0175
USC00041864,36.1356,-120.3606
USC00041907,40.4,-122.1433
USC00041912,39.0911,-120.9481
USC00041916,39.3308,-121.1922
USC00041948,39.1875,-122.0269
USC00041990,41.9797,-122.3378
USC00042012,36.0975,-119.5817
USC00042090,34.0917,-117.88
USC00042214,34.005,-118.4139
USC00042239,32.9897,-116.5872
USC00042294,38.535,-121.7761
USC00042319,36.4622,-116.8669
USC00042327,33.6514,-116.3764
USC00042346,35.7683,-119.26
USC00042402,39.8717,-121.6108
USC00042500,39.5633,-120.8239
USC00042574,41.1833,-122.2736
USC00042598,33.8089,-115.4508
USC00042706,32.8006,-116.9281
USC00042709,32.8856,-116.815
USC00042713,32.7669,-115.5617
USC00042805,33.6861,-117.3458
USC00042863,33.1211,-117.09
USC00042920,37.585,-120.2672
USC00042934,38.2736,-122.0678
USC00042941,34.705,-118.4297
USC00042964,41.0081,-121.435
USC00043038,38.5236,-120.7061
USC00043083,36.3642,-120.1561
USC00043134,39.01,-120.8456
USC00043157,41.8714,-120.1575
USC00043161,39.5092,-123.7567
USC00043182,41.6,-122.8478
USC00043191,38.515,-123.2447
USC00043261,36.9969,-119.7072
USC00043357,41.8453,-123.9647
USC00043384,38.9331,-120.8008
USC00043402,34.5225,-119.6822
USC00043417,37.0031,-121.5608
USC00043463,35.7269,-118.7006
USC00043491,39.165,-120.8567
USC00043551,36.7375,-118.9619
USC00043573,39.2042,-121.0681
USC00043578,38.4306,-122.8647
USC00043669,37.8444,-120.2258
USC00043714,37.4725,-122.4433
USC00043747,36.3158,-119.6369
USC00043761,41.8042,-123.3758
USC00043800,39.2372,-121.2667
USC00043824,40.9317,-121.5433
USC00043855,33.7044,-115.6289
USC00043875,38.6214,-122.8581
USC00043896,33.7381,-116.8939
USC00043914,33.2372,-116.7614
USC00043939,37.9614,-119.7831
USC00044025,36.8483,-121.4214
USC00044211,33.7572,-116.7067
USC00044223,32.8489,-115.5667
USC00044259,33.7086,-116.2153
USC00044297,34.1472,-115.1219
USC00044374,41.2683,-120.2947
USC00044405,34.1472,-116.2747
USC00044412,33.0764,-116.5925
USC00044422,34.4908,-119.5069
USC00044484,38.8089,-120.8208
USC00044500,37.9567,-122.5447
USC00044534,36.0067,-119.96
USC00044555,36.2069,-121.1378
USC00044710,32.8536,-116.8947
USC00044712,38.4919,-122.0039
USC00044838,41.7019,-121.5011
USC00044863,34.8333,-118.865
USC00044881,37.9567,-119.1194
USC00044890,36.3817,-119.0264
USC00044957,36.2033,-119.0545
USC00044997,37.6922,-121.7692
USC00045026,36.6044,-118.7325
USC00045064,34.6539,-120.4514
USC00045118,37.0564,-120.8667
USC00045119,36.875,-120.9386
USC00045151,35.6181,-119.6892
USC00045233,36.9539,-120.0378
USC00045311,40.5411,-121.5767
USC00045360,38.4917,-122.1242
USC00045449,41.2514,-122.1383
USC00045502,33.5697,-116.0731
USC00045532,37.2889,-120.5158
USC00045598,38.7478,-122.6258
USC00045679,40.3458,-121.6092
USC00045756,35.0492,-118.1619
USC00045866,35.3669,-120.8447
USC00045915,37.8792,-121.9303
USC00045933,37.3436,-121.6425
USC00045941,41.7836,-122.0447
USC00045983,41.3217,-122.3172
USC00046027,37.8978,-122.5689
USC00046074,38.2778,-122.2647
USC00046136,39.2467,-121.0008
USC00046144,37.5147,-122.0325
USC00046154,34.9456,-119.6828
USC00046168,37.2811,-121.0178
USC00046175,33.6031,-117.8836
USC00046194,38.9261,-121.5447
USC00046252,37.2328,-119.5097
USC00046328,41.8392,-122.8503
USC00046336,37.7983,-122.2642
USC00046370,38.3858,-122.9661
USC00046377,33.2097,-117.395
USC00046399,34.4478,-119.2275
USC00046506,39.7458,-122.1997
USC00046521,39.5178,-121.5531
USC00046597,38.7583,-120.5031
USC00046602,34.3294,-118.4006
USC00046624,34.5883,-118.0939
USC00046635,33.8275,-116.5097
USC00046657,33.3781,-116.84
USC00046663,33.7997,-118.3911
USC00046675,36.6067,-120.8842
USC00046685,39.7539,-121.6242
USC00046699,34.2903,-114.1708
USC00046719,34.1483,-118.1447
