Unnamed: 0,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID,geometry,x2,y2
88883,USC00040136,32.8358,-116.7775,516.6,CA,ALPINE,,,,POINT (-12999611.8361115 3873529.385881579),-12999611.836111505,3873529.3858815795
88889,USC00040192,33.8647,-117.8425,71.6,CA,ANAHEIM,,,,POINT (-13118167.09380634 4010648.978242283),-13118167.093806341,4010648.9782422828
88891,USC00040212,38.5731,-122.4406,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,,,POINT (-13630025.24442289 4660704.985289958),-13630025.244422892,4660704.985289958
88894,USC00040232,37.9833,-121.7525,18.3,CA,ANTIOCH PUMPING PLT #3,,,,POINT (-13553426.30280804 4577066.93150308),-13553426.302808039,4577066.93150308
88903,USC00040343,36.4914,-118.8253,520.6,CA,ASH MTN,,,,POINT (-13227571.88935797 4368449.633877571),-13227571.889357971,4368449.633877571
88907,USC00040383,38.9072,-121.0839,393.8,CA,AUBURN,,,,POINT (-13478998.09126366 4708387.472702677),-13478998.091263657,4708387.472702677
88919,USC00040449,36.9092,-119.0883,528.8,CA,BALCH PWR HOUSE,,,,POINT (-13256848.9154366 4426457.984034035),-13256848.915436603,4426457.984034035
88925,USC00040521,34.8928,-117.0219,676.7,CA,BARSTOW,,,,POINT (-13026818.31966138 4149322.618133882),-13026818.31966138,4149322.618133882
88935,USC00040673,37.0856,-122.0797,128.0,CA,BEN LOMOND #4,,,,POINT (-13589850.0401956 4451045.049159975),-13589850.0401956,4451045.049159975
88943,USC00040693,37.8744,-122.2606,94.5,CA,BERKELEY,,HCN,,POINT (-13609987.7360801 4561697.907918105),-13609987.736080103,4561697.907918105
88949,USC00040741,34.2431,-116.9169,2058.3,CA,BIG BEAR LAKE,,,,POINT (-13015129.77312809 4061491.313393569),-13015129.773128089,4061491.3133935686
88968,USC00040931,39.3886,-120.0936,1699.3,CA,BOCA,,,,POINT (-13368758.39953108 4777489.038893965),-13368758.399531078,4777489.038893965
88969,USC00040943,38.2119,-119.0142,2551.2,CA,BODIE CALIFORNIA ST HISTORIC P,,,,POINT (-13248600.14116882 4609403.575258627),-13248600.141168818,4609403.575258627
88972,USC00040983,33.2558,-116.4036,246.9,CA,BORREGO DESERT PARK,,,,POINT (-12957989.4785039 3929306.564040048),-12957989.4785039,3929306.5640400476
88979,USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,,,POINT (-13431319.9533569 4786898.982530576),-13431319.9533569,4786898.982530576
