FIPS,County Name,Year,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared
1,Alameda,1985,22,6,3,31,11
1,Alameda,1985,23,4,5,32,7
1,Alameda,1985,2,0,0,2,1
1,Alameda,1985,72,23,5,100,20
1,Alameda,1985,0,1,0,1,0
1,Alameda,1985,37,26,61,124,14
1,Alameda,1985,17,18,21,56,7
1,Alameda,1985,17,9,64,90,2
1,Alameda,1985,7,3,2,12,2
1,Alameda,1985,287,166,22,475,71
1,Alameda,1985,1,0,3,4,2
1,Alameda,1985,12,2,12,26,5
1,Alameda,1985,13,6,6,25,2
1,Alameda,1985,21,6,19,46,11
1,Alameda,1985,0,0,11,11,0
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985,1,0,0,1,0
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985,1,2,0,3,0
1,Alameda,1985,2,1,2,5,2
1,Alameda,1985,0,0,1,1,0
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985,5,1,12,18,3
1,Alameda,1985,0,0,0,0,0
1,Alameda,1985, , , , , 
1,Alameda,1986,25,13,0,38,5
1,Alameda,1986,17,16,6,39,5
1,Alameda,1986,7,1,1,9,0
1,Alameda,1986,51,17,3,71,20
1,Alameda,1986,3,1,1,5,0
1,Alameda,1986,37,23,72,132,18
1,Alameda,1986,25,21,12,58,11
1,Alameda,1986,3,2,10,15,2
1,Alameda,1986,2,3,2,7,3
1,Alameda,1986,220,167,22,409,65
1,Alameda,1986,1,1,2,4,1
1,Alameda,1986,4,3,6,13,5
1,Alameda,1986,7,13,1,21,3
1,Alameda,1986,13,19,5,37,3
1,Alameda,1986,3,0,3,6,1
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,2,3,0,5,1
1,Alameda,1986,0,1,2,3,1
1,Alameda,1986,0,0,2,2,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986,8,0,5,13,0
1,Alameda,1986,0,0,0,0,0
1,Alameda,1986, , , , , 
1,Alameda,1987,11,9,2,22,15
1,Alameda,1987,12,3,9,24,12
1,Alameda,1987,1,0,1,2,0
1,Alameda,1987,46,19,15,80,32
1,Alameda,1987,2,1,0,3,0
1,Alameda,1987,34,21,80,135,1
1,Alameda,1987,23,23,8,54,11
1,Alameda,1987,8,1,8,17,0
1,Alameda,1987,0,1,2,3,2
1,Alameda,1987,270,171,19,460,85
1,Alameda,1987,3,0,2,5,1
1,Alameda,1987,3,2,8,13,3
