FIPS,County Name,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
1,Alameda,1,1510271,740573,769698,36.6,35.6,37.5,264726,225985,455695,396119,167746
1,Alameda,2,1510258,740568,769690,36.6,35.6,37.5,264724,225983,455693,396111,167747
1,Alameda,3,1512986,741756,771230,36.6,35.7,37.6,264711,225647,455901,397746,168981
1,Alameda,4,1530915,750107,780808,36.8,35.9,37.8,265724,225565,460352,404834,174440
1,Alameda,5,1553764,760739,793025,37.0,36.1,37.9,267456,225159,469410,408585,183154
1,Alameda,6,1579593,773696,805897,37.1,36.2,38.0,270050,223513,481358,413228,191444
1,Alameda,7,1607792,787690,820102,37.2,36.2,38.1,271641,221830,495871,418326,200124
1,Alameda,8,1634538,801625,832913,37.2,36.3,38.1,273117,218692,510267,423594,208868
1,Alameda,9,1650950,810926,840024,37.3,36.5,38.2,272560,215326,520335,425960,216769
1,Alameda,10,1660196,816390,843806,37.5,36.7,38.3,271093,213497,525802,425663,224141
1,Alameda,11,1666756,820231,846525,37.7,36.9,38.5,268664,211499,530146,424885,231562
1,Alameda,12,1671329,823247,848082,37.9,37.0,38.7,266080,209963,534669,421854,238763
3,Alpine,1,1175,606,569,46.7,47.5,45.4,204,122,233,450,166
3,Alpine,2,1175,606,569,46.7,47.5,45.4,204,122,233,450,166
3,Alpine,3,1161,600,561,46.8,47.6,45.6,205,119,227,444,166
3,Alpine,4,1093,566,527,48.3,48.9,47.5,166,107,215,438,167
3,Alpine,5,1110,583,527,47.2,47.9,46.6,190,114,217,404,185
3,Alpine,6,1128,590,538,47.4,47.6,47.3,182,134,207,396,209
3,Alpine,7,1080,552,528,47.8,47.8,47.8,164,129,204,368,215
3,Alpine,8,1077,563,514,48.5,48.3,48.9,156,130,196,371,224
3,Alpine,9,1047,554,493,49.9,49.9,49.8,141,125,172,371,238
3,Alpine,10,1111,606,505,49.0,47.8,50.1,147,148,204,358,254
3,Alpine,11,1089,582,507,51.7,51.0,52.4,130,145,186,350,278
3,Alpine,12,1129,609,520,49.9,49.8,50.0,144,154,206,327,298
5,Amador,1,38091,20749,17342,48.2,46.5,50.7,4552,4351,8158,13165,7865
5,Amador,2,38091,20749,17342,48.2,46.5,50.7,4552,4351,8158,13165,7865
5,Amador,3,37886,20562,17324,48.5,46.7,50.8,4516,4280,8070,13086,7934
5,Amador,4,37543,20304,17239,48.9,47.1,51.3,4393,4165,7995,12887,8103
5,Amador,5,37104,19955,17149,49.6,47.8,52.0,4287,3896,7868,12496,8557
5,Amador,6,36620,19476,17144,50.3,48.4,52.6,4221,3825,7575,12125,8874
5,Amador,7,36726,19512,17214,50.7,48.6,53.1,4206,3822,7595,11892,9211
5,Amador,8,37031,19665,17366,50.7,48.4,53.4,4293,3715,7737,11739,9547
5,Amador,9,37429,19839,17590,50.7,48.3,53.4,4460,3621,7956,11559,9833
5,Amador,10,38529,20744,17785,50.4,47.8,53.7,4477,3649,8494,11711,10198
5,Amador,11,39405,21435,17970,50.1,47.7,53.9,4570,3600,8955,11703,10577
5,Amador,12,39752,21638,18114,50.3,47.7,54.2,4604,3595,9090,11518,10945
7,Butte,1,220000,108931,111069,37.2,35.2,39.3,35002,43416,50010,57755,33817
7,Butte,2,220005,108933,111072,37.2,35.2,39.3,35003,43417,50010,57758,33817
7,Butte,3,219949,108855,111094,37.2,35.2,39.3,34944,43404,49960,57723,33918
7,Butte,4,219975,108974,111001,37.1,35.2,39.2,34856,43771,49576,57421,34351
7,Butte,5,220869,109419,111450,37.0,35.1,39.1,34810,44747,49140,56486,35686
7,Butte,6,221641,109707,111934,37.0,35.1,38.9,34769,44958,49490,55814,36610
7,Butte,7,223516,110561,112955,36.9,35.1,38.9,35010,44794,50470,55440,37802
7,Butte,8,224631,111067,113564,37.0,35.3,38.9,35057,44088,51529,54966,38991
7,Butte,9,226231,111821,114410,37.0,35.5,38.9,35233,43208,53077,54436,40277
7,Butte,10,228696,112940,115756,37.1,35.6,38.8,35535,43116,54439,54151,41455
7,Butte,11,230339,113816,116523,37.2,35.8,38.8,35714,43115,55444,53378,42688
7,Butte,12,219186,108473,110713,36.8,35.5,38.2,34393,41622,53530,49413,40228
9,Calaveras,1,45578,22822,22756,49.2,48.4,49.9,6427,5350,8213,16023,9565
9,Calaveras,2,45578,22822,22756,49.2,48.4,49.9,6427,5350,8213,16023,9565
9,Calaveras,3,45468,22752,22716,49.3,48.5,50.0,6349,5348,8172,15970,9629
9,Calaveras,4,45160,22608,22552,49.9,49.1,50.6,6095,5350,8076,15670,9969
9,Calaveras,5,44815,22456,22359,50.5,49.8,51.3,5871,5313,7886,15243,10502
9,Calaveras,6,44655,22345,22310,51.0,50.3,51.8,5734,5261,7830,14933,10897
9,Calaveras,7,44671,22356,22315,51.5,50.6,52.4,5645,5175,7903,14674,11274
9,Calaveras,8,44965,22450,22515,51.9,51.0,52.8,5653,5073,8002,14524,11713
9,Calaveras,9,45322,22591,22731,52.0,51.0,53.0,5675,4978,8195,14422,12052
