NAME,COUNTYFP,GRID_ID,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018
Plumas,63,44,2008,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,0,0,0,0,0,0.17600000000000002,55079
Plumas,63,44,2009,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,1,0,2,0,0.17600000000000002,55079
Plumas,63,44,2010,49.8,49.3,50.2,0.22857152228267316,0.20969705566993727,0.3097836767906836,0.6148920269892215,0.361212269304285,11549995264.655613,1.7241565510368007,0.861039314053479,0.8631172369833215,1,0,0,1,0,0.17600000000000002,55079
Plumas,63,44,2011,50.3,49.6,50.9,0.22744598069567518,0.20502172907779168,0.3034633278790793,0.6020781689218595,0.36926422065742465,11549995264.655613,1.7072734272318304,0.8556713464847193,0.8516020807471111,2,0,5,7,6,0.17600000000000002,55079
Plumas,63,44,2012,50.9,50.1,51.5,0.2226840739814528,0.19489185479480958,0.298701421164857,0.5726409274157577,0.3887447481246979,11549995264.655613,1.677663025481575,0.8386150624355956,0.8390479630459794,0,0,0,0,0,0.161,55079
Plumas,63,44,2013,51.5,50.6,52.2,0.21523818348285056,0.186060682342979,0.2885715468818749,0.5489179739667226,0.39714301996614465,11549995264.655613,1.6359314066405717,0.8178358331371708,0.8180955735034011,2,0,0,2,0,0.138,55079
Plumas,63,44,2014,52.0,51.1,52.7,0.2099567960361676,0.17818189123399295,0.2888312872481052,0.5296971868656797,0.40562787192966815,11549995264.655613,1.6122950333136137,0.8071864781217281,0.8051085551918855,0,1,0,1,0,0.115,55079
Plumas,63,44,2015,52.5,51.6,53.1,0.20432908810117753,0.168744657927625,0.2893507679805658,0.5153248866009359,0.41766250889833917,11549995264.655613,1.5954119095086434,0.797402924327053,0.7980089851815905,0,0,0,0,0,0.103,55079
Plumas,63,44,2016,52.4,51.8,52.9,0.21411264189585258,0.16441565182378648,0.30277068690246517,0.502857349021881,0.4318616489189295,11549995264.655613,1.6160179785629147,0.8077059588541886,0.808312019708726,0,0,1,1,0,0.097,55079
Plumas,63,44,2017,52.6,52.0,53.1,0.21220787921016362,0.16181824816148338,0.31004341715691386,0.4843292028974522,0.44718633052651774,11549995264.655613,1.6155850779525307,0.8046756545815017,0.8109094233710291,1,1,4,6,2,0.08900000000000001,55079
Plumas,63,44,2018,52.6,52.0,53.1,0.2142858021400061,0.15965374510956415,0.3161040257022878,0.47220798580670437,0.4603465090821868,11549995264.655613,1.6225980678407492,0.8077925389762654,0.8148055288644838,0,1,2,3,2,0.076,55079
Plumas,63,44,2019,52.3,51.5,53.1,0.21913428897630524,0.15757582217972166,0.3261473198631931,0.45471880114719676,0.4707361237313992,11549995264.655613,1.6283123558978159,0.8101302022723382,0.8181821536254779,1,1,1,3,1,0.077,55079
Plumas,63,44,1990,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,0,0,1,0,0.17600000000000002,55079
Plumas,63,44,1991,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,3,1,1,5,1,0.17600000000000002,55079
Plumas,63,44,1992,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,6,1,0,7,2,0.17600000000000002,55079
Plumas,63,44,1993,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,1,1,3,2,0.17600000000000002,55079
Plumas,63,44,1994,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,2,3,2,7,1,0.17600000000000002,55079
Plumas,63,44,1995,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,5,0,0,5,2,0.17600000000000002,55079
Plumas,63,44,1996,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,1,1,3,1,0.17600000000000002,55079
Plumas,63,44,1997,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,7,0,3,10,4,0.17600000000000002,55079
Plumas,63,44,1998,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,0,0,1,0,0.17600000000000002,55079
Plumas,63,44,1999,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,1,4,6,3,0.17600000000000002,55079
Plumas,63,44,2000,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,5,1,3,9,5,0.17600000000000002,55079
Plumas,63,44,2001,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,3,1,2,6,4,0.17600000000000002,55079
Plumas,63,44,2002,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,2,2,1,5,1,0.17600000000000002,55079
Plumas,63,44,2003,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,0,1,1,2,1,0.17600000000000002,55079
Plumas,63,44,2004,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,0,1,0,1,1,0.17600000000000002,55079
Plumas,63,44,2005,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,0,0,0,0,0,0.17600000000000002,55079
Plumas,63,44,2006,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,1,1,1,3,3,0.17600000000000002,55079
Plumas,63,44,2007,49.6,49.2,50.1,0.23004338435797825,0.21116891774524238,0.3122079202088331,0.6191344529709832,0.35965382710690313,11549995264.655613,1.73220850238994,0.8660609611339317,0.8661475412560085,0,0,4,4,0,0.17600000000000002,55079
Nevada,57,45,2008,47.6,46.1,48.9,3.2900297096243687,2.7899812332912903,4.775000599749579,8.015950160203277,4.546197005789684,4217591093.298747,23.4171587086582,11.578884467390173,11.838274241268023,1,0,1,2,1,0.111,66681
Nevada,57,45,2009,47.6,46.1,48.9,3.2888441987748354,2.789032824611664,4.773577986730139,8.015238853693555,4.546434107959589,4217591093.298747,23.413127971769786,11.576750547861012,11.836377423908772,8,3,0,11,4,0.111,66681
Nevada,57,45,2010,47.7,46.2,49.0,3.274143864240625,2.792589357160263,4.770021454181539,8.002198234348691,4.58437045514465,4217591093.298747,23.42332336507577,11.580781284749426,11.842542080326345,5,2,0,7,1,0.111,66681
Nevada,57,45,2011,48.2,46.6,49.6,3.217713547802847,2.7776519204561456,4.7377755590742385,7.937232239794275,4.731848004826573,4217591093.298747,23.40222127195408,11.561813111156896,11.840408160797184,1,2,4,7,5,0.111,66681
