FIPS,County Name,year,Unemployment
1.0,Alameda,2011,0.101
3.0,Alpine,2011,0.128
5.0,Amador,2011,0.136
7.0,Butte,2011,0.13699999999999998
9.0,Calaveras,2011,0.14
11.0,Colusa,2011,0.212
13.0,Contra Costa,2011,0.103
15.0,Del Norte,2011,0.133
17.0,El Dorado,2011,0.117
19.0,Fresno,2011,0.165
21.0,Glenn,2011,0.155
23.0,Humboldt,2011,0.106
25.0,Imperial,2011,0.289
27.0,Inyo,2011,0.097
29.0,Kern,2011,0.14800000000000002
31.0,Kings,2011,0.159
33.0,Lake,2011,0.145
35.0,Lassen,2011,0.135
37.0,Los Angeles,2011,0.122
39.0,Madera,2011,0.162
41.0,Marin,2011,0.073
43.0,Mariposa,2011,0.132
45.0,Mendocino,2011,0.114
47.0,Merced,2011,0.17600000000000002
49.0,Modoc,2011,0.16
51.0,Mono,2011,0.101
53.0,Monterey,2011,0.127
55.0,Napa,2011,0.098
57.0,Nevada,2011,0.111
59.0,Orange,2011,0.091
61.0,Placer,2011,0.108
63.0,Plumas,2011,0.17600000000000002
65.0,Riverside,2011,0.132
67.0,Sacramento,2011,0.121
69.0,San Benito,2011,0.145
71.0,San Bernardino,2011,0.129
73.0,San Diego,2011,0.103
75.0,San Francisco Coun,2011,0.081
77.0,San Joaquin,2011,0.162
79.0,San Luis Obispo,2011,0.096
81.0,San Mateo,2011,0.075
83.0,Santa Barbara,2011,0.094
85.0,Santa Clara,2011,0.093
87.0,Santa Cruz,2011,0.131
89.0,Shasta,2011,0.159
91.0,Sierra,2011,0.149
93.0,Siskiyou,2011,0.17
95.0,Solano,2011,0.122
97.0,Sonoma,2011,0.102
99.0,Stanislaus,2011,0.165
101.0,Sutter,2011,0.182
103.0,Tehama,2011,0.15
105.0,Trinity,2011,0.16699999999999998
107.0,Tulare,2011,0.171
109.0,Tuolumne,2011,0.145
111.0,Ventura,2011,0.102
113.0,Yolo,2011,0.118
115.0,Yuba,2011,0.17
,,2012,0.104
1.0,Alameda,2012,0.087
3.0,Alpine,2012,0.112
5.0,Amador,2012,0.123
7.0,Butte,2012,0.122
9.0,Calaveras,2012,0.124
11.0,Colusa,2012,0.207
13.0,Contra Costa,2012,0.08900000000000001
15.0,Del Norte,2012,0.135
17.0,El Dorado,2012,0.102
19.0,Fresno,2012,0.151
21.0,Glenn,2012,0.142
23.0,Humboldt,2012,0.096
25.0,Imperial,2012,0.274
27.0,Inyo,2012,0.091
29.0,Kern,2012,0.131
31.0,Kings,2012,0.149
33.0,Lake,2012,0.128
35.0,Lassen,2012,0.125
37.0,Los Angeles,2012,0.109
39.0,Madera,2012,0.14400000000000002
41.0,Marin,2012,0.063
43.0,Mariposa,2012,0.122
45.0,Mendocino,2012,0.1
47.0,Merced,2012,0.163
49.0,Modoc,2012,0.14400000000000002
51.0,Mono,2012,0.103
53.0,Monterey,2012,0.116
55.0,Napa,2012,0.084
57.0,Nevada,2012,0.097
59.0,Orange,2012,0.079
61.0,Placer,2012,0.094
63.0,Plumas,2012,0.161
65.0,Riverside,2012,0.116
67.0,Sacramento,2012,0.105
69.0,San Benito,2012,0.13
71.0,San Bernardino,2012,0.114
73.0,San Diego,2012,0.091
75.0,San Francisco Coun,2012,0.068
77.0,San Joaquin,2012,0.14400000000000002
79.0,San Luis Obispo,2012,0.08199999999999999
81.0,San Mateo,2012,0.064
83.0,Santa Barbara,2012,0.084
85.0,Santa Clara,2012,0.079
87.0,Santa Cruz,2012,0.118
89.0,Shasta,2012,0.142
91.0,Sierra,2012,0.14400000000000002
93.0,Siskiyou,2012,0.156
95.0,Solano,2012,0.107
97.0,Sonoma,2012,0.08900000000000001
99.0,Stanislaus,2012,0.149
101.0,Sutter,2012,0.168
103.0,Tehama,2012,0.13699999999999998
105.0,Trinity,2012,0.146
107.0,Tulare,2012,0.162
109.0,Tuolumne,2012,0.13
111.0,Ventura,2012,0.091
113.0,Yolo,2012,0.106
115.0,Yuba,2012,0.154
,,2013,0.08900000000000001
1.0,Alameda,2013,0.07200000000000001
3.0,Alpine,2013,0.097
5.0,Amador,2013,0.103
7.0,Butte,2013,0.103
9.0,Calaveras,2013,0.099
11.0,Colusa,2013,0.189
13.0,Contra Costa,2013,0.075
15.0,Del Norte,2013,0.118
17.0,El Dorado,2013,0.085
19.0,Fresno,2013,0.133
21.0,Glenn,2013,0.121
