FIPS,FIPS2,County Name
1,06001,Alameda
3,06003,Alpine
5,06005,Amador
7,06007,Butte
9,06009,Calaveras
11,06011,Colusa
13,06013,Contra Costa
15,06015,Del Norte
17,06017,El Dorado
19,06019,Fresno
21,06021,Glenn
23,06023,Humboldt
25,06025,Imperial
27,06027,Inyo
29,06029,Kern
31,06031,Kings
33,06033,Lake
35,06035,Lassen
37,06037,Los Angeles
39,06039,Madera
41,06041,Marin
43,06043,Mariposa
45,06045,Mendocino
47,06047,Merced
49,06049,Modoc
51,06051,Mono
53,06053,Monterey
55,06055,Napa
57,06057,Nevada
59,06059,Orange
61,06061,Placer
63,06063,Plumas
65,06065,Riverside
67,06067,Sacramento
69,06069,San Benito
71,06071,San Bernardino
73,06073,San Diego
75,06075,San Francisco
77,06077,San Joaquin
79,06079,San Luis Obispo
81,06081,San Mateo
83,06083,Santa Barbara
85,06085,Santa Clara
87,06087,Santa Cruz
89,06089,Shasta
91,06091,Sierra
93,06093,Siskiyou
95,06095,Solano
97,06097,Sonoma
99,06099,Stanislaus
101,06101,Sutter
103,06103,Tehama
105,06105,Trinity
107,06107,Tulare
109,06109,Tuolumne
111,06111,Ventura
113,06113,Yolo
115,06115,Yuba
