NAME,COUNTYFP,GEOID,ALAND,AWATER,COUNTY_AREA,GRID_AREA,GRID_ID,COUNTY_GRID_OVLP_AREA,COUNTY_GRID_OVLP_PROP,FID,geometry
Plumas,063,06063,6612400993,156387635,11549995264.655613,5041000000.0,44,4936292641.352534,0.9792288516866761,0,"POLYGON ((-13502275 4897930, -13431275 4897930, -13431275 4826930, -13502275 4826930, -13502275 4897930))"
Nevada,057,06057,2480606160,41513172,4217591093.2987466,5041000000.0,45,1540790441.9739072,0.30565174409321705,0,"POLYGON ((-13502275 4826930, -13431275 4826930, -13431275 4755930, -13502275 4755930, -13502275 4826930))"
Sierra,091,06091,2468694587,23299110,4200449581.6869316,5041000000.0,59,2544186503.5182023,0.5046987707832181,0,"POLYGON ((-13431275 4826930, -13360275 4826930, -13360275 4755930, -13431275 4755930, -13431275 4826930))"
Sacramento,067,06067,2499183617,76073827,4205266982.028391,5041000000.0,35,2029400431.5259657,0.4025789390053493,0,"POLYGON ((-13573275 4684930, -13502275 4684930, -13502275 4613930, -13573275 4613930, -13573275 4684930))"
San Joaquin,077,06077,3606276598,89025932,5950289483.535479,5041000000.0,36,2063090761.6076252,0.4092622022629687,0,"POLYGON ((-13573275 4613930, -13502275 4613930, -13502275 4542930, -13573275 4542930, -13573275 4613930))"
Sacramento,067,06067,2499183617,76073827,4205266982.028391,5041000000.0,47,1739917941.2336133,0.3451533309330715,0,"POLYGON ((-13502275 4684930, -13431275 4684930, -13431275 4613930, -13502275 4613930, -13502275 4684930))"
San Joaquin,077,06077,3606276598,89025932,5950289483.535479,5041000000.0,48,2780347245.4224133,0.5515467656065093,0,"POLYGON ((-13502275 4613930, -13431275 4613930, -13431275 4542930, -13502275 4542930, -13502275 4613930))"
San Luis Obispo,079,06079,8548640337,815490673,14120715476.914055,497422838.8366895,54,270466413.2309017,0.5437354140461963,0,"POLYGON ((-13434274.88547903 4116930, -13433803.97067279 4118282.388689029, -13433203.29713202 4120026.950089925, -13433128.0460892 4120280.217669418, -13432741.21573045 4121582.923782117, -13432407.59494976 4122531.044511661, -13432332.34365395 4122691.622324966, -13432460.80742016 4123109.461383122, -13432594.16818009 4123203.430250986, -13432801.77920352 4123401.119261877, -13433042.34095608 4123676.129278812, -13433319.74945757 4123982.561509668, -13433736.86423946 4124505.939329035, -13433936.9058429 4124817.946277348, -13434099.76663383 4125071.187470284, -13434276.87639691 4125365.198157514, -13434370.94178612 4125582.833219797, -13434483.37489372 4125818.485191758, -13434554.73116838 4126041.004690164, -13434679.52038555 4126171.566210937, -13434868.65222992 4126346.959922182, -13434975.07373003 4126464.116265115, -13435170.10574226 4126730.532855948, -13435509.74211164 4127255.122394655, -13435944.22308031 4128029.251557571, -13436071.01640905 4128310.335227538, -13436217.51351221 4128696.142440486, -13436340.63345188 4129036.579560936, -13436422.56524312 4129359.414994403, -13436495.92558965 4129732.387478748, -13436488.02254062 4129956.0684053, -13436495.48121794 4130277.574546796, -13436518.5245896 4130618.736164817, -13436519.52652339 4130687.023923637, -13436523.64559001 4130973.864161052, -13436510.73289976 4131342.824366105, -13436466.42824095 4131748.78941919, -13436372.80923742 4132200.842490887, -13436240.11732862 4132785.448975225, -13436060.22598707 4133247.843467293, -13435892.57966597 4133614.438790559, -13435768.12504069 4133828.709427319, -13435666.04553119 4134004.493022907, -13435471.34866577 4134385.073370804, -13435415.02135179 4134586.211646824, -13435232.90377706 4135221.772737038, -13434975.20060287 4135981.267413417, -13434738.75930448 4136649.443077863, -13434528.58924864 4137230.75721656, -13434315.63633333 4137948.765428989, -13434124.61323816 4138607.432136061, -13433951.95781058 4139274.815879976, -13433288.60930523 4141972.282457742, -13433444.67885288 4142066.00279478, -13433770.51020147 4142248.698731489, -13434161.35202145 4142521.730729192, -13434492.74939042 4142772.795778076, -13434927.33981734 4143241.166766122, -13435236.58472025 4143542.573210659, -13435773.14361783 4144137.270992833, -13435947.3581802 4144217.172603375, -13436323.06050408 4144380.911690154, -13436813.75559336 4144620.759047182, -13437319.81283536 4144978.775534307, -13437706.42455178 4145265.576817601, -13438038.93518513 4145584.946756545, -13438311.77872333 4145877.733096875, -13438524.84383009 4146125.617020349, -13438775.86886797 4146477.982447414, -13438947.96852808 4146731.035700005, -13438998.61890618 4146904.037716694, -13439114.50236679 4147133.354443372, -13439307.53015485 4147521.575330598, -13439501.78252137 4147982.68143191, -13439678.11251588 4148457.648731095, -13439827.28064329 4148942.000429277, -13439933.36813356 4149295.268794362, -13439973.554557 4149517.577037227, -13440027.76721633 4149762.41983859, -13440056.82186145 4150135.123126201, -13440080.31044304 4150393.281076309, -13440081.42364582 4150405.36116889, -13440090.32926918 4150503.223974277, -13440084.20712059 4150944.635160461, -13439982.907352 4151679.001644712, -13439819.4913283 4152241.279259942, -13439623.45874161 4152754.168417788, -13439471.84244339 4153202.592490322, -13439294.17728846 4153464.894123824, -13439353.62198642 4153750.691019522, -13439416.74030563 4154133.167942941, -13439419.52330053 4154150.275843668, -13439436.22158384 4154596.040839837, -13439435.21974832 4154636.504089911, -13439425.5353517 4155042.366767412, -13439392.14001307 4155493.59909421, -13439313.32645281 4155945.392802565, -13439241.08058606 4156247.006157734, -13439128.8711951 4156612.999964747, -13438963.11734081 4157043.652169894, -13438734.35687212 4157516.152796476, -13438518.50938469 4157943.036787425, -13438258.35693195 4158443.420526682, -13437913.82441753 4158803.916890731, -13437870.41005178 4158927.526251072, -13437813.97162714 4159365.603648806, -13437647.43873266 4160017.929286444, -13437606.02816651 4160202.413164902, -13437154.63036475 4161812.633377317, -13436574.10271722 4163877.648553765, -13436325.07578716 4165192.11837175, -13435974.3039415 4166322.969290431, -13435777.82120663 4167292.167693071, -13435674.62602667 4167800.860776357, -13435617.07048355 4168580.394680538, -13435531.01549118 4169744.359378104, -13435496.94999206 4170148.872804248, -13435334.08126719 4172086.254496661, -13435187.91382268 4173271.532484208, -13435044.86511609 4174058.795626789, -13434905.04660967 4174416.401219392, -13435059.55167439 4175732.663812825, -13435079.03046706 4176188.821379865, -13435113.8696829 4177003.911311513, -13435105.85327415 4177319.568951367, -13435169.19378739 4177341.610941628, -13435744.93567374 4177542.439968335, -13436163.49512734 4177688.43786408, -13436449.13959739 4177808.720845472, -13437052.71103892 4178062.761678933, -13437143.65858453 4178112.291455073, -13437974.32025544 4178564.87318561, -13438252.28347171 4178736.331061388, -13438382.52654891 4178816.617800293, -13438745.64870103 4179040.471173789, -13439101.86878404 4179326.384014814, -13439669.93202006 4179002.368671307, -13440548.24130107 4178790.763888589, -13441417.86694122 4178744.089283834, -13441941.28929165 4178762.596921099, -13442099.02806712 4178765.727716369, -13442564.67444673 4178834.722832332, -13443021.52627701 4178985.911299236, -13443517.89733256 4178903.721393215, -13444352.34332314 4178904.951292351, -13444354.68101692 4178905.359548618, -13445493.58315539 4179108.945019527, -13446407.3984051 4179365.334111006, -13447440.54700712 4179734.820620778, -13448328.86913415 4180274.847130259, -13449019.60010323 4180878.051068193, -13449201.04928752 4181010.482844882, -13449468.10215813 4181269.225629616, -13449842.79943983 4181757.871807248, -13450212.48943682 4181738.001128757, -13450800.47531674 4181816.135017252, -13451782.97404631 4182195.230898091, -13452660.1649514 4182632.873173884, -13453731.71774173 4183305.77162972, -13454616.25487087 4183990.82644349, -13455376.67110609 4184789.337391871, -13455804.46672674 4185553.318740586, -13455856.56376298 4185607.511656667, -13456355.71666843 4185868.541373115, -13457163.55583653 4186411.724889189, -13458174.77383159 4187190.528641781, -13459049.11533869 4187930, -13431275 4187930, -13431275 4116930, -13434274.88547903 4116930))"
Santa Barbara,083,06083,7084000598,2729814515,14498407800.763426,5041000000.0,68,3443716545.235077,0.683141548350541,0,"POLYGON ((-13431275 4187930, -13360275 4187930, -13360275 4116930, -13431275 4116930, -13431275 4187930))"
Santa Barbara,083,06083,7084000598,2729814515,14498407800.763426,2258177317.220307,69,2258124714.834525,0.9999767058213805,0,"MULTIPOLYGON (((-13360275 4083415.612439756, -13360448.36794473 4083538.433553931, -13360826.85335098 4083765.517171153, -13361050.6050159 4083899.907458609, -13361378.32860382 4083849.713575829, -13361809.46780118 4083902.336684188, -13362361.94491817 4083981.541582375, -13362977.54011603 4084181.647194555, -13363327.97299005 4084319.685614935, -13363691.4299809 4084215.51602478, -13364041.41733357 4084089.083487503, -13364660.90841427 4083979.788840532, -13365383.8150663 4083937.28596055, -13366165.16433836 4083957.391152586, -13366847.99628192 4084139.145161808, -13367202.43639212 4083990.180068761, -13367588.37988217 4083903.824523731, -13368432.62445907 4083892.221046941, -13369362.47363802 4084081.800086602, -13370396.18367642 4084378.655774387, -13371191.78200066 4084676.328599774, -13371803.03571367 4084893.85322364, -13372362.97128703 4085114.755548155, -13372503.90138946 4085165.899697037, -13372942.49907868 4085406.779523319, -13373380.7627834 4085616.085937433, -13373606.18407465 4085588.151205079, -13373863.22002171 4085578.164894197, -13374228.90352962 4085648.474100503, -13374734.40391677 4085731.469188474, -13375126.13596685 4085590.580307856, -13375540.91113363 4085521.351091931, -13375969.15593522 4085474.523791709, -13376555.13997051 4085386.672546057, -13377281.27489075 4085383.433857609, -13377976.2404955 4085465.617269163, -13378427.08308301 4085405.160517666, -13378841.74693752 4085335.797605475, -13379685.21226238 4085336.337471821, -13380398.32290194 4085445.240186689, -13380917.96087086 4085635.923554278, -13381220.19239807 4085621.07901353, -13381711.55516465 4085560.216627668, -13382369.78536885 4085512.039784498, -13382865.26691466 4085383.7041751, -13383261.45175197 4085224.467524096, -13383440.78691877 4085201.391912075, -13383698.60209375 4085168.330450395, -13384122.28280931 4085094.381077568, -13384676.87488255 4085055.382499295, -13385123.15339757 4084994.65827801, -13385366.60841417 4084988.990746466, -13385705.01869169 4085009.637035173, -13385975.96957229 4085075.624258068, -13386106.76958971 4085065.908357538, -13386278.42378214 4085056.462552193, -13386612.71534636 4085011.392256749, -13387235.99160066 4085027.04683589, -13387809.39684217 4085024.88887017, -13388310.33325171 4084960.117487429, -13388788.67187108 4084917.746712026, -13389533.39733851 4084838.402859099, -13390301.83391364 4085015.312805678, -13390666.84953044 4084869.981235045, -13391406.34293104 4084660.016639999, -13392438.93978789 4084421.989986883, -13393102.40223701 4084365.183654625, -13393625.26847258 4084201.105217533, -13394463.6132968 4083954.587415531, -13395393.35127592 4083883.076810864, -13396188.1704276 4083910.873921107, -13396395.44675431 4083842.465418341, -13396950.48428403 4083777.026497547, -13397175.34900037 4083627.528104763, -13397911.28027019 4083619.569094516, -13398457.96893716 4083698.097364498, -13399230.74691836 4083784.317533461, -13399451.38153671 4083697.829677335, -13400194.10319139 4083539.563429727, -13400339.82000932 4083499.626090564, -13400735.78239033 4083438.371509603, -13401411.15599308 4083402.078640036, -13401819.69728927 4083084.205225052, -13402642.34603252 4082776.730270939, -13403816.3181732 4082457.662201084, -13404837.11518798 4082309.262712335, -13404891.88423163 4082301.303160023, -13405764.8493696 4082200.258251875, -13406321.89048408 4081917.08995971, -13406901.86340709 4081719.187168384, -13407725.06881023 4081555.418379021, -13408544.04412016 4081450.063379861, -13409102.53259239 4081490.669664524, -13409783.02697748 4081624.762867289, -13410513.39241229 4081821.453039151, -13411240.19575815 4082189.209106142, -13411640.94489875 4082195.011145092, -13412673.20803781 4082407.091680528, -13413463.24071999 4082792.270853072, -13414110.11716644 4083062.511622313, -13414448.97411757 4083384.973552858, -13414905.16192608 4083758.582463107, -13415575.4173603 4084264.978109504, -13416155.615332 4084803.646586968, -13416631.17288488 4085271.223989996, -13416981.60740313 4085887.941773933, -13417359.53790237 4086536.004136174, -13417664.44272563 4087117.159454911, -13417958.77246115 4087972.615564868, -13417996.51070437 4088946.790247344, -13417969.01551696 4089750.949082639, -13418251.99010065 4089968.705456357, -13418618.12057014 4090343.072111492, -13418962.20982244 4090767.000004175, -13419458.25056936 4091432.220712597, -13419910.54287507 4092223.731322164, -13420240.38362777 4092989.099666215, -13420489.18377138 4093791.252411718, -13420615.64367201 4094581.036512465, -13420819.80387278 4094619.798747718, -13421110.45944715 4094693.676525762, -13421415.25267748 4094826.035496363, -13421666.94659707 4095084.67868064, -13421952.70408779 4095131.681869025, -13422394.08656172 4095325.636328553, -13423072.58000893 4095683.974015467, -13423813.41257675 4096137.145845863, -13424500.14560146 4096688.947760598, -13424837.44358758 4096586.962370334, -13425183.64715042 4096484.842866875, -13425575.93718562 4096418.115228011, -13426186.30253007 4096396.910516215, -13426961.08726828 4096458.510196243, -13427301.39152085 4096510.787718986, -13427474.15973452 4096557.256252591, -13427569.11535418 4096555.365541824, -13428025.19157038 4096496.067187331, -13428025.1916306 4096512.006668052, -13428227.79332307 4096512.547892581, -13428757.11802982 4096501.878901269, -13429315.16345811 4096563.208015999, -13429846.38093396 4096647.501267582, -13430188.91188494 4096794.473022462, -13430494.15060168 4096897.003458619, -13430758.75765826 4097000.345162886, -13431000.6555107 4097104.092974959, -13431275 4097249.403906739, -13431275 4116930, -13360275 4116930, -13360275 4083415.612439756)), ((-13422282.57563437 4045930, -13422070.5420527 4046304.885791212, -13421551.57161026 4047026.803981175, -13420789.14559408 4047705.45853405, -13419420.25153511 4048479.112934998, -13418242.1587024 4049007.465289221, -13416989.0363604 4049233.714335714, -13415784.33786636 4049337.556495985, -13414797.0459784 4049141.83125924, -13414109.53729516 4049031.526589905, -13413707.00697092 4048946.646010607, -13413101.43062975 4048573.508869006, -13412541.82915745 4048298.841658118, -13411931.5774225 4047907.702551909, -13411472.94229092 4047371.457800287, -13410843.43228975 4046822.864064139, -13410135.55423621 4047520.871527236, -13409213.49821252 4048391.221687237, -13408329.84715801 4049040.899290361, -13407431.27925821 4049564.702401381, -13406509.33426731 4049967.052832805, -13405828.39514788 4050205.832285132, -13404958.32476884 4050382.865960548, -13404094.93344858 4050316.805535591, -13402997.1039736 4050135.318893851, -13401970.29609632 4049863.300674496, -13401600.0485581 4049640.932055507, -13401447.09604673 4049614.968332905, -13400193.53108302 4049287.136002413, -13399387.80308123 4049101.094266741, -13398634.39505848 4048796.954360256, -13397875.5323697 4048291.331659227, -13397355.56057669 4047811.019114082, -13396911.50842013 4047168.932238943, -13396489.72009563 4046473.088057297, -13396289.97805207 4045930, -13422282.57563437 4045930)))"
