GRID_ID,GRID_ID_adj,multiplier
49.0,50.0,1.0
49.0,65.0,1.0
49.0,35.0,1.0
49.0,48.0,1.0
49.0,63.0,1.0
49.0,64.0,1.0
49.0,37.0,1.0
49.0,36.0,1.0
50.0,49.0,1.0
50.0,65.0,1.0
50.0,38.0,1.0
50.0,51.0,1.0
50.0,66.0,1.0
50.0,64.0,1.0
50.0,37.0,1.0
50.0,36.0,1.0
65.0,49.0,1.3333333333333333
65.0,50.0,1.3333333333333333
65.0,51.0,1.3333333333333333
65.0,66.0,1.3333333333333333
65.0,82.0,1.3333333333333333
65.0,64.0,1.3333333333333333
39.0,40.0,1.0
39.0,52.0,1.0
39.0,53.0,1.0
39.0,28.0,1.0
39.0,29.0,1.0
39.0,38.0,1.0
39.0,51.0,1.0
39.0,27.0,1.0
40.0,39.0,1.0
40.0,52.0,1.0
40.0,53.0,1.0
40.0,28.0,1.0
40.0,29.0,1.0
40.0,30.0,1.0
40.0,41.0,1.0
40.0,54.0,1.0
52.0,39.0,1.0
52.0,40.0,1.0
52.0,53.0,1.0
52.0,67.0,1.0
52.0,68.0,1.0
52.0,38.0,1.0
52.0,51.0,1.0
52.0,66.0,1.0
53.0,39.0,1.0
53.0,40.0,1.0
53.0,52.0,1.0
53.0,67.0,1.0
53.0,68.0,1.0
53.0,69.0,1.0
53.0,41.0,1.0
53.0,54.0,1.0
59.0,74.0,2.0
59.0,75.0,2.0
59.0,73.0,2.0
59.0,58.0,2.0
74.0,59.0,1.1428571428571428
74.0,75.0,1.1428571428571428
74.0,90.0,1.1428571428571428
74.0,91.0,1.1428571428571428
74.0,73.0,1.1428571428571428
74.0,89.0,1.1428571428571428
74.0,58.0,1.1428571428571428
75.0,59.0,1.3333333333333333
75.0,74.0,1.3333333333333333
75.0,76.0,1.3333333333333333
75.0,90.0,1.3333333333333333
75.0,91.0,1.3333333333333333
75.0,92.0,1.3333333333333333
76.0,75.0,2.6666666666666665
76.0,91.0,2.6666666666666665
76.0,92.0,2.6666666666666665
90.0,74.0,1.0
90.0,75.0,1.0
90.0,91.0,1.0
90.0,101.0,1.0
90.0,102.0,1.0
90.0,73.0,1.0
90.0,89.0,1.0
90.0,100.0,1.0
91.0,74.0,1.0
91.0,75.0,1.0
91.0,76.0,1.0
91.0,90.0,1.0
91.0,92.0,1.0
91.0,101.0,1.0
91.0,102.0,1.0
91.0,103.0,1.0
92.0,75.0,1.3333333333333333
92.0,76.0,1.3333333333333333
92.0,91.0,1.3333333333333333
92.0,93.0,1.3333333333333333
92.0,102.0,1.3333333333333333
92.0,103.0,1.3333333333333333
67.0,52.0,1.0
67.0,53.0,1.0
67.0,68.0,1.0
67.0,51.0,1.0
67.0,66.0,1.0
67.0,82.0,1.0
67.0,84.0,1.0
67.0,83.0,1.0
68.0,52.0,1.0
68.0,53.0,1.0
68.0,67.0,1.0
68.0,69.0,1.0
68.0,84.0,1.0
68.0,85.0,1.0
68.0,83.0,1.0
68.0,54.0,1.0
93.0,92.0,8.0
101.0,90.0,1.0
101.0,91.0,1.0
101.0,102.0,1.0
101.0,112.0,1.0
101.0,111.0,1.0
101.0,89.0,1.0
101.0,100.0,1.0
101.0,110.0,1.0
102.0,90.0,1.0
102.0,91.0,1.0
102.0,92.0,1.0
102.0,101.0,1.0
102.0,103.0,1.0
102.0,112.0,1.0
102.0,111.0,1.0
102.0,113.0,1.0
103.0,91.0,1.6
