GRID_ID,ID
0,USW00024286
1,USW00024213
2,USC00048045
3,USC00048045
4,USC00043761
5,USC00049694
6,USC00048045
7,USC00043161
8,USC00043161
9,USW00023275
10,USC00043191
11,USC00043182
12,USC00049490
13,USC00049026
14,USC00048587
15,USC00047109
16,USC00041838
17,USC00043578
18,USC00044500
19,USC00045983
20,USC00042574
21,USW00024257
22,USW00024216
23,USC00049699
24,USC00041806
25,USC00045360
26,USC00040693
27,USC00047339
28,USC00040673
29,USC00044838
30,USC00043824
31,USC00045311
32,USC00042402
33,USC00046521
34,USC00049781
35,USW00023232
36,USC00040232
37,USC00045933
38,USC00043417
39,USC00041534
40,USC00044555
41,USS0020H13S
42,USS0020H13S
43,USC00048702
44,USC00047195
45,USC00048606
46,USC00041912
47,USC00048713
48,USW00023237
49,USC00049073
50,USC00045118
51,USC00046926
52,USC00044555
53,USC00046730
54,USW00023273
55,USS0020H06S
56,USC00044374
57,USC00048702
58,USC00047085
59,USS0020K03S
60,USS0020L02S
61,USC00041277
62,USC00048353
63,USC00042920
64,USC00045233
65,USC00043083
66,USC00041864
67,USC00047851
68,USC00049111
69,USC00045064
70,USW00023190
71,USS0019L03S
72,USS0019L06S
73,USC00043939
74,USC00048380
75,USC00043261
76,USC00043747
77,USC00042012
78,USC00041244
79,USC00046154
80,USC00043402
81,USC00047902
82,USW00023191
83,USC00041072
84,USC00044881
85,USC00046252
86,USC00040449
87,USC00044890
88,USC00044957
89,USW00023155
90,USC00048839
91,USC00046399
92,USW00093111
93,USC00044881
94,USW00023157
95,USW00023157
96,USC00045026
97,USC00043463
98,USC00043463
99,USC00042941
100,USW00023130
101,USW00023174
102,USW00023191
103,USW00023191
104,USW00023157
105,USW00023157
106,USC00042319
107,USW00093104
108,USC00047253
109,USC00045756
110,USC00046773
111,USC00040192
112,USC00046175
113,USC00042319
114,USC00042319
115,USC00049035
116,USC00049035
117,USC00040521
118,USC00049325
119,USW00023119
120,USC00049378
121,USW00093107
122,USC00042319
123,USC00042319
124,USW00023161
125,USW00023161
126,USC00040741
127,USC00044211
128,USC00040983
129,USC00042239
130,USC00042319
131,USW00023161
132,USW00023161
133,USC00049099
134,USC00043855
135,USW00003104
136,USW00023199
137,USW00023179
138,USW00023179
139,USC00044297
140,USC00042598
141,USC00043855
142,USC00044223
143,USW00023179
144,USC00046699
145,USW00023158
146,USW00023158
147,USC00044223
