,feature,feature score
153,2m_tmp_18hrs_10y,0.16384843710980776
70,tot_area_fire_prev_1yr,0.11317307596309871
69,hist_fire_area_prop_10y,0.04161860738312998
73,hist_prop_area_fire_1m,0.024942531754189513
59,tot_prcp_18hrs,0.02456801321190861
134,tot_prcp_0hrs_5y,0.012006827315038148
28,U_wind_10m_0hrs,0.011622811721884589
74,U_wind_10m_0hrs_1y,0.01158837703562089
136,tot_prcp_12hrs_5y,0.01130506378717884
47,2m_tmp_12hrs,0.011249960684674343
102,tot_prcp_0hrs_1y,0.010907816969285264
51,tot_prcp_12hrs,0.010811363281022576
68,hist_fire_area_prop_5y,0.010755409112438673
43,tot_prcp_6hrs,0.009934563587847566
35,tot_prcp_0hrs,0.009883468729578645
82,2m_dewpoint_tmp_0hrs_1y,0.009520089623479819
83,2m_dewpoint_tmp_6hrs_1y,0.009295973797616852
37,V_wind_10m_6hrs,0.008774106678179565
81,V_wind_10m_18hrs_1y,0.008723628066151167
31,2m_tmp_0hrs,0.008720311661710337
113,V_wind_10m_18hrs_5y,0.00827895912276464
75,U_wind_10m_6hrs_1y,0.00826306451707365
110,V_wind_10m_0hrs_5y,0.00802834852515268
87,2m_tmp_6hrs_1y,0.007982562678534975
135,tot_prcp_6hrs_5y,0.007854974164883418
