,col,feature_importance
153,2m_tmp_18hrs_10y,0.14560084480362218
70,tot_area_fire_prev_1yr,0.09827256943786877
69,hist_fire_area_prop_10y,0.035959801925347146
59,tot_prcp_18hrs,0.027271012952363394
66,hist_fire_area_prop_1m,0.02201440063498187
73,hist_prop_area_fire_1m,0.021702737977803106
35,tot_prcp_0hrs,0.015395182731225955
102,tot_prcp_0hrs_1y,0.013207970606845126
77,U_wind_10m_18hrs_1y,0.013116067007834778
104,tot_prcp_12hrs_1y,0.011995034734540706
134,tot_prcp_0hrs_5y,0.011979882166752604
89,2m_tmp_18hrs_1y,0.01156793361778289
47,2m_tmp_12hrs,0.011196842641568568
45,V_wind_10m_12hrs,0.01098875390631519
51,tot_prcp_12hrs,0.010914623192827535
39,2m_tmp_6hrs,0.010385168603937739
166,tot_prcp_0hrs_10y,0.010374432214463299
68,hist_fire_area_prop_5y,0.010035181642703261
43,tot_prcp_6hrs,0.00993276818742132
150,2m_tmp_0hrs_10y,0.009020568631662838
145,V_wind_10m_18hrs_10y,0.008856224255999518
112,V_wind_10m_12hrs_5y,0.00879950226958214
28,U_wind_10m_0hrs,0.008682493249531532
167,tot_prcp_6hrs_10y,0.008487770049962422
105,tot_prcp_18hrs_1y,0.008338313235492301
44,U_wind_10m_12hrs,0.00825330357766968
103,tot_prcp_6hrs_1y,0.008150539234815662
88,2m_tmp_12hrs_1y,0.008133930517529477
138,U_wind_10m_0hrs_10y,0.007995002469735153
135,tot_prcp_6hrs_5y,0.007723613805360587
85,2m_dewpoint_tmp_18hrs_1y,0.007706725854313296
46,2m_dewpoint_tmp_12hrs,0.007564867780245819
168,tot_prcp_12hrs_10y,0.007446784250040104
113,V_wind_10m_18hrs_5y,0.007431994490430897
54,2m_dewpoint_tmp_18hrs,0.007297248497488199
26,Unemployment,0.007193657707593999
36,U_wind_10m_6hrs,0.007190913243538647
53,V_wind_10m_18hrs,0.007062829462561581
83,2m_dewpoint_tmp_6hrs_1y,0.00662730567836561
149,2m_dewpoint_tmp_18hrs_10y,0.006469399083418991
86,2m_tmp_0hrs_1y,0.006361027160971993
141,U_wind_10m_18hrs_10y,0.006332987170957752
121,2m_tmp_18hrs_5y,0.006283460590343711
72,hist_cl_size_no_leak_1m,0.006236285624671752
25,Total Arsons Cleared,0.006225738496509533
109,U_wind_10m_18hrs_5y,0.006129620600052309
78,V_wind_10m_0hrs_1y,0.006112239437428683
80,V_wind_10m_12hrs_1y,0.0060841313637665494
106,U_wind_10m_0hrs_5y,0.0060732246543734455
29,V_wind_10m_0hrs,0.00604182359621237
31,2m_tmp_0hrs,0.006040595250376471
137,tot_prcp_18hrs_5y,0.005966340632878659
82,2m_dewpoint_tmp_0hrs_1y,0.005793970882732474
169,tot_prcp_18hrs_10y,0.0057679975571293405
5,elev_range,0.00576223041014136
81,V_wind_10m_18hrs_1y,0.005626172619232333
111,V_wind_10m_6hrs_5y,0.005605120920492283
22,Mobile Arsons,0.005601966094540546
1,elev_std,0.005497304337080719
76,U_wind_10m_12hrs_1y,0.0054105545679083815
144,V_wind_10m_12hrs_10y,0.0053952095155933395
7,total_pl_length,0.005338245133270799
162,surface_pressure_0hrs_10y,0.005283919957470579
67,hist_fire_area_prop_1y,0.005247153063993082
142,V_wind_10m_0hrs_10y,0.0049119569599890625
151,2m_tmp_6hrs_10y,0.004762606604181998
139,U_wind_10m_6hrs_10y,0.004489409385247033
110,V_wind_10m_0hrs_5y,0.004485538183547453
130,surface_pressure_0hrs_5y,0.004477525307294996
52,U_wind_10m_18hrs,0.004462186156066288
146,2m_dewpoint_tmp_0hrs_10y,0.004431780727094368
4,elev_min,0.0043863193704640115
23,Other Arsons,0.0043641135013361655
120,2m_tmp_12hrs_5y,0.004355452520212599
84,2m_dewpoint_tmp_12hrs_1y,0.004257289294564575
8,road_count,0.004190842660330193
122,leaf_high_veg_0hrs_5y,0.004162492840644746
79,V_wind_10m_6hrs_1y,0.004139777407972958
55,2m_tmp_18hrs,0.004060812960728385
114,2m_dewpoint_tmp_0hrs_5y,0.004009307725661474
116,2m_dewpoint_tmp_12hrs_5y,0.003979909519281642
87,2m_tmp_6hrs_1y,0.0037511552586841483
118,2m_tmp_0hrs_5y,0.003720762109666374
148,2m_dewpoint_tmp_12hrs_10y,0.0036955312345693906
101,surface_pressure_18hrs_1y,0.0036914015310540974
147,2m_dewpoint_tmp_6hrs_10y,0.0036099757447930945
75,U_wind_10m_6hrs_1y,0.003594289740974209
71,hist_bin_no_leak_1m,0.0035859548861044348
107,U_wind_10m_6hrs_5y,0.0035740746747396617
9,total_road_length,0.0034578027224167183
108,U_wind_10m_12hrs_5y,0.0033582346285021478
37,V_wind_10m_6hrs,0.003352318039503183
136,tot_prcp_12hrs_5y,0.0032862288985115577
140,U_wind_10m_12hrs_10y,0.003199721755854082
2,elev_media,0.0031021005019138746
143,V_wind_10m_6hrs_10y,0.0030881253232039178
132,surface_pressure_12hrs_5y,0.003024694446028408
13,AGEUNDER13_TOT,0.0029824201798815345
38,2m_dewpoint_tmp_6hrs,0.0029461763660719354
11,MEDIAN_AGE_MALE,0.0027822568910379187
18,POPDENSITY,0.0026625144496528544
125,leaf_high_veg_18hrs_5y,0.002614908132839339
74,U_wind_10m_0hrs_1y,0.002573016567900419
124,leaf_high_veg_12hrs_5y,0.002508518035086204
50,surface_pressure_12hrs,0.0023867638701848787
0,elev_mean,0.002367604081035687
98,surface_pressure_0hrs_1y,0.002300710077001821
100,surface_pressure_12hrs_1y,0.0022774894599853295
21,Structure Arsons,0.002193677900849997
152,2m_tmp_12hrs_10y,0.002077520519265544
34,surface_pressure_0hrs,0.002009034119386477
24,Total Arsons,0.0018299912889755893
164,surface_pressure_12hrs_10y,0.001775602426796368
32,leaf_high_veg_0hrs,0.0017426869670358982
30,2m_dewpoint_tmp_0hrs,0.0017200943033682465
157,leaf_high_veg_18hrs_10y,0.0016683615536055147
3,elev_max,0.001604233831119952
20,POPDENSITY_FEM,0.0012647410034346417
17,AGE65PLUS_TOT,0.0012426483163272561
117,2m_dewpoint_tmp_18hrs_5y,0.0011654964665112446
58,surface_pressure_18hrs,0.0010886136530925473
115,2m_dewpoint_tmp_6hrs_5y,0.0010392968377077457
90,leaf_high_veg_0hrs_1y,0.000996651151638965
94,leaf_low_veg_0hrs_1y,0.0009858371592195748
12,MEDIAN_AGE_FEM,0.0009849273653394382
99,surface_pressure_6hrs_1y,0.00090806212192382
128,leaf_low_veg_12hrs_5y,0.0007681709485788312
133,surface_pressure_18hrs_5y,0.0007353769021576562
165,surface_pressure_18hrs_10y,0.0006400048229648004
10,MEDIAN_AGE_TOT,0.0006291720808066685
156,leaf_high_veg_12hrs_10y,0.0006112725103615613
65,hist_cl_size_10y,0.0006110369352435047
27,medianHHI2018,0.0005920918201125762
63,hist_cl_size_1y,0.0005790772618710695
15,AGE2544_TOT,0.0005719928648313721
163,surface_pressure_6hrs_10y,0.0005580005669867088
64,hist_cl_size_5y,0.0005531195984607828
119,2m_tmp_6hrs_5y,0.0005521945280957478
14,AGE1424_TOT,0.0004986733929482582
96,leaf_low_veg_12hrs_1y,0.0004174393880244022
19,POPDENSITY_MALE,0.0003580452392982277
123,leaf_high_veg_6hrs_5y,0.00035679069120193337
154,leaf_high_veg_0hrs_10y,0.0003467829669773529
158,leaf_low_veg_0hrs_10y,0.0003396937939923434
40,leaf_high_veg_6hrs,0.0
126,leaf_low_veg_0hrs_5y,0.0
56,leaf_high_veg_18hrs,0.0
97,leaf_low_veg_18hrs_1y,0.0
57,leaf_low_veg_18hrs,0.0
95,leaf_low_veg_6hrs_1y,0.0
93,leaf_high_veg_18hrs_1y,0.0
92,leaf_high_veg_12hrs_1y,0.0
161,leaf_low_veg_18hrs_10y,0.0
160,leaf_low_veg_12hrs_10y,0.0
159,leaf_low_veg_6hrs_10y,0.0
91,leaf_high_veg_6hrs_1y,0.0
155,leaf_high_veg_6hrs_10y,0.0
41,leaf_low_veg_6hrs,0.0
60,hist_bin_1y,0.0
