,feature,feature score
153,2m_tmp_18hrs_10y,0.024790486823734463
121,2m_tmp_18hrs_5y,0.020771666038725746
118,2m_tmp_0hrs_5y,0.01703434664616233
70,tot_area_fire_prev_1yr,0.015142833782696154
67,hist_fire_area_prop_1y,0.015009271743078988
89,2m_tmp_18hrs_1y,0.01455530363213968
86,2m_tmp_0hrs_1y,0.014077824581936592
150,2m_tmp_0hrs_10y,0.014007626975275592
69,hist_fire_area_prop_10y,0.013900629339773868
31,2m_tmp_0hrs,0.012448559037855163
60,hist_bin_1y,0.011904799258305933
55,2m_tmp_18hrs,0.011810855529612583
68,hist_fire_area_prop_5y,0.011633530181458124
137,tot_prcp_18hrs_5y,0.01151525036912151
66,hist_fire_area_prop_1m,0.011395946564561872
63,hist_cl_size_1y,0.011161158604072878
151,2m_tmp_6hrs_10y,0.010751588648310472
59,tot_prcp_18hrs,0.010582243406922862
136,tot_prcp_12hrs_5y,0.010582240690570647
35,tot_prcp_0hrs,0.010130900735288719
51,tot_prcp_12hrs,0.009716333120403037
43,tot_prcp_6hrs,0.009086370605865979
169,tot_prcp_18hrs_10y,0.00879558570111824
135,tot_prcp_6hrs_5y,0.008698785828628593
168,tot_prcp_12hrs_10y,0.008300858464818355
