ID,YEAR,MONTH,DAY,DAEV,DAPR,EVAP,MDEV,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01,WT08
USC00040232,1955,3,1,,,25.0,,,0.0,0.0,0.0,128.0,-6.0,67.0,,,
USC00040232,1955,3,10,,,5.0,,,13.0,0.0,0.0,161.0,56.0,89.0,,,
USC00040232,1955,3,11,,,23.0,,,0.0,0.0,0.0,189.0,61.0,122.0,,,
USC00040232,1955,3,12,,,28.0,,,0.0,0.0,0.0,194.0,50.0,111.0,,,
USC00040232,1955,3,13,,,53.0,,,0.0,0.0,0.0,161.0,61.0,106.0,,,
USC00040232,1955,3,14,,,53.0,,,0.0,0.0,0.0,156.0,39.0,89.0,,,
USC00040232,1955,3,15,,,71.0,,,0.0,0.0,0.0,211.0,44.0,89.0,,,
USC00040232,1955,3,16,,,56.0,,,0.0,0.0,0.0,167.0,33.0,72.0,,,
USC00040232,1955,3,17,,,48.0,,,0.0,0.0,0.0,183.0,0.0,67.0,,,
USC00040232,1955,3,18,,,46.0,,,0.0,0.0,0.0,194.0,11.0,89.0,,,
USC00040232,1955,3,19,,,33.0,,,0.0,0.0,0.0,217.0,28.0,122.0,,,
USC00040232,1955,3,2,,,20.0,,,0.0,0.0,0.0,139.0,11.0,56.0,,,
USC00040232,1955,3,20,,,69.0,,,0.0,0.0,0.0,217.0,39.0,83.0,,,
USC00040232,1955,3,21,,,64.0,,,0.0,0.0,0.0,167.0,11.0,128.0,,,
USC00040232,1955,3,22,,,48.0,,,0.0,0.0,0.0,217.0,61.0,117.0,,,
USC00040232,1955,3,23,,,46.0,,,0.0,0.0,0.0,194.0,28.0,117.0,,,
USC00040232,1955,3,24,,,38.0,,,0.0,0.0,0.0,211.0,56.0,144.0,,,
USC00040232,1955,3,25,,,51.0,,,0.0,0.0,0.0,244.0,100.0,189.0,,,
USC00040232,1955,3,26,,,51.0,,,0.0,0.0,0.0,256.0,106.0,194.0,,,
USC00040232,1955,3,27,,,61.0,,,0.0,0.0,0.0,278.0,122.0,178.0,,,
USC00040232,1955,3,28,,,28.0,,,0.0,0.0,0.0,222.0,111.0,161.0,,,
USC00040232,1955,3,29,,,53.0,,,0.0,0.0,0.0,228.0,117.0,133.0,,,
USC00040232,1955,3,3,,,20.0,,,0.0,0.0,0.0,161.0,6.0,44.0,,,
USC00040232,1955,3,30,,,25.0,,,13.0,0.0,0.0,167.0,44.0,100.0,,,
USC00040232,1955,3,31,,,46.0,,,0.0,0.0,0.0,189.0,22.0,139.0,,,
USC00040232,1955,3,4,,,28.0,,,0.0,0.0,0.0,167.0,22.0,78.0,,,
