ID,YEAR,MONTH,DAY,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11
USC00041534,1959,1,1,,,0.0,0.0,0.0,189.0,22.0,106.0,,,,,-9999.0
USC00041534,1959,1,10,,,127.0,0.0,0.0,178.0,122.0,139.0,,,,,-9999.0
USC00041534,1959,1,11,,,0.0,0.0,0.0,206.0,89.0,144.0,,,,,-9999.0
USC00041534,1959,1,12,,,56.0,0.0,0.0,161.0,106.0,144.0,,,,,-9999.0
USC00041534,1959,1,13,,,0.0,0.0,0.0,178.0,83.0,122.0,,,,,-9999.0
USC00041534,1959,1,14,,,0.0,0.0,0.0,217.0,56.0,144.0,,,,,-9999.0
USC00041534,1959,1,15,,,0.0,0.0,0.0,233.0,78.0,106.0,,,,,-9999.0
USC00041534,1959,1,16,,,0.0,0.0,0.0,211.0,50.0,100.0,,,,,-9999.0
USC00041534,1959,1,17,,,0.0,0.0,0.0,228.0,67.0,139.0,,,,,-9999.0
USC00041534,1959,1,18,,,0.0,0.0,0.0,200.0,39.0,106.0,,,,,-9999.0
USC00041534,1959,1,19,,,0.0,0.0,0.0,189.0,11.0,111.0,,,,,-9999.0
USC00041534,1959,1,2,,,0.0,0.0,0.0,133.0,44.0,83.0,,,,,-9999.0
USC00041534,1959,1,20,,,0.0,0.0,0.0,156.0,-6.0,89.0,,,,,-9999.0
USC00041534,1959,1,21,,,0.0,0.0,0.0,172.0,11.0,128.0,,,,,-9999.0
USC00041534,1959,1,22,,,0.0,0.0,0.0,200.0,44.0,133.0,,,,,-9999.0
USC00041534,1959,1,23,,,0.0,0.0,0.0,206.0,33.0,106.0,,,,,-9999.0
USC00041534,1959,1,24,,,0.0,0.0,0.0,178.0,11.0,133.0,,,,,-9999.0
USC00041534,1959,1,25,,,38.0,0.0,0.0,156.0,89.0,106.0,,,,,-9999.0
USC00041534,1959,1,26,,,13.0,0.0,0.0,172.0,50.0,128.0,,,,,-9999.0
USC00041534,1959,1,27,,,0.0,0.0,0.0,172.0,28.0,144.0,,,,,-9999.0
USC00041534,1959,1,28,,,13.0,0.0,0.0,156.0,61.0,89.0,,,,,-9999.0
USC00041534,1959,1,29,,,5.0,0.0,0.0,172.0,6.0,128.0,,,,,-9999.0
USC00041534,1959,1,3,,,0.0,0.0,0.0,139.0,-17.0,44.0,,,,,-9999.0
USC00041534,1959,1,30,,,8.0,0.0,0.0,156.0,17.0,61.0,,,,,-9999.0
