ID,YEAR,MONTH,DAY,DAEV,DAPR,DAWM,EVAP,MDEV,MDPR,MDWM,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01,WT03,WT04,WT09,WT11,WT14,WT16,WT18
USC00042964,1923,5,1,,,,,,,,0.0,,,183.0,78.0,,,,,,,,,,
USC00042964,1923,5,10,,,,,,,,0.0,,,244.0,94.0,,,,,,,,,,
USC00042964,1923,5,11,,,,,,,,0.0,,,222.0,78.0,,,,,,,,,,
USC00042964,1923,5,12,,,,,,,,0.0,,,200.0,111.0,,,,,,,,,,
USC00042964,1923,5,13,,,,,,,,0.0,,,-9999.0,67.0,,,,,,,,,,
USC00042964,1923,5,14,,,,,,,,0.0,,,267.0,89.0,,,,,,,,,,
USC00042964,1923,5,15,,,,,,,,0.0,,,256.0,111.0,,,,,,,,,,
USC00042964,1923,5,16,,,,,,,,0.0,,,272.0,122.0,,,,,,,,,,
USC00042964,1923,5,17,,,,,,,,0.0,,,211.0,122.0,,,,,,,,,,
USC00042964,1923,5,18,,,,,,,,0.0,,,200.0,100.0,,,,,,,,,,
USC00042964,1923,5,19,,,,,,,,119.0,,,111.0,72.0,,,,,,,,,,
USC00042964,1923,5,2,,,,,,,,0.0,,,194.0,67.0,,,,,,,,,,
USC00042964,1923,5,20,,,,,,,,8.0,,,200.0,28.0,,,,,,,,,,
USC00042964,1923,5,21,,,,,,,,0.0,,,-9999.0,67.0,,,,,,,,,,
USC00042964,1923,5,22,,,,,,,,0.0,,,250.0,78.0,,,,,,,,,,
USC00042964,1923,5,23,,,,,,,,0.0,,,244.0,106.0,,,,,,,,,,
USC00042964,1923,5,24,,,,,,,,0.0,,,244.0,67.0,,,,,,,,,,
USC00042964,1923,5,25,,,,,,,,0.0,,,178.0,89.0,,,,,,,,,,
USC00042964,1923,5,26,,,,,,,,94.0,,,150.0,144.0,,,,,,,,,,
USC00042964,1923,5,27,,,,,,,,0.0,,,167.0,56.0,,,,,,,,,,
USC00042964,1923,5,28,,,,,,,,0.0,,,156.0,39.0,,,,,,,,,,
USC00042964,1923,5,29,,,,,,,,89.0,,,161.0,89.0,,,,,,,,,,
USC00042964,1923,5,3,,,,,,,,0.0,,,244.0,44.0,,,,,,,,,,
USC00042964,1923,5,30,,,,,,,,61.0,,,161.0,39.0,,,,,,,,,,
