ID,YEAR,MONTH,DAY,DAWM,EVAP,MDWM,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01
USC00044712,1975,8,1,,-9999.0,,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,
USC00044712,1975,8,10,,81.0,,139.0,322.0,0.0,0.0,0.0,367.0,117.0,144.0,58.0,
USC00044712,1975,8,11,,84.0,,133.0,322.0,0.0,0.0,0.0,350.0,122.0,167.0,56.0,
USC00044712,1975,8,12,,81.0,,133.0,306.0,0.0,0.0,0.0,333.0,117.0,150.0,63.0,
USC00044712,1975,8,13,,84.0,,128.0,311.0,0.0,0.0,0.0,333.0,122.0,150.0,103.0,
USC00044712,1975,8,14,,79.0,,128.0,306.0,0.0,0.0,0.0,317.0,122.0,139.0,93.0,
USC00044712,1975,8,15,,71.0,,133.0,300.0,0.0,0.0,0.0,317.0,128.0,139.0,63.0,
USC00044712,1975,8,16,,84.0,,128.0,306.0,0.0,0.0,0.0,317.0,117.0,139.0,93.0,
USC00044712,1975,8,17,,81.0,,133.0,300.0,0.0,0.0,0.0,322.0,133.0,167.0,119.0,
USC00044712,1975,8,18,,53.0,,133.0,244.0,28.0,0.0,0.0,272.0,167.0,172.0,111.0,
USC00044712,1975,8,19,,38.0,,139.0,222.0,3.0,0.0,0.0,228.0,133.0,150.0,76.0,
USC00044712,1975,8,2,,-9999.0,,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,
USC00044712,1975,8,20,,46.0,,133.0,283.0,0.0,0.0,0.0,261.0,144.0,172.0,50.0,
USC00044712,1975,8,21,,81.0,,144.0,294.0,0.0,0.0,0.0,306.0,139.0,156.0,93.0,
USC00044712,1975,8,22,,71.0,,139.0,267.0,0.0,0.0,0.0,300.0,139.0,161.0,90.0,
USC00044712,1975,8,23,,79.0,,139.0,306.0,0.0,0.0,0.0,333.0,133.0,167.0,72.0,
USC00044712,1975,8,24,,86.0,,144.0,300.0,0.0,0.0,0.0,333.0,161.0,194.0,90.0,
USC00044712,1975,8,25,,79.0,,161.0,322.0,0.0,0.0,0.0,328.0,150.0,183.0,71.0,
USC00044712,1975,8,26,,81.0,,144.0,322.0,0.0,0.0,0.0,339.0,133.0,156.0,66.0,
USC00044712,1975,8,27,,89.0,,106.0,250.0,0.0,0.0,0.0,239.0,139.0,150.0,40.0,
USC00044712,1975,8,28,,64.0,,106.0,244.0,0.0,0.0,0.0,239.0,139.0,156.0,159.0,
USC00044712,1975,8,29,,69.0,,117.0,267.0,0.0,0.0,0.0,278.0,128.0,172.0,106.0,
USC00044712,1975,8,3,,-9999.0,,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,
USC00044712,1975,8,30,,79.0,,117.0,294.0,0.0,0.0,0.0,289.0,128.0,144.0,108.0,
USC00044712,1975,8,31,,81.0,,122.0,294.0,0.0,0.0,0.0,306.0,122.0,133.0,95.0,
USC00044712,1975,8,4,,-9999.0,,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,
USC00044712,1975,8,5,,97.0,,128.0,294.0,0.0,0.0,0.0,367.0,117.0,161.0,63.0,
USC00044712,1975,8,6,,91.0,,122.0,306.0,0.0,0.0,0.0,339.0,150.0,172.0,90.0,
USC00044712,1975,8,7,,97.0,,111.0,267.0,0.0,0.0,0.0,306.0,111.0,183.0,119.0,
USC00044712,1975,8,8,,102.0,,111.0,283.0,0.0,0.0,0.0,333.0,133.0,189.0,137.0,
USC00044712,1975,8,9,,89.0,,122.0,317.0,0.0,0.0,0.0,367.0,128.0,150.0,77.0,
USC00044712,1975,9,1,,84.0,,111.0,283.0,0.0,0.0,0.0,289.0,117.0,122.0,98.0,
USC00044712,1975,9,10,,61.0,,139.0,283.0,0.0,0.0,0.0,317.0,167.0,167.0,85.0,
USC00044712,1975,9,11,,33.0,,139.0,233.0,0.0,0.0,0.0,261.0,139.0,161.0,50.0,
USC00044712,1975,9,12,,69.0,,139.0,294.0,0.0,0.0,0.0,311.0,139.0,144.0,72.0,
USC00044712,1975,9,13,,66.0,,139.0,294.0,0.0,0.0,0.0,311.0,122.0,133.0,60.0,
USC00044712,1975,9,14,,66.0,,128.0,289.0,0.0,0.0,0.0,306.0,106.0,122.0,61.0,
USC00044712,1975,9,15,,58.0,,128.0,294.0,0.0,0.0,0.0,306.0,122.0,139.0,61.0,
USC00044712,1975,9,16,,56.0,,128.0,294.0,0.0,0.0,0.0,294.0,117.0,128.0,48.0,
USC00044712,1975,9,17,,58.0,,122.0,294.0,0.0,0.0,0.0,311.0,122.0,200.0,66.0,
USC00044712,1975,9,18,,74.0,,133.0,278.0,0.0,0.0,0.0,322.0,150.0,172.0,77.0,
USC00044712,1975,9,19,,76.0,,133.0,278.0,0.0,0.0,0.0,317.0,128.0,144.0,90.0,
USC00044712,1975,9,2,,74.0,,111.0,272.0,0.0,0.0,0.0,289.0,122.0,156.0,105.0,
USC00044712,1975,9,20,,58.0,,133.0,294.0,0.0,0.0,0.0,300.0,117.0,128.0,43.0,
USC00044712,1975,9,21,,66.0,,133.0,289.0,0.0,0.0,0.0,322.0,122.0,161.0,64.0,
USC00044712,1975,9,22,,56.0,,144.0,294.0,0.0,0.0,0.0,317.0,122.0,133.0,50.0,
USC00044712,1975,9,23,,56.0,,139.0,294.0,0.0,0.0,0.0,311.0,128.0,133.0,51.0,
USC00044712,1975,9,24,,74.0,,122.0,294.0,0.0,0.0,0.0,339.0,133.0,183.0,105.0,
USC00044712,1975,9,25,,64.0,,122.0,300.0,0.0,0.0,0.0,356.0,128.0,161.0,74.0,
USC00044712,1975,9,26,,64.0,,122.0,289.0,0.0,0.0,0.0,333.0,106.0,122.0,64.0,
USC00044712,1975,9,27,,69.0,,111.0,278.0,0.0,0.0,0.0,333.0,100.0,111.0,68.0,
USC00044712,1975,9,28,,66.0,,106.0,267.0,0.0,0.0,0.0,311.0,89.0,94.0,69.0,
USC00044712,1975,9,29,,48.0,,106.0,267.0,0.0,0.0,0.0,306.0,89.0,111.0,43.0,
USC00044712,1975,9,3,,74.0,,111.0,294.0,0.0,0.0,0.0,317.0,128.0,144.0,82.0,
USC00044712,1975,9,30,,48.0,,106.0,272.0,0.0,0.0,0.0,306.0,106.0,122.0,42.0,
USC00044712,1975,9,31,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
USC00044712,1975,9,4,,76.0,,122.0,294.0,0.0,0.0,0.0,328.0,128.0,189.0,98.0,
USC00044712,1975,9,5,,76.0,,122.0,306.0,0.0,0.0,0.0,361.0,156.0,167.0,79.0,
USC00044712,1975,9,6,,91.0,,139.0,317.0,0.0,0.0,0.0,378.0,144.0,172.0,74.0,
USC00044712,1975,9,7,,99.0,,144.0,322.0,0.0,0.0,0.0,378.0,144.0,156.0,95.0,
USC00044712,1975,9,8,,84.0,,144.0,311.0,0.0,0.0,0.0,356.0,150.0,167.0,77.0,
USC00044712,1975,9,9,,58.0,,144.0,239.0,0.0,0.0,0.0,294.0,167.0,178.0,87.0,
USC00044712,1975,10,1,,51.0,,122.0,267.0,0.0,0.0,0.0,300.0,117.0,128.0,51.0,
USC00044712,1975,10,10,,10.0,,89.0,106.0,434.0,0.0,0.0,161.0,117.0,122.0,126.0,
USC00044712,1975,10,11,,30.0,,89.0,183.0,15.0,0.0,0.0,189.0,100.0,100.0,130.0,
USC00044712,1975,10,12,,18.0,,78.0,156.0,0.0,0.0,0.0,167.0,94.0,100.0,95.0,
USC00044712,1975,10,13,,36.0,,78.0,189.0,0.0,0.0,0.0,194.0,72.0,83.0,55.0,
USC00044712,1975,10,14,,15.0,,83.0,189.0,0.0,0.0,0.0,194.0,78.0,100.0,79.0,
