ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14
USC00045026,1968,11,1,,,,,-9999.0,5875.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00045026,1968,11,10,,,,,0.0,0.0,0.0,128.0,-6.0,6.0,,,,,,
USC00045026,1968,11,11,,,,,0.0,0.0,0.0,172.0,11.0,72.0,,,,,,
USC00045026,1968,11,12,,,,,165.0,25.0,0.0,133.0,0.0,6.0,,,,,,
USC00045026,1968,11,13,,,,,0.0,0.0,0.0,39.0,-50.0,-33.0,,,,,,
USC00045026,1968,11,14,,,,,0.0,0.0,0.0,33.0,-72.0,-50.0,,,,,,
USC00045026,1968,11,15,,,,,442.0,305.0,305.0,17.0,-50.0,6.0,,,,,,
USC00045026,1968,11,16,,,,,0.0,0.0,305.0,44.0,-50.0,-44.0,,,,,,
USC00045026,1968,11,17,,,,,0.0,0.0,305.0,39.0,-50.0,-17.0,,,,,,
USC00045026,1968,11,18,,,,,0.0,0.0,254.0,72.0,-22.0,0.0,,,,,,
USC00045026,1968,11,19,,,,,0.0,0.0,229.0,94.0,-44.0,-33.0,,,,,,
USC00045026,1968,11,2,,,,,-9999.0,5875.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
USC00045026,1968,11,20,,,,,0.0,0.0,203.0,89.0,-44.0,-33.0,,,,,,
USC00045026,1968,11,21,,,,,0.0,0.0,203.0,83.0,-50.0,-44.0,,,,,,
USC00045026,1968,11,22,,,,,0.0,0.0,152.0,94.0,-44.0,-17.0,,,,,,
USC00045026,1968,11,23,,,,,0.0,0.0,127.0,106.0,-33.0,-22.0,,,,,,
USC00045026,1968,11,24,,,,,0.0,0.0,127.0,94.0,-50.0,17.0,,,,,,
USC00045026,1968,11,25,,,,,23.0,0.0,127.0,28.0,-89.0,-78.0,,,,,,
USC00045026,1968,11,26,,,,,0.0,0.0,127.0,-11.0,-94.0,-78.0,,,,,,
USC00045026,1968,11,27,,,,,0.0,0.0,127.0,39.0,-83.0,-50.0,,,,,,
USC00045026,1968,11,28,,,,,0.0,0.0,127.0,56.0,-83.0,-61.0,,,,,,
