ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT08,WT11,WT14,WT16,WT18
USC00048025,1931,3,1,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,10,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,11,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,12,,,,,41.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,13,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,14,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,15,,,,,41.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,16,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,17,,,,,254.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,18,,,,,279.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,19,,,,,86.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,2,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,20,,,,,140.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,21,,,,,117.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,22,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,23,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,24,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,25,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,26,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,27,,,,,36.0,,,,,,,,,,,,,,1.0,
USC00048025,1931,3,28,,,,,43.0,,,,,,,,,,,,,,1.0,
USC00048025,1931,3,29,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,3,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,30,,,,,33.0,,,,,,,,,,,,,,1.0,
USC00048025,1931,3,31,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,4,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,5,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,6,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,7,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,8,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,3,9,,,,,-9999.0,,,,,,,,,,,,,,-9999.0,
USC00048025,1931,4,1,,,,,124.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,10,,,,,64.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,11,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,12,,,,,66.0,,,,,,,-9999.0,,,,,,,1.0,
USC00048025,1931,4,13,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,14,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,15,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,16,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,17,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,18,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,19,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,2,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,20,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,21,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,22,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,23,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,24,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
USC00048025,1931,4,25,,,,,0.0,,,,,,,-9999.0,,,,,,,-9999.0,
