ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CASC,1989,11,1,-9999,-9999,-9999
USR0000CASC,1989,11,10,-9999,-9999,-9999
USR0000CASC,1989,11,11,-9999,-9999,-9999
USR0000CASC,1989,11,12,-9999,-9999,-9999
USR0000CASC,1989,11,13,152,156,150
USR0000CASC,1989,11,14,51,139,-44
USR0000CASC,1989,11,15,43,150,-39
USR0000CASC,1989,11,16,43,161,-50
USR0000CASC,1989,11,17,56,183,-22
USR0000CASC,1989,11,18,51,200,-28
USR0000CASC,1989,11,19,46,206,-44
USR0000CASC,1989,11,2,-9999,-9999,-9999
USR0000CASC,1989,11,20,41,206,-56
USR0000CASC,1989,11,21,46,200,-44
USR0000CASC,1989,11,22,37,167,-44
USR0000CASC,1989,11,23,34,78,-22
USR0000CASC,1989,11,24,35,78,-17
USR0000CASC,1989,11,25,0,6,-11
USR0000CASC,1989,11,26,4,61,-72
USR0000CASC,1989,11,27,-19,89,-106
USR0000CASC,1989,11,28,-18,111,-106
USR0000CASC,1989,11,29,-8,117,-100
USR0000CASC,1989,11,3,-9999,-9999,-9999
USR0000CASC,1989,11,30,12,128,-56
USR0000CASC,1989,11,31,-9999,-9999,-9999
USR0000CASC,1989,11,4,-9999,-9999,-9999
USR0000CASC,1989,11,5,-9999,-9999,-9999
USR0000CASC,1989,11,6,-9999,-9999,-9999
USR0000CASC,1989,11,7,-9999,-9999,-9999
USR0000CASC,1989,11,8,-9999,-9999,-9999
USR0000CASC,1989,11,9,-9999,-9999,-9999
USR0000CASC,1989,12,1,23,139,-56
USR0000CASC,1989,12,10,6,89,-89
USR0000CASC,1989,12,11,4,94,-61
USR0000CASC,1989,12,12,14,122,-78
USR0000CASC,1989,12,13,27,144,-56
USR0000CASC,1989,12,14,32,167,-44
USR0000CASC,1989,12,15,35,167,-61
USR0000CASC,1989,12,16,17,150,-72
USR0000CASC,1989,12,17,-21,106,-100
USR0000CASC,1989,12,18,-19,122,-100
USR0000CASC,1989,12,19,-9,139,-94
USR0000CASC,1989,12,2,22,139,-33
USR0000CASC,1989,12,20,-3,89,-83
USR0000CASC,1989,12,21,18,150,-56
USR0000CASC,1989,12,22,8,150,-67
USR0000CASC,1989,12,23,27,172,-72
USR0000CASC,1989,12,24,30,133,-28
USR0000CASC,1989,12,25,33,172,-50
USR0000CASC,1989,12,26,23,161,-56
USR0000CASC,1989,12,27,-11,100,-89
USR0000CASC,1989,12,28,-1,78,-100
USR0000CASC,1989,12,29,21,117,-56
USR0000CASC,1989,12,3,26,172,-44
USR0000CASC,1989,12,30,16,156,-72
USR0000CASC,1989,12,31,-2,83,-67
USR0000CASC,1989,12,4,64,150,6
USR0000CASC,1989,12,5,46,100,-11
USR0000CASC,1989,12,6,17,128,-56
USR0000CASC,1989,12,7,9,133,-61
USR0000CASC,1989,12,8,9,67,-44
USR0000CASC,1989,12,9,8,106,-61
USR0000CASC,1990,1,1,-3,11,-17
USR0000CASC,1990,1,10,34,122,-11
USR0000CASC,1990,1,11,33,133,-11
USR0000CASC,1990,1,12,16,50,-22
USR0000CASC,1990,1,13,16,39,0
USR0000CASC,1990,1,14,2,72,-33
USR0000CASC,1990,1,15,3,78,-67
USR0000CASC,1990,1,16,4,39,-28
USR0000CASC,1990,1,17,-3,61,-61
USR0000CASC,1990,1,18,-18,94,-83
USR0000CASC,1990,1,19,-29,89,-111
USR0000CASC,1990,1,2,-13,44,-100
USR0000CASC,1990,1,20,-11,117,-106
USR0000CASC,1990,1,21,16,150,-72
USR0000CASC,1990,1,22,11,128,-72
USR0000CASC,1990,1,23,8,122,-72
USR0000CASC,1990,1,24,16,144,-72
USR0000CASC,1990,1,25,24,83,-33
USR0000CASC,1990,1,26,-1,50,-72
USR0000CASC,1990,1,27,-24,94,-111
USR0000CASC,1990,1,28,-7,56,-83
USR0000CASC,1990,1,29,-3,39,-72
USR0000CASC,1990,1,3,-37,78,-117
USR0000CASC,1990,1,30,-9,6,-61
USR0000CASC,1990,1,31,-26,33,-78
USR0000CASC,1990,1,4,-29,89,-89
USR0000CASC,1990,1,5,3,122,-83
USR0000CASC,1990,1,6,11,28,0
USR0000CASC,1990,1,7,13,39,0
USR0000CASC,1990,1,8,57,72,28
USR0000CASC,1990,1,9,51,83,-6
USR0000CASC,1990,2,1,-21,0,-39
USR0000CASC,1990,2,10,51,194,-22
USR0000CASC,1990,2,11,29,167,-78
USR0000CASC,1990,2,12,-20,61,-106
USR0000CASC,1990,2,13,-49,11,-89
USR0000CASC,1990,2,14,-57,33,-128
USR0000CASC,1990,2,15,-69,6,-150
USR0000CASC,1990,2,16,-22,22,-39
USR0000CASC,1990,2,17,150,2061,-83
USR0000CASC,1990,2,18,-48,78,-150
USR0000CASC,1990,2,19,-49,117,-189
USR0000CASC,1990,2,2,-16,122,-117
USR0000CASC,1990,2,20,-11,133,-139
USR0000CASC,1990,2,21,47,172,-50
USR0000CASC,1990,2,22,54,228,-50
USR0000CASC,1990,2,23,43,189,-67
USR0000CASC,1990,2,24,78,217,-33
USR0000CASC,1990,2,25,143,194,28
USR0000CASC,1990,2,26,87,211,-28
USR0000CASC,1990,2,27,71,211,-22
USR0000CASC,1990,2,28,63,189,-28
USR0000CASC,1990,2,29,-9999,-9999,-9999
USR0000CASC,1990,2,3,-8,17,-67
USR0000CASC,1990,2,30,-9999,-9999,-9999
USR0000CASC,1990,2,31,-9999,-9999,-9999
USR0000CASC,1990,2,4,-48,72,-144
USR0000CASC,1990,2,5,-29,28,-106
USR0000CASC,1990,2,6,-29,33,-139
USR0000CASC,1990,2,7,-86,44,-189
USR0000CASC,1990,2,8,-7,11,-28
USR0000CASC,1990,2,9,16,67,-6
USR0000CASC,1990,3,1,56,150,-22
USR0000CASC,1990,3,10,11,61,-28
USR0000CASC,1990,3,11,-16,33,-50
USR0000CASC,1990,3,12,-33,50,-117
USR0000CASC,1990,3,13,-12,67,-122
USR0000CASC,1990,3,14,17,50,-6
USR0000CASC,1990,3,15,66,161,-28
USR0000CASC,1990,3,16,66,150,-11
USR0000CASC,1990,3,17,73,172,-11
USR0000CASC,1990,3,18,69,189,-33
USR0000CASC,1990,3,19,66,178,-22
USR0000CASC,1990,3,2,45,67,28
USR0000CASC,1990,3,20,69,211,-44
USR0000CASC,1990,3,21,97,217,-22
USR0000CASC,1990,3,22,73,194,-28
USR0000CASC,1990,3,23,64,200,-50
USR0000CASC,1990,3,24,81,217,-39
USR0000CASC,1990,3,25,66,167,-28
USR0000CASC,1990,3,26,63,144,-39
USR0000CASC,1990,3,27,92,194,-22
USR0000CASC,1990,3,28,63,178,-33
USR0000CASC,1990,3,29,60,183,-50
USR0000CASC,1990,3,3,49,94,17
USR0000CASC,1990,3,30,70,222,-67
USR0000CASC,1990,3,31,85,222,-56
USR0000CASC,1990,3,4,15,33,0
USR0000CASC,1990,3,5,36,117,-44
USR0000CASC,1990,3,6,34,161,-56
USR0000CASC,1990,3,7,16,50,-39
USR0000CASC,1990,3,8,20,100,-39
USR0000CASC,1990,3,9,32,111,-72
USR0000CASC,1990,4,1,69,206,-56
USR0000CASC,1990,4,10,97,206,-17
USR0000CASC,1990,4,11,110,217,11
USR0000CASC,1990,4,12,114,239,-11
USR0000CASC,1990,4,13,127,278,-11
USR0000CASC,1990,4,14,138,267,6
USR0000CASC,1990,4,15,128,244,6
USR0000CASC,1990,4,16,118,189,78
USR0000CASC,1990,4,17,87,111,72
USR0000CASC,1990,4,18,122,206,61
USR0000CASC,1990,4,19,106,150,67
USR0000CASC,1990,4,2,79,228,-56
USR0000CASC,1990,4,20,116,194,44
USR0000CASC,1990,4,21,102,211,-17
USR0000CASC,1990,4,22,70,78,61
USR0000CASC,1990,4,23,84,139,33
USR0000CASC,1990,4,24,75,172,-44
USR0000CASC,1990,4,25,104,211,-11
USR0000CASC,1990,4,26,102,217,-22
USR0000CASC,1990,4,27,132,233,-6
