ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CBAL,1989,1,1,-9999,-9999,-9999
USR0000CBAL,1989,1,10,-9999,-9999,-9999
USR0000CBAL,1989,1,11,-9999,-9999,-9999
USR0000CBAL,1989,1,12,-9999,-9999,-9999
USR0000CBAL,1989,1,13,-9999,-9999,-9999
USR0000CBAL,1989,1,14,-9999,-9999,-9999
USR0000CBAL,1989,1,15,-9999,-9999,-9999
USR0000CBAL,1989,1,16,-9999,-9999,-9999
USR0000CBAL,1989,1,17,124,167,89
USR0000CBAL,1989,1,18,138,206,94
USR0000CBAL,1989,1,19,138,217,100
USR0000CBAL,1989,1,2,-9999,-9999,-9999
USR0000CBAL,1989,1,20,123,189,83
USR0000CBAL,1989,1,21,99,161,61
USR0000CBAL,1989,1,22,53,78,17
USR0000CBAL,1989,1,23,27,72,6
USR0000CBAL,1989,1,24,32,83,0
USR0000CBAL,1989,1,25,54,106,11
USR0000CBAL,1989,1,26,75,150,39
USR0000CBAL,1989,1,27,72,139,39
USR0000CBAL,1989,1,28,96,161,44
USR0000CBAL,1989,1,29,128,189,83
USR0000CBAL,1989,1,3,-9999,-9999,-9999
USR0000CBAL,1989,1,30,138,189,100
USR0000CBAL,1989,1,31,101,167,50
USR0000CBAL,1989,1,4,-9999,-9999,-9999
USR0000CBAL,1989,1,5,-9999,-9999,-9999
USR0000CBAL,1989,1,6,-9999,-9999,-9999
USR0000CBAL,1989,1,7,-9999,-9999,-9999
USR0000CBAL,1989,1,8,-9999,-9999,-9999
USR0000CBAL,1989,1,9,-9999,-9999,-9999
USR0000CBAL,1989,2,1,-6,50,-56
USR0000CBAL,1989,2,10,16,67,-17
USR0000CBAL,1989,2,11,13,89,-22
USR0000CBAL,1989,2,12,8,94,-50
USR0000CBAL,1989,2,13,18,83,-28
USR0000CBAL,1989,2,14,22,89,-22
USR0000CBAL,1989,2,15,43,117,0
USR0000CBAL,1989,2,16,76,144,28
USR0000CBAL,1989,2,17,80,150,50
USR0000CBAL,1989,2,18,47,83,22
USR0000CBAL,1989,2,19,33,67,22
USR0000CBAL,1989,2,2,-43,-28,-67
USR0000CBAL,1989,2,20,77,139,28
USR0000CBAL,1989,2,21,102,139,67
USR0000CBAL,1989,2,22,78,106,56
USR0000CBAL,1989,2,23,87,144,50
USR0000CBAL,1989,2,24,75,89,61
USR0000CBAL,1989,2,25,94,144,56
USR0000CBAL,1989,2,26,108,172,72
USR0000CBAL,1989,2,27,102,172,50
USR0000CBAL,1989,2,28,64,133,39
USR0000CBAL,1989,2,29,-9999,-9999,-9999
USR0000CBAL,1989,2,3,-41,-33,-56
USR0000CBAL,1989,2,30,-9999,-9999,-9999
