ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CBBR,1989,11,1,-9999,-9999,-9999
USR0000CBBR,1989,11,10,-9999,-9999,-9999
USR0000CBBR,1989,11,11,-9999,-9999,-9999
USR0000CBBR,1989,11,12,-9999,-9999,-9999
USR0000CBBR,1989,11,13,172,183,161
USR0000CBBR,1989,11,14,92,167,28
USR0000CBBR,1989,11,15,52,111,11
USR0000CBBR,1989,11,16,64,156,22
USR0000CBBR,1989,11,17,77,167,39
USR0000CBBR,1989,11,18,97,200,50
USR0000CBBR,1989,11,19,89,183,39
USR0000CBBR,1989,11,2,-9999,-9999,-9999
USR0000CBBR,1989,11,20,65,161,22
USR0000CBBR,1989,11,21,69,167,28
USR0000CBBR,1989,11,22,70,167,28
USR0000CBBR,1989,11,23,71,106,44
USR0000CBBR,1989,11,24,69,122,22
USR0000CBBR,1989,11,25,24,33,11
USR0000CBBR,1989,11,26,36,89,11
USR0000CBBR,1989,11,27,42,111,17
USR0000CBBR,1989,11,28,39,133,0
USR0000CBBR,1989,11,29,36,100,-11
USR0000CBBR,1989,11,3,-9999,-9999,-9999
USR0000CBBR,1989,11,30,87,150,50
USR0000CBBR,1989,11,31,-9999,-9999,-9999
USR0000CBBR,1989,11,4,-9999,-9999,-9999
USR0000CBBR,1989,11,5,-9999,-9999,-9999
USR0000CBBR,1989,11,6,-9999,-9999,-9999
USR0000CBBR,1989,11,7,-9999,-9999,-9999
USR0000CBBR,1989,11,8,-9999,-9999,-9999
USR0000CBBR,1989,11,9,-9999,-9999,-9999
USR0000CBBR,1989,12,1,78,161,33
USR0000CBBR,1989,12,10,37,117,-11
USR0000CBBR,1989,12,11,29,144,-22
USR0000CBBR,1989,12,12,12,106,-39
USR0000CBBR,1989,12,13,20,117,-33
USR0000CBBR,1989,12,14,34,128,-17
USR0000CBBR,1989,12,15,31,100,-6
USR0000CBBR,1989,12,16,29,117,-6
USR0000CBBR,1989,12,17,20,111,-17
USR0000CBBR,1989,12,18,14,100,-17
USR0000CBBR,1989,12,19,15,89,-17
USR0000CBBR,1989,12,2,67,128,33
USR0000CBBR,1989,12,20,24,72,-6
USR0000CBBR,1989,12,21,34,111,6
USR0000CBBR,1989,12,22,33,128,-6
USR0000CBBR,1989,12,23,29,100,-6
USR0000CBBR,1989,12,24,33,117,6
USR0000CBBR,1989,12,25,24,94,-11
USR0000CBBR,1989,12,26,27,117,-11
USR0000CBBR,1989,12,27,20,72,-11
USR0000CBBR,1989,12,28,32,117,-17
USR0000CBBR,1989,12,29,11,100,-28
USR0000CBBR,1989,12,3,85,144,39
USR0000CBBR,1989,12,30,24,122,-33
USR0000CBBR,1989,12,31,13,44,-22
USR0000CBBR,1989,12,4,117,183,78
USR0000CBBR,1989,12,5,114,150,78
USR0000CBBR,1989,12,6,76,144,44
USR0000CBBR,1989,12,7,48,89,28
USR0000CBBR,1989,12,8,48,72,28
USR0000CBBR,1989,12,9,54,106,22
USR0000CBBR,1990,1,1,28,44,6
USR0000CBBR,1990,1,10,91,128,67
USR0000CBBR,1990,1,11,77,122,56
USR0000CBBR,1990,1,12,84,111,61
USR0000CBBR,1990,1,13,68,89,50
USR0000CBBR,1990,1,14,55,100,39
USR0000CBBR,1990,1,15,56,89,28
USR0000CBBR,1990,1,16,32,56,11
USR0000CBBR,1990,1,17,34,89,6
USR0000CBBR,1990,1,18,33,117,-6
USR0000CBBR,1990,1,19,93,961,-11
USR0000CBBR,1990,1,2,19,89,-17
USR0000CBBR,1990,1,20,14,100,-17
USR0000CBBR,1990,1,21,22,111,-22
USR0000CBBR,1990,1,22,38,133,-17
USR0000CBBR,1990,1,23,49,139,6
USR0000CBBR,1990,1,24,39,133,0
USR0000CBBR,1990,1,25,48,100,-6
USR0000CBBR,1990,1,26,34,94,-17
USR0000CBBR,1990,1,27,26,94,-22
USR0000CBBR,1990,1,28,45,89,17
USR0000CBBR,1990,1,29,44,100,17
USR0000CBBR,1990,1,3,25,100,-17
USR0000CBBR,1990,1,30,17,39,6
USR0000CBBR,1990,1,31,8,28,-11
USR0000CBBR,1990,1,4,9,44,-17
USR0000CBBR,1990,1,5,44,100,17
USR0000CBBR,1990,1,6,46,67,28
USR0000CBBR,1990,1,7,45,50,33
USR0000CBBR,1990,1,8,74,94,50
USR0000CBBR,1990,1,9,98,133,72
USR0000CBBR,1990,2,1,7,33,0
USR0000CBBR,1990,2,10,64,150,28
USR0000CBBR,1990,2,11,57,128,11
USR0000CBBR,1990,2,12,38,89,0
USR0000CBBR,1990,2,13,-7,22,-44
USR0000CBBR,1990,2,14,-17,72,-83
USR0000CBBR,1990,2,15,-11,50,-67
USR0000CBBR,1990,2,16,11,61,-11
USR0000CBBR,1990,2,17,9,67,-11
USR0000CBBR,1990,2,18,18,106,-22
USR0000CBBR,1990,2,19,28,128,-17
USR0000CBBR,1990,2,2,27,83,-6
USR0000CBBR,1990,2,20,34,100,-6
USR0000CBBR,1990,2,21,58,183,-11
USR0000CBBR,1990,2,22,69,211,-6
USR0000CBBR,1990,2,23,66,161,11
USR0000CBBR,1990,2,24,93,194,44
USR0000CBBR,1990,2,25,183,222,117
USR0000CBBR,1990,2,26,111,228,28
USR0000CBBR,1990,2,27,109,244,28
USR0000CBBR,1990,2,28,108,233,33
USR0000CBBR,1990,2,29,-9999,-9999,-9999
USR0000CBBR,1990,2,3,21,50,-17
USR0000CBBR,1990,2,30,-9999,-9999,-9999
USR0000CBBR,1990,2,31,-9999,-9999,-9999
