ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CBRO,1990,5,1,-9999,-9999,-9999
USR0000CBRO,1990,5,10,191,239,133
USR0000CBRO,1990,5,11,178,256,72
USR0000CBRO,1990,5,12,130,150,106
USR0000CBRO,1990,5,13,-9999,-9999,-9999
USR0000CBRO,1990,5,14,224,283,150
USR0000CBRO,1990,5,15,206,289,111
USR0000CBRO,1990,5,16,208,294,100
USR0000CBRO,1990,5,17,188,261,128
USR0000CBRO,1990,5,18,157,233,67
USR0000CBRO,1990,5,19,146,200,111
USR0000CBRO,1990,5,2,281,322,222
USR0000CBRO,1990,5,20,143,178,117
USR0000CBRO,1990,5,21,170,217,122
USR0000CBRO,1990,5,22,173,194,150
USR0000CBRO,1990,5,23,158,222,106
USR0000CBRO,1990,5,24,153,228,61
USR0000CBRO,1990,5,25,155,244,83
USR0000CBRO,1990,5,26,159,211,111
USR0000CBRO,1990,5,27,146,161,133
USR0000CBRO,1990,5,28,165,211,128
USR0000CBRO,1990,5,29,163,222,106
USR0000CBRO,1990,5,3,269,350,206
USR0000CBRO,1990,5,30,145,178,117
USR0000CBRO,1990,5,31,148,200,89
USR0000CBRO,1990,5,4,283,383,183
USR0000CBRO,1990,5,5,263,367,144
USR0000CBRO,1990,5,6,248,333,183
USR0000CBRO,1990,5,7,216,294,122
USR0000CBRO,1990,5,8,184,283,122
USR0000CBRO,1990,5,9,151,206,111
USR0000CBRO,1990,6,1,171,250,56
USR0000CBRO,1990,6,10,248,294,183
USR0000CBRO,1990,6,11,256,317,178
USR0000CBRO,1990,6,12,236,317,144
USR0000CBRO,1990,6,13,214,283,122
USR0000CBRO,1990,6,14,250,300,200
USR0000CBRO,1990,6,15,214,278,139
USR0000CBRO,1990,6,16,196,294,111
USR0000CBRO,1990,6,17,212,311,106
USR0000CBRO,1990,6,18,213,322,117
USR0000CBRO,1990,6,19,264,372,167
USR0000CBRO,1990,6,2,212,300,122
USR0000CBRO,1990,6,20,289,383,200
USR0000CBRO,1990,6,21,273,389,194
USR0000CBRO,1990,6,22,202,289,144
USR0000CBRO,1990,6,23,217,322,122
USR0000CBRO,1990,6,24,239,322,183
USR0000CBRO,1990,6,25,224,328,133
USR0000CBRO,1990,6,26,226,322,122
USR0000CBRO,1990,6,27,233,317,167
USR0000CBRO,1990,6,28,261,350,150
