ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CCAL,1988,12,1,-9999,-9999,-9999
USR0000CCAL,1988,12,10,-9999,-9999,-9999
USR0000CCAL,1988,12,11,-9999,-9999,-9999
USR0000CCAL,1988,12,12,-9999,-9999,-9999
USR0000CCAL,1988,12,13,-9999,-9999,-9999
USR0000CCAL,1988,12,14,-9999,-9999,-9999
USR0000CCAL,1988,12,15,-9999,-9999,-9999
USR0000CCAL,1988,12,16,-9999,-9999,-9999
USR0000CCAL,1988,12,17,-9999,-9999,-9999
USR0000CCAL,1988,12,18,-9999,-9999,-9999
USR0000CCAL,1988,12,19,-9999,-9999,-9999
USR0000CCAL,1988,12,2,-9999,-9999,-9999
USR0000CCAL,1988,12,20,-9999,-9999,-9999
USR0000CCAL,1988,12,21,-9999,-9999,-9999
USR0000CCAL,1988,12,22,-9999,-9999,-9999
USR0000CCAL,1988,12,23,-9999,-9999,-9999
USR0000CCAL,1988,12,24,-9999,-9999,-9999
USR0000CCAL,1988,12,25,-9999,-9999,-9999
USR0000CCAL,1988,12,26,-9999,-9999,-9999
USR0000CCAL,1988,12,27,-9999,-9999,-9999
USR0000CCAL,1988,12,28,-9999,-9999,-9999
USR0000CCAL,1988,12,29,-9999,-9999,-9999
USR0000CCAL,1988,12,3,-9999,-9999,-9999
USR0000CCAL,1988,12,30,-2,28,-28
USR0000CCAL,1988,12,31,-5,28,-28
USR0000CCAL,1988,12,4,-9999,-9999,-9999
USR0000CCAL,1988,12,5,-9999,-9999,-9999
USR0000CCAL,1988,12,6,-9999,-9999,-9999
USR0000CCAL,1988,12,7,-9999,-9999,-9999
USR0000CCAL,1988,12,8,-9999,-9999,-9999
USR0000CCAL,1988,12,9,-9999,-9999,-9999
USR0000CCAL,1989,1,1,-22,72,-61
USR0000CCAL,1989,1,10,-9999,-9999,-9999
USR0000CCAL,1989,1,11,-9999,-9999,-9999
USR0000CCAL,1989,1,12,-9999,-9999,-9999
USR0000CCAL,1989,1,13,-9999,-9999,-9999
USR0000CCAL,1989,1,14,-9999,-9999,-9999
USR0000CCAL,1989,1,15,-9999,-9999,-9999
USR0000CCAL,1989,1,16,-9999,-9999,-9999
USR0000CCAL,1989,1,17,-3,39,-28
USR0000CCAL,1989,1,18,-23,39,-67
USR0000CCAL,1989,1,19,-24,67,-78
USR0000CCAL,1989,1,2,3,100,-44
USR0000CCAL,1989,1,20,-11,78,-61
USR0000CCAL,1989,1,21,22,128,-44
USR0000CCAL,1989,1,22,5,28,-28
USR0000CCAL,1989,1,23,-32,50,-100
