ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CCOH,1990,5,1,-9999,-9999,-9999
USR0000CCOH,1990,5,10,161,217,100
USR0000CCOH,1990,5,11,161,228,94
USR0000CCOH,1990,5,12,138,150,111
USR0000CCOH,1990,5,13,-9999,-9999,-9999
USR0000CCOH,1990,5,14,197,244,150
USR0000CCOH,1990,5,15,187,261,122
USR0000CCOH,1990,5,16,204,256,144
USR0000CCOH,1990,5,17,178,233,111
USR0000CCOH,1990,5,18,142,194,72
USR0000CCOH,1990,5,19,101,139,78
USR0000CCOH,1990,5,2,246,306,194
USR0000CCOH,1990,5,20,111,139,83
USR0000CCOH,1990,5,21,156,206,111
USR0000CCOH,1990,5,22,145,178,128
USR0000CCOH,1990,5,23,128,161,78
USR0000CCOH,1990,5,24,129,189,72
USR0000CCOH,1990,5,25,156,217,100
USR0000CCOH,1990,5,26,123,161,94
USR0000CCOH,1990,5,27,121,128,111
USR0000CCOH,1990,5,28,132,183,106
USR0000CCOH,1990,5,29,134,178,100
USR0000CCOH,1990,5,3,255,322,194
USR0000CCOH,1990,5,30,107,128,83
USR0000CCOH,1990,5,31,116,161,72
USR0000CCOH,1990,5,4,277,333,206
USR0000CCOH,1990,5,5,274,333,222
USR0000CCOH,1990,5,6,237,294,183
USR0000CCOH,1990,5,7,197,256,139
USR0000CCOH,1990,5,8,196,267,117
USR0000CCOH,1990,5,9,206,256,167
USR0000CCOH,1990,6,1,151,211,78
USR0000CCOH,1990,6,10,214,261,150
USR0000CCOH,1990,6,11,236,283,178
USR0000CCOH,1990,6,12,212,267,150
USR0000CCOH,1990,6,13,183,228,139
USR0000CCOH,1990,6,14,201,244,156
USR0000CCOH,1990,6,15,194,244,150
USR0000CCOH,1990,6,16,179,250,111
USR0000CCOH,1990,6,17,207,267,161
USR0000CCOH,1990,6,18,208,283,133
USR0000CCOH,1990,6,19,278,339,217
USR0000CCOH,1990,6,2,197,244,144
USR0000CCOH,1990,6,20,308,372,272
USR0000CCOH,1990,6,21,304,378,250
USR0000CCOH,1990,6,22,226,278,167
USR0000CCOH,1990,6,23,229,317,167
USR0000CCOH,1990,6,24,238,306,189
USR0000CCOH,1990,6,25,235,311,178
USR0000CCOH,1990,6,26,237,306,189
USR0000CCOH,1990,6,27,229,294,172
USR0000CCOH,1990,6,28,276,333,189
USR0000CCOH,1990,6,29,256,300,228
USR0000CCOH,1990,6,3,217,256,172
