ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CCOO,1985,5,1,-9999,-9999,-9999
USR0000CCOO,1985,5,10,-9999,-9999,-9999
USR0000CCOO,1985,5,11,-9999,-9999,-9999
USR0000CCOO,1985,5,12,-9999,-9999,-9999
USR0000CCOO,1985,5,13,-9999,-9999,-9999
USR0000CCOO,1985,5,14,-9999,-9999,-9999
USR0000CCOO,1985,5,15,-9999,-9999,-9999
USR0000CCOO,1985,5,16,-9999,-9999,-9999
USR0000CCOO,1985,5,17,-9999,-9999,-9999
USR0000CCOO,1985,5,18,-9999,-9999,-9999
USR0000CCOO,1985,5,19,-9999,-9999,-9999
USR0000CCOO,1985,5,2,-9999,-9999,-9999
USR0000CCOO,1985,5,20,-9999,-9999,-9999
USR0000CCOO,1985,5,21,-9999,-9999,-9999
USR0000CCOO,1985,5,22,-9999,-9999,-9999
USR0000CCOO,1985,5,23,104,144,78
USR0000CCOO,1985,5,24,84,122,67
USR0000CCOO,1985,5,25,89,122,61
USR0000CCOO,1985,5,26,106,117,94
USR0000CCOO,1985,5,27,71,100,50
USR0000CCOO,1985,5,28,59,100,33
USR0000CCOO,1985,5,29,72,117,33
USR0000CCOO,1985,5,3,-9999,-9999,-9999
USR0000CCOO,1985,5,30,99,167,44
USR0000CCOO,1985,5,31,60,94,33
USR0000CCOO,1985,5,4,-9999,-9999,-9999
USR0000CCOO,1985,5,5,-9999,-9999,-9999
USR0000CCOO,1985,5,6,-9999,-9999,-9999
USR0000CCOO,1985,5,7,-9999,-9999,-9999
USR0000CCOO,1985,5,8,-9999,-9999,-9999
USR0000CCOO,1985,5,9,-9999,-9999,-9999
USR0000CCOO,1985,6,1,62,89,50
USR0000CCOO,1985,6,10,166,178,150
USR0000CCOO,1985,6,11,204,233,172
USR0000CCOO,1985,6,12,196,228,172
USR0000CCOO,1985,6,13,174,217,139
USR0000CCOO,1985,6,14,153,194,111
USR0000CCOO,1985,6,15,147,194,100
USR0000CCOO,1985,6,16,262,333,144
USR0000CCOO,1985,6,17,272,300,250
USR0000CCOO,1985,6,18,259,311,200
USR0000CCOO,1985,6,19,221,233,200
USR0000CCOO,1985,6,2,-9999,-9999,-9999
USR0000CCOO,1985,6,20,212,244,189
USR0000CCOO,1985,6,21,246,283,222
USR0000CCOO,1985,6,22,174,200,128
USR0000CCOO,1985,6,23,147,178,117
USR0000CCOO,1985,6,24,132,156,106
USR0000CCOO,1985,6,25,183,222,128
USR0000CCOO,1985,6,26,189,228,150
USR0000CCOO,1985,6,27,168,211,139
USR0000CCOO,1985,6,28,179,200,156
USR0000CCOO,1985,6,29,100,139,61
USR0000CCOO,1985,6,3,131,156,117
USR0000CCOO,1985,6,30,188,233,133
USR0000CCOO,1985,6,31,-9999,-9999,-9999
USR0000CCOO,1985,6,4,129,167,111
USR0000CCOO,1985,6,5,135,183,100
USR0000CCOO,1985,6,6,114,139,94
USR0000CCOO,1985,6,7,128,144,117
USR0000CCOO,1985,6,8,-9999,-9999,-9999
USR0000CCOO,1985,6,9,-9999,-9999,-9999
USR0000CCOO,1985,7,1,193,239,144
USR0000CCOO,1985,7,10,171,211,133
USR0000CCOO,1985,7,11,165,211,117
USR0000CCOO,1985,7,12,177,211,128
USR0000CCOO,1985,7,13,191,222,172
USR0000CCOO,1985,7,14,-9999,-9999,-9999
USR0000CCOO,1985,7,15,189,222,161
USR0000CCOO,1985,7,16,171,200,150
USR0000CCOO,1985,7,17,213,272,172
USR0000CCOO,1985,7,18,240,283,200
USR0000CCOO,1985,7,19,244,289,200
USR0000CCOO,1985,7,2,205,256,150
USR0000CCOO,1985,7,20,225,250,206
USR0000CCOO,1985,7,21,197,211,183
USR0000CCOO,1985,7,22,212,272,167
USR0000CCOO,1985,7,23,204,222,183
USR0000CCOO,1985,7,24,275,350,206
USR0000CCOO,1985,7,25,263,306,228
USR0000CCOO,1985,7,26,291,344,233
USR0000CCOO,1985,7,27,279,328,206
USR0000CCOO,1985,7,28,368,3183,89
USR0000CCOO,1985,7,29,106,156,83
USR0000CCOO,1985,7,3,216,272,156
USR0000CCOO,1985,7,30,99,128,83
USR0000CCOO,1985,7,31,106,161,83
USR0000CCOO,1985,7,4,-9999,-9999,-9999
USR0000CCOO,1985,7,5,193,233,161
USR0000CCOO,1985,7,6,199,261,150
USR0000CCOO,1985,7,7,198,250,150
USR0000CCOO,1985,7,8,223,278,167
USR0000CCOO,1985,7,9,229,289,183
USR0000CCOO,1985,8,1,108,144,89
USR0000CCOO,1985,8,10,141,194,122
USR0000CCOO,1985,8,11,216,261,189
USR0000CCOO,1985,8,12,191,239,122
USR0000CCOO,1985,8,13,182,244,133
USR0000CCOO,1985,8,14,199,244,172
USR0000CCOO,1985,8,15,198,250,167
USR0000CCOO,1985,8,16,188,239,144
USR0000CCOO,1985,8,17,-9999,-9999,-9999
USR0000CCOO,1985,8,18,-9999,-9999,-9999
USR0000CCOO,1985,8,19,112,156,72
USR0000CCOO,1985,8,2,161,194,111
USR0000CCOO,1985,8,20,71,100,61
USR0000CCOO,1985,8,21,-9999,-9999,-9999
USR0000CCOO,1985,8,22,223,256,183
USR0000CCOO,1985,8,23,225,272,200
USR0000CCOO,1985,8,24,239,311,211
USR0000CCOO,1985,8,25,212,256,178
USR0000CCOO,1985,8,26,202,261,150
USR0000CCOO,1985,8,27,164,217,133
USR0000CCOO,1985,8,28,172,239,122
USR0000CCOO,1985,8,29,151,206,117
USR0000CCOO,1985,8,3,196,244,144
USR0000CCOO,1985,8,30,136,172,100
USR0000CCOO,1985,8,31,153,194,111
USR0000CCOO,1985,8,4,151,194,111
USR0000CCOO,1985,8,5,146,183,106
USR0000CCOO,1985,8,6,148,189,111
USR0000CCOO,1985,8,7,107,150,83
USR0000CCOO,1985,8,8,116,178,72
USR0000CCOO,1985,8,9,194,250,144
USR0000CCOO,1985,9,1,123,167,106
USR0000CCOO,1985,9,10,89,156,56
USR0000CCOO,1985,9,11,84,122,56
USR0000CCOO,1985,9,12,94,122,78
USR0000CCOO,1985,9,13,101,139,89
USR0000CCOO,1985,9,14,95,139,67
USR0000CCOO,1985,9,15,91,133,72
USR0000CCOO,1985,9,16,138,222,94
USR0000CCOO,1985,9,17,89,117,61
USR0000CCOO,1985,9,18,111,150,56
USR0000CCOO,1985,9,19,167,228,128
USR0000CCOO,1985,9,2,102,128,83
USR0000CCOO,1985,9,20,194,256,139
USR0000CCOO,1985,9,21,166,194,144
USR0000CCOO,1985,9,22,216,294,150
USR0000CCOO,1985,9,23,229,272,194
USR0000CCOO,1985,9,24,246,278,211
USR0000CCOO,1985,9,25,247,289,217
USR0000CCOO,1985,9,26,213,283,133
USR0000CCOO,1985,9,27,154,206,100
USR0000CCOO,1985,9,28,157,211,117
USR0000CCOO,1985,9,29,151,194,117
USR0000CCOO,1985,9,3,162,206,122
USR0000CCOO,1985,9,30,152,206,100
USR0000CCOO,1985,9,31,-9999,-9999,-9999
USR0000CCOO,1985,9,4,168,211,122
USR0000CCOO,1985,9,5,131,161,111
USR0000CCOO,1985,9,6,122,150,100
USR0000CCOO,1985,9,7,104,156,72
USR0000CCOO,1985,9,8,-9999,-9999,-9999
USR0000CCOO,1985,9,9,78,100,61
USR0000CCOO,1985,10,1,189,233,161
USR0000CCOO,1985,10,10,145,200,111
USR0000CCOO,1985,10,11,78,122,39
USR0000CCOO,1985,10,12,65,83,39
USR0000CCOO,1985,10,13,101,133,56
USR0000CCOO,1985,10,14,181,239,139
USR0000CCOO,1985,10,15,188,250,117
USR0000CCOO,1985,10,16,92,122,56
USR0000CCOO,1985,10,17,133,178,72
USR0000CCOO,1985,10,18,141,172,78
USR0000CCOO,1985,10,19,88,111,56
USR0000CCOO,1985,10,2,196,217,178
USR0000CCOO,1985,10,20,73,94,33
USR0000CCOO,1985,10,21,47,72,28
USR0000CCOO,1985,10,22,89,100,56
USR0000CCOO,1985,10,23,107,122,94
USR0000CCOO,1985,10,24,106,139,72
USR0000CCOO,1985,10,25,112,167,72
USR0000CCOO,1985,10,26,-9999,-9999,-9999
USR0000CCOO,1985,10,27,82,106,44
USR0000CCOO,1985,10,28,49,78,28
USR0000CCOO,1985,10,29,96,156,50
USR0000CCOO,1985,10,3,246,306,194
USR0000CCOO,1985,10,30,61,100,44
USR0000CCOO,1985,10,31,68,106,33
USR0000CCOO,1985,10,4,262,311,233
USR0000CCOO,1985,10,5,-9999,-9999,-9999
USR0000CCOO,1985,10,6,99,139,56
USR0000CCOO,1985,10,7,67,106,44
USR0000CCOO,1985,10,8,56,83,44
USR0000CCOO,1985,10,9,90,167,33
USR0000CCOO,1985,11,1,126,150,94
USR0000CCOO,1985,11,10,44,183,-22
USR0000CCOO,1985,11,11,38,150,-28
USR0000CCOO,1985,11,12,83,189,-17
USR0000CCOO,1985,11,13,95,144,67
USR0000CCOO,1985,11,14,106,133,78
USR0000CCOO,1985,11,15,90,111,61
USR0000CCOO,1985,11,16,96,122,72
USR0000CCOO,1985,11,17,57,94,-11
USR0000CCOO,1985,11,18,17,72,-17
USR0000CCOO,1985,11,19,35,61,0
USR0000CCOO,1985,11,2,128,150,100
USR0000CCOO,1985,11,20,49,94,-17
USR0000CCOO,1985,11,21,9,50,-22
USR0000CCOO,1985,11,22,39,50,33
USR0000CCOO,1985,11,23,62,100,28
USR0000CCOO,1985,11,24,116,133,100
USR0000CCOO,1985,11,25,89,111,78
USR0000CCOO,1985,11,26,90,111,72
USR0000CCOO,1985,11,27,51,78,28
USR0000CCOO,1985,11,28,85,94,72
USR0000CCOO,1985,11,29,22,61,-22
USR0000CCOO,1985,11,3,153,206,94
USR0000CCOO,1985,11,30,33,89,-22
USR0000CCOO,1985,11,31,-9999,-9999,-9999
USR0000CCOO,1985,11,4,99,156,33
USR0000CCOO,1985,11,5,54,67,44
USR0000CCOO,1985,11,6,85,122,50
USR0000CCOO,1985,11,7,81,111,39
USR0000CCOO,1985,11,8,59,117,22
USR0000CCOO,1985,11,9,143,167,111
USR0000CCOO,1985,12,1,66,94,33
USR0000CCOO,1985,12,10,39,78,11
USR0000CCOO,1985,12,11,44,89,6
USR0000CCOO,1985,12,12,55,100,39
USR0000CCOO,1985,12,13,75,117,44
USR0000CCOO,1985,12,14,93,106,78
