ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CCOR,1990,5,1,-9999,-9999,-9999
USR0000CCOR,1990,5,10,116,178,44
USR0000CCOR,1990,5,11,105,161,50
USR0000CCOR,1990,5,12,83,83,83
USR0000CCOR,1990,5,13,-9999,-9999,-9999
USR0000CCOR,1990,5,14,97,167,-11
USR0000CCOR,1990,5,15,92,156,33
USR0000CCOR,1990,5,16,106,183,56
USR0000CCOR,1990,5,17,102,167,56
USR0000CCOR,1990,5,18,108,161,78
USR0000CCOR,1990,5,19,113,172,56
USR0000CCOR,1990,5,2,113,139,83
USR0000CCOR,1990,5,20,121,139,100
USR0000CCOR,1990,5,21,139,200,106
USR0000CCOR,1990,5,22,143,194,117
USR0000CCOR,1990,5,23,128,206,44
USR0000CCOR,1990,5,24,121,206,33
USR0000CCOR,1990,5,25,132,217,44
USR0000CCOR,1990,5,26,142,189,83
USR0000CCOR,1990,5,27,98,133,-39
USR0000CCOR,1990,5,28,119,167,72
USR0000CCOR,1990,5,29,128,178,72
USR0000CCOR,1990,5,3,119,167,83
USR0000CCOR,1990,5,30,105,139,61
USR0000CCOR,1990,5,31,112,189,50
USR0000CCOR,1990,5,4,134,278,28
USR0000CCOR,1990,5,5,129,283,-6
USR0000CCOR,1990,5,6,90,189,-17
USR0000CCOR,1990,5,7,114,244,33
USR0000CCOR,1990,5,8,96,139,61
USR0000CCOR,1990,5,9,123,150,106
USR0000CCOR,1990,6,1,132,217,44
USR0000CCOR,1990,6,10,176,261,33
USR0000CCOR,1990,6,11,131,183,50
USR0000CCOR,1990,6,12,135,217,39
USR0000CCOR,1990,6,13,132,189,89
USR0000CCOR,1990,6,14,129,156,100
USR0000CCOR,1990,6,15,124,144,111
USR0000CCOR,1990,6,16,122,189,61
USR0000CCOR,1990,6,17,107,189,67
USR0000CCOR,1990,6,18,103,167,61
USR0000CCOR,1990,6,19,126,250,44
USR0000CCOR,1990,6,2,149,244,61
USR0000CCOR,1990,6,20,193,333,106
USR0000CCOR,1990,6,21,136,189,106
USR0000CCOR,1990,6,22,139,189,117
USR0000CCOR,1990,6,23,142,217,100
USR0000CCOR,1990,6,24,137,228,78
USR0000CCOR,1990,6,25,130,250,0
USR0000CCOR,1990,6,26,137,272,-6
USR0000CCOR,1990,6,27,145,272,22
USR0000CCOR,1990,6,28,163,261,83
USR0000CCOR,1990,6,29,139,217,89
USR0000CCOR,1990,6,3,133,244,72
USR0000CCOR,1990,6,30,-9999,-9999,-9999
USR0000CCOR,1990,6,31,-9999,-9999,-9999
USR0000CCOR,1990,6,4,128,217,22
USR0000CCOR,1990,6,5,130,217,50
USR0000CCOR,1990,6,6,127,228,44
USR0000CCOR,1990,6,7,123,222,39
USR0000CCOR,1990,6,8,193,317,56
USR0000CCOR,1990,6,9,152,233,100
USR0000CCOR,1990,7,1,-9999,-9999,-9999
USR0000CCOR,1990,7,10,183,267,100
USR0000CCOR,1990,7,11,187,333,122
USR0000CCOR,1990,7,12,143,283,61
USR0000CCOR,1990,7,13,169,233,61
USR0000CCOR,1990,7,14,-9999,-9999,-9999
USR0000CCOR,1990,7,15,-9999,-9999,-9999
USR0000CCOR,1990,7,16,-9999,-9999,-9999
USR0000CCOR,1990,7,17,-9999,-9999,-9999
USR0000CCOR,1990,7,18,-9999,-9999,-9999
USR0000CCOR,1990,7,19,-9999,-9999,-9999
USR0000CCOR,1990,7,2,-9999,-9999,-9999
USR0000CCOR,1990,7,20,-9999,-9999,-9999
USR0000CCOR,1990,7,21,-9999,-9999,-9999
USR0000CCOR,1990,7,22,-9999,-9999,-9999
USR0000CCOR,1990,7,23,-9999,-9999,-9999
USR0000CCOR,1990,7,24,-9999,-9999,-9999
USR0000CCOR,1990,7,25,-9999,-9999,-9999
USR0000CCOR,1990,7,26,-9999,-9999,-9999
USR0000CCOR,1990,7,27,149,183,111
USR0000CCOR,1990,7,28,-9999,-9999,-9999
USR0000CCOR,1990,7,29,-9999,-9999,-9999
USR0000CCOR,1990,7,3,123,217,22
USR0000CCOR,1990,7,30,139,167,133
USR0000CCOR,1990,7,31,152,206,122
USR0000CCOR,1990,7,4,161,228,83
USR0000CCOR,1990,7,5,173,256,61
USR0000CCOR,1990,7,6,192,256,133
USR0000CCOR,1990,7,7,167,228,128
USR0000CCOR,1990,7,8,152,194,122
USR0000CCOR,1990,7,9,158,217,100
USR0000CCOR,1990,8,1,149,200,111
USR0000CCOR,1990,8,10,133,194,94
USR0000CCOR,1990,8,11,133,211,89
USR0000CCOR,1990,8,12,122,217,72
USR0000CCOR,1990,8,13,117,172,83
USR0000CCOR,1990,8,14,107,156,67
USR0000CCOR,1990,8,15,105,200,6
USR0000CCOR,1990,8,16,134,217,-6
USR0000CCOR,1990,8,17,104,239,-33
USR0000CCOR,1990,8,18,78,194,17
USR0000CCOR,1990,8,19,86,156,22
USR0000CCOR,1990,8,2,144,189,117
USR0000CCOR,1990,8,20,84,156,33
USR0000CCOR,1990,8,21,152,233,17
USR0000CCOR,1990,8,22,121,228,33
USR0000CCOR,1990,8,23,129,167,111
USR0000CCOR,1990,8,24,128,178,72
USR0000CCOR,1990,8,25,130,194,61
USR0000CCOR,1990,8,26,157,222,111
USR0000CCOR,1990,8,27,169,250,100
USR0000CCOR,1990,8,28,156,272,106
USR0000CCOR,1990,8,29,184,256,122
USR0000CCOR,1990,8,3,155,194,128
USR0000CCOR,1990,8,30,161,228,100
USR0000CCOR,1990,8,31,124,244,-6
USR0000CCOR,1990,8,4,148,206,111
USR0000CCOR,1990,8,5,153,283,11
USR0000CCOR,1990,8,6,157,283,61
USR0000CCOR,1990,8,7,129,239,22
USR0000CCOR,1990,8,8,156,228,83
USR0000CCOR,1990,8,9,136,189,89
USR0000CCOR,1990,9,1,104,178,28
USR0000CCOR,1990,9,10,140,233,72
USR0000CCOR,1990,9,11,148,239,72
USR0000CCOR,1990,9,12,123,272,61
USR0000CCOR,1990,9,13,163,272,56
USR0000CCOR,1990,9,14,162,267,83
USR0000CCOR,1990,9,15,173,272,72
USR0000CCOR,1990,9,16,164,283,83
USR0000CCOR,1990,9,17,153,200,128
USR0000CCOR,1990,9,18,147,189,122
USR0000CCOR,1990,9,19,159,228,89
USR0000CCOR,1990,9,2,118,228,-72
USR0000CCOR,1990,9,20,178,300,83
USR0000CCOR,1990,9,21,156,217,83
USR0000CCOR,1990,9,22,175,250,111
USR0000CCOR,1990,9,23,164,228,111
USR0000CCOR,1990,9,24,157,222,106
USR0000CCOR,1990,9,25,170,228,128
USR0000CCOR,1990,9,26,168,244,100
USR0000CCOR,1990,9,27,150,211,100
USR0000CCOR,1990,9,28,156,228,128
USR0000CCOR,1990,9,29,153,250,117
USR0000CCOR,1990,9,3,119,250,-22
USR0000CCOR,1990,9,30,174,294,111
USR0000CCOR,1990,9,31,-9999,-9999,-9999
USR0000CCOR,1990,9,4,119,211,-22
USR0000CCOR,1990,9,5,132,233,-56
USR0000CCOR,1990,9,6,146,256,56
USR0000CCOR,1990,9,7,176,300,67
USR0000CCOR,1990,9,8,153,272,67
USR0000CCOR,1990,9,9,129,289,50
USR0000CCOR,1990,10,1,147,217,111
USR0000CCOR,1990,10,10,164,289,72
USR0000CCOR,1990,10,11,139,294,-17
USR0000CCOR,1990,10,12,135,278,17
USR0000CCOR,1990,10,13,76,156,6
USR0000CCOR,1990,10,14,86,178,6
USR0000CCOR,1990,10,15,87,167,22
USR0000CCOR,1990,10,16,110,189,56
USR0000CCOR,1990,10,17,107,228,22
USR0000CCOR,1990,10,18,97,156,61
USR0000CCOR,1990,10,19,113,172,22
