ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CDOY,1987,6,1,-9999,-9999,-9999
USR0000CDOY,1987,6,10,202,311,67
USR0000CDOY,1987,6,11,233,317,89
USR0000CDOY,1987,6,12,227,344,100
USR0000CDOY,1987,6,13,191,300,111
USR0000CDOY,1987,6,14,201,239,156
USR0000CDOY,1987,6,15,126,161,78
USR0000CDOY,1987,6,16,126,200,28
USR0000CDOY,1987,6,17,185,250,44
USR0000CDOY,1987,6,18,181,261,22
USR0000CDOY,1987,6,19,193,294,61
USR0000CDOY,1987,6,2,231,311,100
USR0000CDOY,1987,6,20,193,272,111
USR0000CDOY,1987,6,21,182,244,100
USR0000CDOY,1987,6,22,189,250,122
USR0000CDOY,1987,6,23,187,306,56
USR0000CDOY,1987,6,24,164,178,150
USR0000CDOY,1987,6,25,231,361,111
USR0000CDOY,1987,6,26,263,361,150
USR0000CDOY,1987,6,27,229,328,156
USR0000CDOY,1987,6,28,244,344,117
USR0000CDOY,1987,6,29,233,322,150
USR0000CDOY,1987,6,3,233,322,89
USR0000CDOY,1987,6,30,201,317,106
USR0000CDOY,1987,6,31,-9999,-9999,-9999
USR0000CDOY,1987,6,4,224,311,150
USR0000CDOY,1987,6,5,196,289,117
USR0000CDOY,1987,6,6,186,278,89
USR0000CDOY,1987,6,7,162,217,122
USR0000CDOY,1987,6,8,-9999,-9999,-9999
USR0000CDOY,1987,6,9,209,272,100
USR0000CDOY,1987,7,1,213,294,128
USR0000CDOY,1987,7,10,229,311,133
USR0000CDOY,1987,7,11,242,317,156
USR0000CDOY,1987,7,12,236,344,106
USR0000CDOY,1987,7,13,278,356,133
USR0000CDOY,1987,7,14,303,383,139
USR0000CDOY,1987,7,15,285,372,178
USR0000CDOY,1987,7,16,231,317,139
USR0000CDOY,1987,7,17,99,139,67
USR0000CDOY,1987,7,18,138,194,89
USR0000CDOY,1987,7,19,152,239,28
USR0000CDOY,1987,7,2,206,300,89
USR0000CDOY,1987,7,20,177,244,111
USR0000CDOY,1987,7,21,158,222,106
USR0000CDOY,1987,7,22,141,233,6
USR0000CDOY,1987,7,23,147,272,50
USR0000CDOY,1987,7,24,249,283,194
USR0000CDOY,1987,7,25,216,306,128
USR0000CDOY,1987,7,26,211,322,67
USR0000CDOY,1987,7,27,210,333,61
USR0000CDOY,1987,7,28,218,328,83
USR0000CDOY,1987,7,29,227,317,94
USR0000CDOY,1987,7,3,213,306,83
USR0000CDOY,1987,7,30,212,328,89
USR0000CDOY,1987,7,31,204,322,44
USR0000CDOY,1987,7,4,210,289,56
USR0000CDOY,1987,7,5,199,294,72
USR0000CDOY,1987,7,6,204,300,72
USR0000CDOY,1987,7,7,226,317,100
USR0000CDOY,1987,7,8,208,306,100
USR0000CDOY,1987,7,9,258,322,128
USR0000CDOY,1987,8,1,279,350,150
USR0000CDOY,1987,8,10,234,328,117
USR0000CDOY,1987,8,11,287,322,222
USR0000CDOY,1987,8,12,241,328,100
USR0000CDOY,1987,8,13,208,289,94
USR0000CDOY,1987,8,14,192,261,106
USR0000CDOY,1987,8,15,181,283,61
USR0000CDOY,1987,8,16,201,306,72
USR0000CDOY,1987,8,17,208,333,83
USR0000CDOY,1987,8,18,318,356,228
USR0000CDOY,1987,8,19,234,294,106
USR0000CDOY,1987,8,2,235,344,94
USR0000CDOY,1987,8,20,191,283,89
USR0000CDOY,1987,8,21,219,306,117
USR0000CDOY,1987,8,22,219,322,106
USR0000CDOY,1987,8,23,200,306,94
USR0000CDOY,1987,8,24,199,311,78
USR0000CDOY,1987,8,25,221,317,94
USR0000CDOY,1987,8,26,228,328,94
USR0000CDOY,1987,8,27,231,333,111
USR0000CDOY,1987,8,28,240,344,111
USR0000CDOY,1987,8,29,240,361,122
USR0000CDOY,1987,8,3,263,378,128
USR0000CDOY,1987,8,30,251,361,161
USR0000CDOY,1987,8,31,243,356,133
USR0000CDOY,1987,8,4,261,361,150
USR0000CDOY,1987,8,5,276,367,150
USR0000CDOY,1987,8,6,223,361,117
USR0000CDOY,1987,8,7,248,333,72
USR0000CDOY,1987,8,8,253,367,100
USR0000CDOY,1987,8,9,258,361,139
USR0000CDOY,1987,9,1,254,356,139
USR0000CDOY,1987,9,10,191,294,72
USR0000CDOY,1987,9,11,195,300,89
USR0000CDOY,1987,9,12,215,317,128
USR0000CDOY,1987,9,13,203,306,111
USR0000CDOY,1987,9,14,184,300,94
USR0000CDOY,1987,9,15,157,272,50
USR0000CDOY,1987,9,16,137,222,44
USR0000CDOY,1987,9,17,122,261,6
USR0000CDOY,1987,9,18,177,300,39
USR0000CDOY,1987,9,19,181,311,56
USR0000CDOY,1987,9,2,238,328,133
USR0000CDOY,1987,9,20,188,322,72
USR0000CDOY,1987,9,21,181,311,50
USR0000CDOY,1987,9,22,202,344,61
USR0000CDOY,1987,9,23,221,339,106
USR0000CDOY,1987,9,24,218,306,83
USR0000CDOY,1987,9,25,174,272,56
USR0000CDOY,1987,9,26,144,244,44
USR0000CDOY,1987,9,27,132,261,-6
USR0000CDOY,1987,9,28,146,278,17
USR0000CDOY,1987,9,29,159,294,39
USR0000CDOY,1987,9,3,219,311,122
USR0000CDOY,1987,9,30,145,283,50
USR0000CDOY,1987,9,31,-9999,-9999,-9999
USR0000CDOY,1987,9,4,184,283,56
USR0000CDOY,1987,9,5,193,300,83
USR0000CDOY,1987,9,6,204,306,94
USR0000CDOY,1987,9,7,208,311,117
USR0000CDOY,1987,9,8,204,289,111
USR0000CDOY,1987,9,9,202,311,89
USR0000CDOY,1988,3,1,-9999,-9999,-9999
USR0000CDOY,1988,3,10,-9999,-9999,-9999
USR0000CDOY,1988,3,11,-9999,-9999,-9999
USR0000CDOY,1988,3,12,-9999,-9999,-9999
USR0000CDOY,1988,3,13,-9999,-9999,-9999
USR0000CDOY,1988,3,14,-9999,-9999,-9999
USR0000CDOY,1988,3,15,-9999,-9999,-9999
USR0000CDOY,1988,3,16,-9999,-9999,-9999
USR0000CDOY,1988,3,17,-9999,-9999,-9999
USR0000CDOY,1988,3,18,-9999,-9999,-9999
USR0000CDOY,1988,3,19,-9999,-9999,-9999
USR0000CDOY,1988,3,2,-9999,-9999,-9999
USR0000CDOY,1988,3,20,-9999,-9999,-9999
USR0000CDOY,1988,3,21,-9999,-9999,-9999
USR0000CDOY,1988,3,22,-9999,-9999,-9999
USR0000CDOY,1988,3,23,-9999,-9999,-9999
USR0000CDOY,1988,3,24,-9999,-9999,-9999
USR0000CDOY,1988,3,25,-9999,-9999,-9999
USR0000CDOY,1988,3,26,-9999,-9999,-9999
USR0000CDOY,1988,3,27,-9999,-9999,-9999
USR0000CDOY,1988,3,28,-9999,-9999,-9999
USR0000CDOY,1988,3,29,-9999,-9999,-9999
USR0000CDOY,1988,3,3,-9999,-9999,-9999
USR0000CDOY,1988,3,30,-9999,-9999,-9999
USR0000CDOY,1988,3,31,122,189,89
