ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CFAN,1990,5,1,-9999,-9999,-9999
USR0000CFAN,1990,5,10,187,222,100
USR0000CFAN,1990,5,11,218,289,139
USR0000CFAN,1990,5,12,144,150,139
USR0000CFAN,1990,5,13,-9999,-9999,-9999
USR0000CFAN,1990,5,14,247,311,133
USR0000CFAN,1990,5,15,212,300,111
USR0000CFAN,1990,5,16,263,339,178
USR0000CFAN,1990,5,17,233,322,133
USR0000CFAN,1990,5,18,199,289,106
USR0000CFAN,1990,5,19,183,267,100
USR0000CFAN,1990,5,2,217,217,217
USR0000CFAN,1990,5,20,224,294,150
USR0000CFAN,1990,5,21,239,322,144
USR0000CFAN,1990,5,22,239,322,167
USR0000CFAN,1990,5,23,1,272,-189
USR0000CFAN,1990,5,24,148,256,33
USR0000CFAN,1990,5,25,221,300,133
USR0000CFAN,1990,5,26,232,294,167
USR0000CFAN,1990,5,27,171,217,94
USR0000CFAN,1990,5,28,164,244,67
USR0000CFAN,1990,5,29,199,267,83
USR0000CFAN,1990,5,3,-9999,-9999,-9999
USR0000CFAN,1990,5,30,212,272,144
USR0000CFAN,1990,5,31,199,244,150
USR0000CFAN,1990,5,4,-9999,-9999,-9999
USR0000CFAN,1990,5,5,-9999,-9999,-9999
USR0000CFAN,1990,5,6,-9999,-9999,-9999
USR0000CFAN,1990,5,7,258,311,183
USR0000CFAN,1990,5,8,208,272,167
USR0000CFAN,1990,5,9,196,267,133
USR0000CFAN,1990,6,1,201,278,111
USR0000CFAN,1990,6,10,297,350,217
USR0000CFAN,1990,6,11,290,344,228
USR0000CFAN,1990,6,12,282,339,206
USR0000CFAN,1990,6,13,248,294,200
USR0000CFAN,1990,6,14,227,272,167
USR0000CFAN,1990,6,15,226,294,178
USR0000CFAN,1990,6,16,243,322,178
USR0000CFAN,1990,6,17,273,350,206
USR0000CFAN,1990,6,18,248,333,178
USR0000CFAN,1990,6,19,288,389,200
USR0000CFAN,1990,6,2,259,333,178
USR0000CFAN,1990,6,20,345,428,278
USR0000CFAN,1990,6,21,345,428,267
USR0000CFAN,1990,6,22,301,389,233
USR0000CFAN,1990,6,23,273,350,206
USR0000CFAN,1990,6,24,306,394,217
USR0000CFAN,1990,6,25,279,356,206
USR0000CFAN,1990,6,26,295,361,228
USR0000CFAN,1990,6,27,278,356,211
USR0000CFAN,1990,6,28,258,333,178
USR0000CFAN,1990,6,29,289,350,211
USR0000CFAN,1990,6,3,272,350,194
USR0000CFAN,1990,6,30,-9999,-9999,-9999
USR0000CFAN,1990,6,31,-9999,-9999,-9999
USR0000CFAN,1990,6,4,273,350,189
USR0000CFAN,1990,6,5,273,361,189
USR0000CFAN,1990,6,6,273,356,189
USR0000CFAN,1990,6,7,291,350,206
USR0000CFAN,1990,6,8,321,389,244
USR0000CFAN,1990,6,9,313,383,261
USR0000CFAN,1990,7,1,-9999,-9999,-9999
USR0000CFAN,1990,7,10,321,389,222
USR0000CFAN,1990,7,11,311,367,261
USR0000CFAN,1990,7,12,350,428,272
USR0000CFAN,1990,7,13,360,422,294
USR0000CFAN,1990,7,14,348,411,278
USR0000CFAN,1990,7,15,328,394,244
USR0000CFAN,1990,7,16,314,378,233
USR0000CFAN,1990,7,17,308,378,217
USR0000CFAN,1990,7,18,321,378,250
USR0000CFAN,1990,7,19,323,389,250
USR0000CFAN,1990,7,2,-9999,-9999,-9999
USR0000CFAN,1990,7,20,333,389,244
USR0000CFAN,1990,7,21,345,406,278
USR0000CFAN,1990,7,22,335,394,272
