ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CFIS,1988,3,1,-9999,-9999,-9999
USR0000CFIS,1988,3,10,157,189,128
USR0000CFIS,1988,3,11,147,183,117
USR0000CFIS,1988,3,12,154,194,117
USR0000CFIS,1988,3,13,167,206,122
USR0000CFIS,1988,3,14,186,244,139
USR0000CFIS,1988,3,15,187,256,144
USR0000CFIS,1988,3,16,180,228,128
USR0000CFIS,1988,3,17,193,233,150
USR0000CFIS,1988,3,18,210,256,167
USR0000CFIS,1988,3,19,232,278,189
USR0000CFIS,1988,3,2,-9999,-9999,-9999
USR0000CFIS,1988,3,20,256,300,211
USR0000CFIS,1988,3,21,257,317,211
USR0000CFIS,1988,3,22,256,311,211
USR0000CFIS,1988,3,23,258,317,211
USR0000CFIS,1988,3,24,268,317,217
USR0000CFIS,1988,3,25,284,328,233
USR0000CFIS,1988,3,26,306,356,261
USR0000CFIS,1988,3,27,289,344,239
USR0000CFIS,1988,3,28,218,261,167
USR0000CFIS,1988,3,29,192,244,133
USR0000CFIS,1988,3,3,-9999,-9999,-9999
USR0000CFIS,1988,3,30,215,256,178
USR0000CFIS,1988,3,31,187,222,150
USR0000CFIS,1988,3,4,-9999,-9999,-9999
USR0000CFIS,1988,3,5,227,267,194
USR0000CFIS,1988,3,6,223,278,178
USR0000CFIS,1988,3,7,216,267,161
USR0000CFIS,1988,3,8,206,256,156
USR0000CFIS,1988,3,9,221,278,172
USR0000CFIS,1988,4,1,216,261,161
USR0000CFIS,1988,4,10,267,306,228
USR0000CFIS,1988,4,11,291,344,239
USR0000CFIS,1988,4,12,284,333,250
USR0000CFIS,1988,4,13,231,261,189
USR0000CFIS,1988,4,14,186,222,133
USR0000CFIS,1988,4,15,154,200,111
USR0000CFIS,1988,4,16,169,200,122
USR0000CFIS,1988,4,17,187,233,144
USR0000CFIS,1988,4,18,202,256,150
USR0000CFIS,1988,4,19,213,272,167
USR0000CFIS,1988,4,2,236,289,178
USR0000CFIS,1988,4,20,174,211,133
USR0000CFIS,1988,4,21,150,183,122
USR0000CFIS,1988,4,22,167,200,128
USR0000CFIS,1988,4,23,156,200,122
USR0000CFIS,1988,4,24,198,261,122
USR0000CFIS,1988,4,25,242,294,172
USR0000CFIS,1988,4,26,271,322,211
USR0000CFIS,1988,4,27,265,322,211
USR0000CFIS,1988,4,28,207,250,172
USR0000CFIS,1988,4,29,242,311,172
USR0000CFIS,1988,4,3,246,311,189
USR0000CFIS,1988,4,30,214,278,139
USR0000CFIS,1988,4,31,-9999,-9999,-9999
USR0000CFIS,1988,4,4,248,306,194
USR0000CFIS,1988,4,5,258,328,189
USR0000CFIS,1988,4,6,307,361,239
USR0000CFIS,1988,4,7,293,356,228
USR0000CFIS,1988,4,8,287,322,244
USR0000CFIS,1988,4,9,264,300,233
USR0000CFIS,1988,5,1,189,244,122
USR0000CFIS,1988,5,10,317,378,244
USR0000CFIS,1988,5,11,348,394,294
USR0000CFIS,1988,5,12,358,417,311
USR0000CFIS,1988,5,13,328,383,272
USR0000CFIS,1988,5,14,319,372,261
USR0000CFIS,1988,5,15,303,361,228
USR0000CFIS,1988,5,16,302,372,244
USR0000CFIS,1988,5,17,243,300,183
USR0000CFIS,1988,5,18,264,333,183
USR0000CFIS,1988,5,19,286,344,200
USR0000CFIS,1988,5,2,216,261,161
USR0000CFIS,1988,5,20,329,367,294
USR0000CFIS,1988,5,21,336,383,283
USR0000CFIS,1988,5,22,334,383,283
USR0000CFIS,1988,5,23,319,383,278
USR0000CFIS,1988,5,24,311,372,256
USR0000CFIS,1988,5,25,316,389,250
USR0000CFIS,1988,5,26,319,394,261
USR0000CFIS,1988,5,27,299,361,250
USR0000CFIS,1988,5,28,272,328,200
USR0000CFIS,1988,5,29,181,206,156
USR0000CFIS,1988,5,3,252,306,178
USR0000CFIS,1988,5,30,206,256,150
USR0000CFIS,1988,5,31,251,311,178
USR0000CFIS,1988,5,4,251,317,206
USR0000CFIS,1988,5,5,160,206,111
USR0000CFIS,1988,5,6,151,200,111
USR0000CFIS,1988,5,7,166,211,122
USR0000CFIS,1988,5,8,206,261,128
USR0000CFIS,1988,5,9,265,322,194
USR0000CFIS,1988,6,1,295,367,239
USR0000CFIS,1988,6,10,313,378,256
USR0000CFIS,1988,6,11,291,350,233
USR0000CFIS,1988,6,12,296,367,233
USR0000CFIS,1988,6,13,322,378,244
USR0000CFIS,1988,6,14,316,372,272
USR0000CFIS,1988,6,15,313,389,239
