ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CFOU,1990,5,1,-9999,-9999,-9999
USR0000CFOU,1990,5,10,136,183,100
USR0000CFOU,1990,5,11,174,244,111
USR0000CFOU,1990,5,12,88,111,72
USR0000CFOU,1990,5,13,-9999,-9999,-9999
USR0000CFOU,1990,5,14,208,267,111
USR0000CFOU,1990,5,15,162,244,50
USR0000CFOU,1990,5,16,199,283,111
USR0000CFOU,1990,5,17,189,272,100
USR0000CFOU,1990,5,18,161,250,61
USR0000CFOU,1990,5,19,139,206,72
USR0000CFOU,1990,5,2,212,289,150
USR0000CFOU,1990,5,20,159,244,56
USR0000CFOU,1990,5,21,202,278,100
USR0000CFOU,1990,5,22,201,294,100
USR0000CFOU,1990,5,23,173,278,83
USR0000CFOU,1990,5,24,150,217,100
USR0000CFOU,1990,5,25,179,256,72
USR0000CFOU,1990,5,26,179,256,89
USR0000CFOU,1990,5,27,156,206,122
USR0000CFOU,1990,5,28,151,189,117
USR0000CFOU,1990,5,29,159,222,100
USR0000CFOU,1990,5,3,229,322,111
USR0000CFOU,1990,5,30,172,250,89
USR0000CFOU,1990,5,31,150,206,100
USR0000CFOU,1990,5,4,252,333,144
USR0000CFOU,1990,5,5,257,356,161
USR0000CFOU,1990,5,6,245,350,128
USR0000CFOU,1990,5,7,212,317,111
USR0000CFOU,1990,5,8,170,272,94
USR0000CFOU,1990,5,9,167,256,89
USR0000CFOU,1990,6,1,148,239,56
USR0000CFOU,1990,6,10,238,306,189
USR0000CFOU,1990,6,11,209,283,150
USR0000CFOU,1990,6,12,216,294,133
USR0000CFOU,1990,6,13,214,267,128
USR0000CFOU,1990,6,14,184,233,128
USR0000CFOU,1990,6,15,177,239,139
USR0000CFOU,1990,6,16,188,278,111
USR0000CFOU,1990,6,17,209,306,128
USR0000CFOU,1990,6,18,199,289,117
USR0000CFOU,1990,6,19,227,328,117
USR0000CFOU,1990,6,2,193,294,100
USR0000CFOU,1990,6,20,278,378,178
USR0000CFOU,1990,6,21,265,378,189
USR0000CFOU,1990,6,22,229,333,156
USR0000CFOU,1990,6,23,210,306,139
USR0000CFOU,1990,6,24,216,306,150
USR0000CFOU,1990,6,25,209,289,150
USR0000CFOU,1990,6,26,211,294,139
USR0000CFOU,1990,6,27,214,322,144
USR0000CFOU,1990,6,28,223,322,128
USR0000CFOU,1990,6,29,286,322,217
USR0000CFOU,1990,6,3,210,311,117
USR0000CFOU,1990,6,30,-9999,-9999,-9999
USR0000CFOU,1990,6,31,-9999,-9999,-9999
USR0000CFOU,1990,6,4,217,311,117
USR0000CFOU,1990,6,5,214,311,111
USR0000CFOU,1990,6,6,222,300,128
USR0000CFOU,1990,6,7,236,306,161
USR0000CFOU,1990,6,8,252,339,172
USR0000CFOU,1990,6,9,250,311,211
USR0000CFOU,1990,7,1,-9999,-9999,-9999
USR0000CFOU,1990,7,10,304,378,206
USR0000CFOU,1990,7,11,328,383,244
USR0000CFOU,1990,7,12,328,394,250
USR0000CFOU,1990,7,13,323,389,278
USR0000CFOU,1990,7,14,332,411,272
USR0000CFOU,1990,7,15,324,389,244
USR0000CFOU,1990,7,16,297,350,233
USR0000CFOU,1990,7,17,297,350,222
USR0000CFOU,1990,7,18,305,361,228
USR0000CFOU,1990,7,19,296,361,244
USR0000CFOU,1990,7,2,-9999,-9999,-9999
USR0000CFOU,1990,7,20,307,361,256
USR0000CFOU,1990,7,21,311,389,244
USR0000CFOU,1990,7,22,295,372,228
USR0000CFOU,1990,7,23,278,378,217
USR0000CFOU,1990,7,24,280,339,183
USR0000CFOU,1990,7,25,260,322,167
USR0000CFOU,1990,7,26,277,333,172
USR0000CFOU,1990,7,27,271,311,189
USR0000CFOU,1990,7,28,-9999,-9999,-9999
USR0000CFOU,1990,7,29,-9999,-9999,-9999
USR0000CFOU,1990,7,3,255,333,167
USR0000CFOU,1990,7,30,294,350,256
USR0000CFOU,1990,7,31,296,361,206
