ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CFRI,1990,9,1,-9999,-9999,-9999
USR0000CFRI,1990,9,10,208,306,161
USR0000CFRI,1990,9,11,189,289,117
USR0000CFRI,1990,9,12,150,250,94
USR0000CFRI,1990,9,13,167,289,100
USR0000CFRI,1990,9,14,116,200,61
USR0000CFRI,1990,9,15,103,194,50
USR0000CFRI,1990,9,16,126,222,61
USR0000CFRI,1990,9,17,151,256,72
USR0000CFRI,1990,9,18,138,211,89
USR0000CFRI,1990,9,19,170,267,89
USR0000CFRI,1990,9,2,-9999,-9999,-9999
USR0000CFRI,1990,9,20,196,311,117
USR0000CFRI,1990,9,21,214,328,133
USR0000CFRI,1990,9,22,192,283,139
USR0000CFRI,1990,9,23,160,256,111
USR0000CFRI,1990,9,24,132,206,100
USR0000CFRI,1990,9,25,110,161,89
USR0000CFRI,1990,9,26,113,156,83
USR0000CFRI,1990,9,27,144,228,78
USR0000CFRI,1990,9,28,193,289,133
USR0000CFRI,1990,9,29,217,311,150
USR0000CFRI,1990,9,3,-9999,-9999,-9999
USR0000CFRI,1990,9,30,233,322,172
USR0000CFRI,1990,9,31,-9999,-9999,-9999
USR0000CFRI,1990,9,4,-9999,-9999,-9999
USR0000CFRI,1990,9,5,-9999,-9999,-9999
USR0000CFRI,1990,9,6,-9999,-9999,-9999
USR0000CFRI,1990,9,7,-9999,-9999,-9999
USR0000CFRI,1990,9,8,-9999,-9999,-9999
USR0000CFRI,1990,9,9,-9999,-9999,-9999
USR0000CFRI,1990,10,1,172,250,94
USR0000CFRI,1990,10,10,141,217,78
USR0000CFRI,1990,10,11,145,244,72
USR0000CFRI,1990,10,12,131,206,89
USR0000CFRI,1990,10,13,108,194,67
USR0000CFRI,1990,10,14,137,228,72
USR0000CFRI,1990,10,15,119,206,67
USR0000CFRI,1990,10,16,93,183,44
USR0000CFRI,1990,10,17,138,228,67
USR0000CFRI,1990,10,18,63,111,28
USR0000CFRI,1990,10,19,54,133,11
USR0000CFRI,1990,10,2,119,200,67
USR0000CFRI,1990,10,20,89,167,28
USR0000CFRI,1990,10,21,126,211,83
USR0000CFRI,1990,10,22,112,194,67
USR0000CFRI,1990,10,23,149,239,72
USR0000CFRI,1990,10,24,179,256,122
USR0000CFRI,1990,10,25,147,222,89
USR0000CFRI,1990,10,26,149,222,89
USR0000CFRI,1990,10,27,138,211,94
USR0000CFRI,1990,10,28,78,117,33
USR0000CFRI,1990,10,29,75,144,11
USR0000CFRI,1990,10,3,161,278,78
USR0000CFRI,1990,10,30,75,111,61
USR0000CFRI,1990,10,31,33,67,0
USR0000CFRI,1990,10,4,184,267,106
USR0000CFRI,1990,10,5,94,161,50
USR0000CFRI,1990,10,6,83,178,17
USR0000CFRI,1990,10,7,92,200,11
USR0000CFRI,1990,10,8,118,233,50
USR0000CFRI,1990,10,9,157,256,100
USR0000CFRI,1990,11,1,8,78,-22
USR0000CFRI,1990,11,10,153,250,100
USR0000CFRI,1990,11,11,145,239,106
USR0000CFRI,1990,11,12,143,217,100
USR0000CFRI,1990,11,13,74,122,0
USR0000CFRI,1990,11,14,11,61,-11
USR0000CFRI,1990,11,15,54,144,-22
USR0000CFRI,1990,11,16,88,156,50
USR0000CFRI,1990,11,17,61,106,33
USR0000CFRI,1990,11,18,54,106,22
USR0000CFRI,1990,11,19,14,39,-17
USR0000CFRI,1990,11,2,38,122,-33
USR0000CFRI,1990,11,20,-1,28,-17
USR0000CFRI,1990,11,21,25,72,-6
USR0000CFRI,1990,11,22,53,133,11
USR0000CFRI,1990,11,23,123,206,39
USR0000CFRI,1990,11,24,123,200,44
USR0000CFRI,1990,11,25,17,67,-28
USR0000CFRI,1990,11,26,-17,28,-39
USR0000CFRI,1990,11,27,-7,22,-39
USR0000CFRI,1990,11,28,46,128,-17
USR0000CFRI,1990,11,29,58,94,28
USR0000CFRI,1990,11,3,86,156,39
USR0000CFRI,1990,11,30,18,83,-11
USR0000CFRI,1990,11,31,-9999,-9999,-9999
USR0000CFRI,1990,11,4,89,150,61
USR0000CFRI,1990,11,5,34,94,-11
USR0000CFRI,1990,11,6,34,122,-22
USR0000CFRI,1990,11,7,79,150,6
USR0000CFRI,1990,11,8,96,167,61
USR0000CFRI,1990,11,9,142,228,89
USR0000CFRI,1990,12,1,-8,33,-39
USR0000CFRI,1990,12,10,27,50,-6
USR0000CFRI,1990,12,11,-9,11,-22
USR0000CFRI,1990,12,12,-4,56,-28
USR0000CFRI,1990,12,13,-28,11,-50
USR0000CFRI,1990,12,14,-18,22,-33
USR0000CFRI,1990,12,15,-17,61,-39
USR0000CFRI,1990,12,16,-17,0,-39
USR0000CFRI,1990,12,17,24,94,-17
USR0000CFRI,1990,12,18,0,33,-44
USR0000CFRI,1990,12,19,-78,-44,-122
USR0000CFRI,1990,12,2,36,117,-39
USR0000CFRI,1990,12,20,-117,-39,-150
USR0000CFRI,1990,12,21,-119,-22,-172
USR0000CFRI,1990,12,22,-77,28,-144
USR0000CFRI,1990,12,23,-47,50,-100
USR0000CFRI,1990,12,24,11,117,-56
USR0000CFRI,1990,12,25,25,122,-28
USR0000CFRI,1990,12,26,26,128,-22
USR0000CFRI,1990,12,27,18,89,-17
USR0000CFRI,1990,12,28,-37,-6,-72
USR0000CFRI,1990,12,29,-33,61,-83
USR0000CFRI,1990,12,3,78,117,44
USR0000CFRI,1990,12,30,19,100,-33
USR0000CFRI,1990,12,31,40,128,-22
USR0000CFRI,1990,12,4,49,78,22
USR0000CFRI,1990,12,5,37,128,-17
USR0000CFRI,1990,12,6,75,156,28
USR0000CFRI,1990,12,7,76,150,44
USR0000CFRI,1990,12,8,106,183,67
USR0000CFRI,1990,12,9,81,128,50
USR0000CFRI,1991,1,1,81,167,39
USR0000CFRI,1991,1,10,38,72,17
USR0000CFRI,1991,1,11,49,56,28
USR0000CFRI,1991,1,12,66,83,56
USR0000CFRI,1991,1,13,68,106,50
USR0000CFRI,1991,1,14,64,111,33
USR0000CFRI,1991,1,15,33,72,0
USR0000CFRI,1991,1,16,64,150,0
USR0000CFRI,1991,1,17,103,189,56
USR0000CFRI,1991,1,18,63,117,-6
USR0000CFRI,1991,1,19,56,156,-6
USR0000CFRI,1991,1,2,63,117,28
USR0000CFRI,1991,1,20,47,117,6
USR0000CFRI,1991,1,21,30,117,-17
USR0000CFRI,1991,1,22,70,161,28
USR0000CFRI,1991,1,23,66,144,22
USR0000CFRI,1991,1,24,57,150,-11
USR0000CFRI,1991,1,25,63,139,11
USR0000CFRI,1991,1,26,51,133,0
USR0000CFRI,1991,1,27,29,111,-17
USR0000CFRI,1991,1,28,31,94,-22
USR0000CFRI,1991,1,29,76,161,22
USR0000CFRI,1991,1,3,66,139,22
USR0000CFRI,1991,1,30,41,117,11
USR0000CFRI,1991,1,31,53,122,17
USR0000CFRI,1991,1,4,52,133,11
USR0000CFRI,1991,1,5,54,122,22
USR0000CFRI,1991,1,6,15,56,-11
USR0000CFRI,1991,1,7,4,67,-178
USR0000CFRI,1991,1,8,2,67,-28
USR0000CFRI,1991,1,9,14,50,-6
USR0000CFRI,1991,2,1,49,78,17
USR0000CFRI,1991,2,10,94,161,50
USR0000CFRI,1991,2,11,67,139,17
USR0000CFRI,1991,2,12,62,133,17
USR0000CFRI,1991,2,13,94,178,33
USR0000CFRI,1991,2,14,122,206,61
USR0000CFRI,1991,2,15,87,133,28
USR0000CFRI,1991,2,16,42,100,6
USR0000CFRI,1991,2,17,23,78,0
USR0000CFRI,1991,2,18,44,100,6
USR0000CFRI,1991,2,19,90,189,28
USR0000CFRI,1991,2,2,48,72,22
USR0000CFRI,1991,2,20,121,194,72
USR0000CFRI,1991,2,21,100,144,56
USR0000CFRI,1991,2,22,82,161,28
USR0000CFRI,1991,2,23,107,211,50
USR0000CFRI,1991,2,24,97,194,33
USR0000CFRI,1991,2,25,121,211,61
USR0000CFRI,1991,2,26,118,211,56
USR0000CFRI,1991,2,27,78,161,44
USR0000CFRI,1991,2,28,41,72,17
USR0000CFRI,1991,2,29,-9999,-9999,-9999
USR0000CFRI,1991,2,3,44,56,33
