ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CGHP,1990,5,1,-9999,-9999,-9999
USR0000CGHP,1990,5,10,99,178,11
USR0000CGHP,1990,5,11,53,128,-6
USR0000CGHP,1990,5,12,-2,6,-11
USR0000CGHP,1990,5,13,-9999,-9999,-9999
USR0000CGHP,1990,5,14,53,133,-11
USR0000CGHP,1990,5,15,44,133,-44
USR0000CGHP,1990,5,16,76,178,-28
USR0000CGHP,1990,5,17,72,167,0
USR0000CGHP,1990,5,18,58,133,-22
USR0000CGHP,1990,5,19,17,61,-11
USR0000CGHP,1990,5,2,72,139,6
USR0000CGHP,1990,5,20,49,111,-11
USR0000CGHP,1990,5,21,77,128,44
USR0000CGHP,1990,5,22,67,111,33
USR0000CGHP,1990,5,23,1,28,-22
USR0000CGHP,1990,5,24,10,72,-39
USR0000CGHP,1990,5,25,49,111,-33
USR0000CGHP,1990,5,26,47,78,6
USR0000CGHP,1990,5,27,44,78,22
USR0000CGHP,1990,5,28,52,100,22
USR0000CGHP,1990,5,29,56,100,17
USR0000CGHP,1990,5,3,91,183,-11
USR0000CGHP,1990,5,30,16,50,-6
USR0000CGHP,1990,5,31,3,44,-44
USR0000CGHP,1990,5,4,121,222,39
USR0000CGHP,1990,5,5,139,250,33
USR0000CGHP,1990,5,6,109,194,-11
USR0000CGHP,1990,5,7,37,139,-61
USR0000CGHP,1990,5,8,23,128,-72
USR0000CGHP,1990,5,9,73,183,-11
USR0000CGHP,1990,6,1,23,94,-83
USR0000CGHP,1990,6,10,116,167,44
USR0000CGHP,1990,6,11,116,178,22
USR0000CGHP,1990,6,12,80,150,-6
USR0000CGHP,1990,6,13,56,100,-28
USR0000CGHP,1990,6,14,105,150,22
USR0000CGHP,1990,6,15,98,150,22
USR0000CGHP,1990,6,16,81,150,22
USR0000CGHP,1990,6,17,80,183,6
USR0000CGHP,1990,6,18,90,189,6
USR0000CGHP,1990,6,19,127,233,22
USR0000CGHP,1990,6,2,91,156,22
USR0000CGHP,1990,6,20,168,261,94
USR0000CGHP,1990,6,21,176,283,94
USR0000CGHP,1990,6,22,142,233,56
USR0000CGHP,1990,6,23,121,244,33
USR0000CGHP,1990,6,24,126,228,44
USR0000CGHP,1990,6,25,113,239,22
USR0000CGHP,1990,6,26,113,233,22
USR0000CGHP,1990,6,27,112,228,22
USR0000CGHP,1990,6,28,145,261,33
USR0000CGHP,1990,6,29,185,256,67
USR0000CGHP,1990,6,3,113,178,44
USR0000CGHP,1990,6,30,-9999,-9999,-9999
USR0000CGHP,1990,6,31,-9999,-9999,-9999
USR0000CGHP,1990,6,4,105,189,22
USR0000CGHP,1990,6,5,107,194,11
USR0000CGHP,1990,6,6,102,161,33
USR0000CGHP,1990,6,7,114,217,11
USR0000CGHP,1990,6,8,129,239,28
USR0000CGHP,1990,6,9,118,206,33
USR0000CGHP,1990,7,1,-9999,-9999,-9999
USR0000CGHP,1990,7,10,201,289,94
USR0000CGHP,1990,7,11,224,311,139
USR0000CGHP,1990,7,12,224,306,133
USR0000CGHP,1990,7,13,198,294,133
USR0000CGHP,1990,7,14,216,294,111
USR0000CGHP,1990,7,15,211,306,117
USR0000CGHP,1990,7,16,214,294,133
USR0000CGHP,1990,7,17,154,256,100
USR0000CGHP,1990,7,18,164,256,89
USR0000CGHP,1990,7,19,179,233,111
USR0000CGHP,1990,7,2,102,111,83
USR0000CGHP,1990,7,20,213,289,106
USR0000CGHP,1990,7,21,231,294,111
USR0000CGHP,1990,7,22,223,294,111
USR0000CGHP,1990,7,23,187,272,83
USR0000CGHP,1990,7,24,158,228,56
USR0000CGHP,1990,7,25,142,189,56
USR0000CGHP,1990,7,26,189,272,100
USR0000CGHP,1990,7,27,220,272,72
USR0000CGHP,1990,7,28,-9999,-9999,-9999
USR0000CGHP,1990,7,29,-9999,-9999,-9999
USR0000CGHP,1990,7,3,144,239,44
USR0000CGHP,1990,7,30,175,228,144
USR0000CGHP,1990,7,31,217,294,83
USR0000CGHP,1990,7,4,136,206,61
USR0000CGHP,1990,7,5,127,194,50
USR0000CGHP,1990,7,6,145,228,39
USR0000CGHP,1990,7,7,158,222,83
USR0000CGHP,1990,7,8,182,267,78
USR0000CGHP,1990,7,9,177,272,72
USR0000CGHP,1990,8,1,212,294,78
USR0000CGHP,1990,8,10,197,283,111
USR0000CGHP,1990,8,11,192,278,100
USR0000CGHP,1990,8,12,199,289,89
USR0000CGHP,1990,8,13,197,300,94
USR0000CGHP,1990,8,14,182,289,94
USR0000CGHP,1990,8,15,152,244,72
USR0000CGHP,1990,8,16,122,206,44
USR0000CGHP,1990,8,17,117,178,39
USR0000CGHP,1990,8,18,99,161,44
USR0000CGHP,1990,8,19,87,144,39
USR0000CGHP,1990,8,2,183,283,61
USR0000CGHP,1990,8,20,96,128,11
USR0000CGHP,1990,8,21,112,178,39
USR0000CGHP,1990,8,22,116,239,33
USR0000CGHP,1990,8,23,132,217,44
USR0000CGHP,1990,8,24,114,200,33
USR0000CGHP,1990,8,25,69,111,33
USR0000CGHP,1990,8,26,71,128,22
USR0000CGHP,1990,8,27,96,200,33
USR0000CGHP,1990,8,28,126,222,39
USR0000CGHP,1990,8,29,122,189,61
USR0000CGHP,1990,8,3,200,311,78
USR0000CGHP,1990,8,30,102,217,33
USR0000CGHP,1990,8,31,117,244,17
USR0000CGHP,1990,8,4,214,322,94
USR0000CGHP,1990,8,5,206,322,100
USR0000CGHP,1990,8,6,231,350,122
USR0000CGHP,1990,8,7,234,322,144
USR0000CGHP,1990,8,8,179,317,89
USR0000CGHP,1990,8,9,177,272,83
USR0000CGHP,1990,9,1,133,261,50
USR0000CGHP,1990,9,10,193,289,94
USR0000CGHP,1990,9,11,167,272,72
USR0000CGHP,1990,9,12,143,256,50
USR0000CGHP,1990,9,13,149,261,33
USR0000CGHP,1990,9,14,119,189,28
USR0000CGHP,1990,9,15,89,189,-6
USR0000CGHP,1990,9,16,92,200,0
USR0000CGHP,1990,9,17,98,194,-6
USR0000CGHP,1990,9,18,115,200,33
USR0000CGHP,1990,9,19,114,217,39
USR0000CGHP,1990,9,2,134,250,44
USR0000CGHP,1990,9,20,126,217,33
USR0000CGHP,1990,9,21,144,228,61
USR0000CGHP,1990,9,22,140,222,61
USR0000CGHP,1990,9,23,113,189,44
USR0000CGHP,1990,9,24,109,200,33
USR0000CGHP,1990,9,25,58,122,17
USR0000CGHP,1990,9,26,68,139,6
USR0000CGHP,1990,9,27,97,189,6
USR0000CGHP,1990,9,28,128,222,33
USR0000CGHP,1990,9,29,146,244,50
USR0000CGHP,1990,9,3,112,228,28
USR0000CGHP,1990,9,30,156,261,50
USR0000CGHP,1990,9,31,-9999,-9999,-9999
USR0000CGHP,1990,9,4,124,244,39
USR0000CGHP,1990,9,5,150,244,89
USR0000CGHP,1990,9,6,153,244,89
USR0000CGHP,1990,9,7,148,244,67
USR0000CGHP,1990,9,8,151,267,44
USR0000CGHP,1990,9,9,181,294,61
USR0000CGHP,1990,10,1,153,244,67
