ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CHEL,1989,6,1,-9999,-9999,-9999
USR0000CHEL,1989,6,10,-9999,-9999,-9999
USR0000CHEL,1989,6,11,-9999,-9999,-9999
USR0000CHEL,1989,6,12,-9999,-9999,-9999
USR0000CHEL,1989,6,13,-9999,-9999,-9999
USR0000CHEL,1989,6,14,-9999,-9999,-9999
USR0000CHEL,1989,6,15,-9999,-9999,-9999
USR0000CHEL,1989,6,16,-9999,-9999,-9999
USR0000CHEL,1989,6,17,-9999,-9999,-9999
USR0000CHEL,1989,6,18,-9999,-9999,-9999
USR0000CHEL,1989,6,19,-9999,-9999,-9999
USR0000CHEL,1989,6,2,-9999,-9999,-9999
USR0000CHEL,1989,6,20,-9999,-9999,-9999
USR0000CHEL,1989,6,21,188,222,128
USR0000CHEL,1989,6,22,206,272,161
USR0000CHEL,1989,6,23,187,239,150
USR0000CHEL,1989,6,24,173,244,122
USR0000CHEL,1989,6,25,181,250,122
USR0000CHEL,1989,6,26,181,244,122
USR0000CHEL,1989,6,27,160,211,94
USR0000CHEL,1989,6,28,147,194,94
USR0000CHEL,1989,6,29,123,194,67
USR0000CHEL,1989,6,3,-9999,-9999,-9999
USR0000CHEL,1989,6,30,124,183,61
USR0000CHEL,1989,6,31,-9999,-9999,-9999
USR0000CHEL,1989,6,4,-9999,-9999,-9999
USR0000CHEL,1989,6,5,-9999,-9999,-9999
USR0000CHEL,1989,6,6,-9999,-9999,-9999
USR0000CHEL,1989,6,7,-9999,-9999,-9999
USR0000CHEL,1989,6,8,-9999,-9999,-9999
USR0000CHEL,1989,6,9,-9999,-9999,-9999
USR0000CHEL,1989,7,1,153,222,78
USR0000CHEL,1989,7,10,206,256,139
USR0000CHEL,1989,7,11,196,261,139
USR0000CHEL,1989,7,12,194,272,133
USR0000CHEL,1989,7,13,206,272,144
USR0000CHEL,1989,7,14,204,272,128
USR0000CHEL,1989,7,15,179,250,111
USR0000CHEL,1989,7,16,179,250,106
USR0000CHEL,1989,7,17,207,272,144
USR0000CHEL,1989,7,18,227,294,167
USR0000CHEL,1989,7,19,236,300,178
USR0000CHEL,1989,7,2,188,250,106
USR0000CHEL,1989,7,20,232,317,183
USR0000CHEL,1989,7,21,215,300,161
USR0000CHEL,1989,7,22,218,289,156
USR0000CHEL,1989,7,23,219,289,156
USR0000CHEL,1989,7,24,222,289,161
USR0000CHEL,1989,7,25,223,300,161
USR0000CHEL,1989,7,26,211,283,144
USR0000CHEL,1989,7,27,208,283,139
