ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CHER,1990,5,1,-9999,-9999,-9999
USR0000CHER,1990,5,10,-9999,-9999,-9999
USR0000CHER,1990,5,11,-9999,-9999,-9999
USR0000CHER,1990,5,12,-9999,-9999,-9999
USR0000CHER,1990,5,13,-9999,-9999,-9999
USR0000CHER,1990,5,14,-9999,-9999,-9999
USR0000CHER,1990,5,15,-9999,-9999,-9999
USR0000CHER,1990,5,16,-9999,-9999,-9999
USR0000CHER,1990,5,17,101,150,56
USR0000CHER,1990,5,18,69,139,6
USR0000CHER,1990,5,19,63,128,-6
USR0000CHER,1990,5,2,-9999,-9999,-9999
USR0000CHER,1990,5,20,104,167,44
USR0000CHER,1990,5,21,125,172,83
USR0000CHER,1990,5,22,137,206,83
USR0000CHER,1990,5,23,67,83,44
USR0000CHER,1990,5,24,98,167,22
USR0000CHER,1990,5,25,121,178,72
USR0000CHER,1990,5,26,118,178,72
USR0000CHER,1990,5,27,75,83,67
USR0000CHER,1990,5,28,71,111,44
USR0000CHER,1990,5,29,101,150,33
USR0000CHER,1990,5,3,-9999,-9999,-9999
USR0000CHER,1990,5,30,97,133,61
USR0000CHER,1990,5,31,82,128,33
USR0000CHER,1990,5,4,-9999,-9999,-9999
USR0000CHER,1990,5,5,-9999,-9999,-9999
USR0000CHER,1990,5,6,-9999,-9999,-9999
USR0000CHER,1990,5,7,-9999,-9999,-9999
USR0000CHER,1990,5,8,-9999,-9999,-9999
USR0000CHER,1990,5,9,-9999,-9999,-9999
USR0000CHER,1990,6,1,111,194,33
USR0000CHER,1990,6,10,189,228,139
USR0000CHER,1990,6,11,182,217,139
USR0000CHER,1990,6,12,181,250,128
USR0000CHER,1990,6,13,117,150,83
USR0000CHER,1990,6,14,102,144,33
USR0000CHER,1990,6,15,118,156,61
USR0000CHER,1990,6,16,159,211,117
USR0000CHER,1990,6,17,162,217,117
USR0000CHER,1990,6,18,141,194,100
USR0000CHER,1990,6,19,213,294,150
USR0000CHER,1990,6,2,172,244,94
USR0000CHER,1990,6,20,258,322,206
USR0000CHER,1990,6,21,239,283,183
USR0000CHER,1990,6,22,199,244,172
USR0000CHER,1990,6,23,209,256,167
USR0000CHER,1990,6,24,204,244,172
USR0000CHER,1990,6,25,208,261,156
USR0000CHER,1990,6,26,222,278,183
USR0000CHER,1990,6,27,192,228,150
USR0000CHER,1990,6,28,221,294,161
USR0000CHER,1990,6,29,216,244,178
USR0000CHER,1990,6,3,189,272,139
USR0000CHER,1990,6,30,-9999,-9999,-9999
USR0000CHER,1990,6,31,-9999,-9999,-9999
USR0000CHER,1990,6,4,188,244,144
USR0000CHER,1990,6,5,187,244,139
