ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CHNM,1989,2,1,-9999,-9999,-9999
USR0000CHNM,1989,2,10,-9999,-9999,-9999
USR0000CHNM,1989,2,11,-9999,-9999,-9999
USR0000CHNM,1989,2,12,-9999,-9999,-9999
USR0000CHNM,1989,2,13,-9999,-9999,-9999
USR0000CHNM,1989,2,14,-9999,-9999,-9999
USR0000CHNM,1989,2,15,1,44,-78
USR0000CHNM,1989,2,16,-5,78,-72
USR0000CHNM,1989,2,17,27,100,-39
USR0000CHNM,1989,2,18,50,83,28
USR0000CHNM,1989,2,19,57,128,-6
USR0000CHNM,1989,2,2,-9999,-9999,-9999
USR0000CHNM,1989,2,20,23,106,-28
USR0000CHNM,1989,2,21,38,117,-33
USR0000CHNM,1989,2,22,81,122,6
USR0000CHNM,1989,2,23,102,128,72
USR0000CHNM,1989,2,24,112,156,83
USR0000CHNM,1989,2,25,116,172,72
USR0000CHNM,1989,2,26,119,172,56
USR0000CHNM,1989,2,27,82,144,22
USR0000CHNM,1989,2,28,44,117,-17
USR0000CHNM,1989,2,29,-9999,-9999,-9999
USR0000CHNM,1989,2,3,-9999,-9999,-9999
USR0000CHNM,1989,2,30,-9999,-9999,-9999
USR0000CHNM,1989,2,31,-9999,-9999,-9999
USR0000CHNM,1989,2,4,-9999,-9999,-9999
USR0000CHNM,1989,2,5,-9999,-9999,-9999
USR0000CHNM,1989,2,6,-9999,-9999,-9999
USR0000CHNM,1989,2,7,-9999,-9999,-9999
USR0000CHNM,1989,2,8,-9999,-9999,-9999
USR0000CHNM,1989,2,9,-9999,-9999,-9999
USR0000CHNM,1989,3,1,65,128,0
USR0000CHNM,1989,3,10,111,133,83
USR0000CHNM,1989,3,11,111,161,56
USR0000CHNM,1989,3,12,107,167,67
USR0000CHNM,1989,3,13,98,156,22
USR0000CHNM,1989,3,14,57,133,0
USR0000CHNM,1989,3,15,68,128,-11
USR0000CHNM,1989,3,16,58,111,11
USR0000CHNM,1989,3,17,43,100,-33
USR0000CHNM,1989,3,18,88,133,39
USR0000CHNM,1989,3,19,90,189,22
USR0000CHNM,1989,3,2,17,61,-11
USR0000CHNM,1989,3,20,38,117,-17
USR0000CHNM,1989,3,21,79,150,-28
USR0000CHNM,1989,3,22,91,139,17
USR0000CHNM,1989,3,23,78,128,11
USR0000CHNM,1989,3,24,75,128,44
USR0000CHNM,1989,3,25,17,44,-17
USR0000CHNM,1989,3,26,19,83,-28
USR0000CHNM,1989,3,27,65,133,-17
USR0000CHNM,1989,3,28,125,194,28
USR0000CHNM,1989,3,29,106,161,17
USR0000CHNM,1989,3,3,-28,17,-72
USR0000CHNM,1989,3,30,114,172,22
USR0000CHNM,1989,3,31,127,200,39
USR0000CHNM,1989,3,4,1,61,-89
USR0000CHNM,1989,3,5,71,144,-22
USR0000CHNM,1989,3,6,107,150,72
USR0000CHNM,1989,3,7,100,133,72
USR0000CHNM,1989,3,8,106,144,72
USR0000CHNM,1989,3,9,97,139,67
USR0000CHNM,1989,4,1,102,161,28
USR0000CHNM,1989,4,10,182,250,89
USR0000CHNM,1989,4,11,142,217,78
USR0000CHNM,1989,4,12,133,200,61
USR0000CHNM,1989,4,13,131,200,22
USR0000CHNM,1989,4,14,162,211,83
USR0000CHNM,1989,4,15,166,222,67
USR0000CHNM,1989,4,16,157,217,56
USR0000CHNM,1989,4,17,175,233,83
USR0000CHNM,1989,4,18,182,239,72
USR0000CHNM,1989,4,19,188,233,156
USR0000CHNM,1989,4,2,123,200,33
USR0000CHNM,1989,4,20,173,217,122
USR0000CHNM,1989,4,21,131,194,61
USR0000CHNM,1989,4,22,93,161,33
USR0000CHNM,1989,4,23,62,117,11
USR0000CHNM,1989,4,24,2,61,-28
USR0000CHNM,1989,4,25,13,78,-44
USR0000CHNM,1989,4,26,39,94,-33
USR0000CHNM,1989,4,27,57,122,6
USR0000CHNM,1989,4,28,83,144,-6
USR0000CHNM,1989,4,29,98,150,-6
USR0000CHNM,1989,4,3,116,189,28
USR0000CHNM,1989,4,30,131,161,83
USR0000CHNM,1989,4,31,-9999,-9999,-9999
USR0000CHNM,1989,4,4,137,206,50
USR0000CHNM,1989,4,5,157,217,39
USR0000CHNM,1989,4,6,179,250,72
USR0000CHNM,1989,4,7,196,267,100
USR0000CHNM,1989,4,8,180,261,111
USR0000CHNM,1989,4,9,183,261,106
USR0000CHNM,1989,5,1,149,194,83
USR0000CHNM,1989,5,10,53,111,17
USR0000CHNM,1989,5,11,32,78,6
USR0000CHNM,1989,5,12,73,128,6
USR0000CHNM,1989,5,13,53,94,22
USR0000CHNM,1989,5,14,64,111,0
USR0000CHNM,1989,5,15,61,111,33
USR0000CHNM,1989,5,16,111,189,33
USR0000CHNM,1989,5,17,149,211,67
USR0000CHNM,1989,5,18,160,211,100
USR0000CHNM,1989,5,19,138,194,67
USR0000CHNM,1989,5,2,162,228,72
USR0000CHNM,1989,5,20,167,217,122
USR0000CHNM,1989,5,21,177,222,94
USR0000CHNM,1989,5,22,171,239,94
USR0000CHNM,1989,5,23,141,217,78
USR0000CHNM,1989,5,24,110,178,-6
USR0000CHNM,1989,5,25,125,189,56
USR0000CHNM,1989,5,26,149,206,56
USR0000CHNM,1989,5,27,161,217,100
USR0000CHNM,1989,5,28,130,189,50
USR0000CHNM,1989,5,29,96,150,39
USR0000CHNM,1989,5,3,174,244,94
USR0000CHNM,1989,5,30,88,156,22
USR0000CHNM,1989,5,31,125,194,28
USR0000CHNM,1989,5,4,192,250,111
USR0000CHNM,1989,5,5,184,233,128
USR0000CHNM,1989,5,6,212,261,167
USR0000CHNM,1989,5,7,204,256,156
USR0000CHNM,1989,5,8,204,250,139
USR0000CHNM,1989,5,9,140,200,44
USR0000CHNM,1989,6,1,142,211,33
USR0000CHNM,1989,6,10,183,239,94
USR0000CHNM,1989,6,11,186,228,122
USR0000CHNM,1989,6,12,201,272,117
USR0000CHNM,1989,6,13,243,294,150
USR0000CHNM,1989,6,14,251,306,167
USR0000CHNM,1989,6,15,241,294,178
USR0000CHNM,1989,6,16,202,261,139
USR0000CHNM,1989,6,17,224,289,111
USR0000CHNM,1989,6,18,249,300,156
USR0000CHNM,1989,6,19,249,300,194
USR0000CHNM,1989,6,2,163,222,83
USR0000CHNM,1989,6,20,217,294,111
USR0000CHNM,1989,6,21,168,239,111
USR0000CHNM,1989,6,22,193,261,83
USR0000CHNM,1989,6,23,203,267,100
USR0000CHNM,1989,6,24,168,222,122
USR0000CHNM,1989,6,25,179,244,106
USR0000CHNM,1989,6,26,200,250,150
USR0000CHNM,1989,6,27,167,228,111
USR0000CHNM,1989,6,28,157,217,94
USR0000CHNM,1989,6,29,170,228,117
USR0000CHNM,1989,6,3,161,222,100
USR0000CHNM,1989,6,30,186,239,133
USR0000CHNM,1989,6,31,-9999,-9999,-9999
USR0000CHNM,1989,6,4,134,194,50
USR0000CHNM,1989,6,5,129,178,44
USR0000CHNM,1989,6,6,168,233,67
USR0000CHNM,1989,6,7,164,222,122
USR0000CHNM,1989,6,8,182,250,94
USR0000CHNM,1989,6,9,185,250,117
USR0000CHNM,1989,7,1,198,256,78
USR0000CHNM,1989,7,10,233,272,161
USR0000CHNM,1989,7,11,203,239,172
USR0000CHNM,1989,7,12,211,261,156
USR0000CHNM,1989,7,13,235,289,156
USR0000CHNM,1989,7,14,251,300,172
USR0000CHNM,1989,7,15,227,283,178
USR0000CHNM,1989,7,16,208,267,94
USR0000CHNM,1989,7,17,224,289,111
USR0000CHNM,1989,7,18,253,311,156
USR0000CHNM,1989,7,19,261,317,178
USR0000CHNM,1989,7,2,227,272,156
USR0000CHNM,1989,7,20,267,311,211
USR0000CHNM,1989,7,21,244,300,206
USR0000CHNM,1989,7,22,244,300,194
USR0000CHNM,1989,7,23,245,300,161
USR0000CHNM,1989,7,24,243,300,167
USR0000CHNM,1989,7,25,254,311,172
USR0000CHNM,1989,7,26,249,294,211
USR0000CHNM,1989,7,27,238,289,200
USR0000CHNM,1989,7,28,231,278,189
USR0000CHNM,1989,7,29,234,278,189
USR0000CHNM,1989,7,3,242,289,172
USR0000CHNM,1989,7,30,240,283,206
USR0000CHNM,1989,7,31,214,267,183
USR0000CHNM,1989,7,4,249,300,167
USR0000CHNM,1989,7,5,252,333,133
USR0000CHNM,1989,7,6,276,350,194
USR0000CHNM,1989,7,7,286,367,211
USR0000CHNM,1989,7,8,261,328,194
USR0000CHNM,1989,7,9,248,294,172
USR0000CHNM,1989,8,1,209,256,172
USR0000CHNM,1989,8,10,185,233,144
USR0000CHNM,1989,8,11,198,244,133
USR0000CHNM,1989,8,12,219,272,172
USR0000CHNM,1989,8,13,238,289,150
USR0000CHNM,1989,8,14,248,294,200
USR0000CHNM,1989,8,15,240,278,194
USR0000CHNM,1989,8,16,224,267,167
USR0000CHNM,1989,8,17,194,244,144
USR0000CHNM,1989,8,18,189,239,122
USR0000CHNM,1989,8,19,194,239,144
USR0000CHNM,1989,8,2,205,256,122
USR0000CHNM,1989,8,20,177,228,100
USR0000CHNM,1989,8,21,185,239,94
USR0000CHNM,1989,8,22,195,239,156
USR0000CHNM,1989,8,23,189,244,133
USR0000CHNM,1989,8,24,160,211,78
USR0000CHNM,1989,8,25,169,217,78
