ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CJUA,1988,12,1,-9999,-9999,-9999
USR0000CJUA,1988,12,10,-9999,-9999,-9999
USR0000CJUA,1988,12,11,-9999,-9999,-9999
USR0000CJUA,1988,12,12,-9999,-9999,-9999
USR0000CJUA,1988,12,13,-9999,-9999,-9999
USR0000CJUA,1988,12,14,-9999,-9999,-9999
USR0000CJUA,1988,12,15,-9999,-9999,-9999
USR0000CJUA,1988,12,16,-9999,-9999,-9999
USR0000CJUA,1988,12,17,-9999,-9999,-9999
USR0000CJUA,1988,12,18,-9999,-9999,-9999
USR0000CJUA,1988,12,19,-9999,-9999,-9999
USR0000CJUA,1988,12,2,-9999,-9999,-9999
USR0000CJUA,1988,12,20,-9999,-9999,-9999
USR0000CJUA,1988,12,21,-9999,-9999,-9999
USR0000CJUA,1988,12,22,-9999,-9999,-9999
USR0000CJUA,1988,12,23,-9999,-9999,-9999
USR0000CJUA,1988,12,24,-9999,-9999,-9999
USR0000CJUA,1988,12,25,-9999,-9999,-9999
USR0000CJUA,1988,12,26,-9999,-9999,-9999
USR0000CJUA,1988,12,27,-9999,-9999,-9999
USR0000CJUA,1988,12,28,-9999,-9999,-9999
USR0000CJUA,1988,12,29,-9999,-9999,-9999
USR0000CJUA,1988,12,3,-9999,-9999,-9999
USR0000CJUA,1988,12,30,-12,17,-33
USR0000CJUA,1988,12,31,-16,50,-89
USR0000CJUA,1988,12,4,-9999,-9999,-9999
USR0000CJUA,1988,12,5,-9999,-9999,-9999
USR0000CJUA,1988,12,6,-9999,-9999,-9999
USR0000CJUA,1988,12,7,-9999,-9999,-9999
USR0000CJUA,1988,12,8,-9999,-9999,-9999
USR0000CJUA,1988,12,9,-9999,-9999,-9999
USR0000CJUA,1989,1,1,-28,44,-94
USR0000CJUA,1989,1,10,23,61,-6
USR0000CJUA,1989,1,11,2,83,-50
USR0000CJUA,1989,1,12,-29,44,-72
USR0000CJUA,1989,1,13,-36,44,-94
USR0000CJUA,1989,1,14,-19,28,-78
USR0000CJUA,1989,1,15,11,67,-28
USR0000CJUA,1989,1,16,3,89,-50
USR0000CJUA,1989,1,17,4,33,-39
USR0000CJUA,1989,1,18,-2,11,-11
USR0000CJUA,1989,1,19,-8,39,-28
USR0000CJUA,1989,1,2,7,39,-33
USR0000CJUA,1989,1,20,-14,11,-33
USR0000CJUA,1989,1,21,5,33,-28
USR0000CJUA,1989,1,22,10,44,-39
USR0000CJUA,1989,1,23,-36,33,-78
USR0000CJUA,1989,1,24,-31,39,-78
USR0000CJUA,1989,1,25,-4,89,-61
USR0000CJUA,1989,1,26,1,94,-50
USR0000CJUA,1989,1,27,-1,94,-56
USR0000CJUA,1989,1,28,1,100,-56
USR0000CJUA,1989,1,29,18,122,-39
USR0000CJUA,1989,1,3,16,33,6
USR0000CJUA,1989,1,30,23,133,-39
USR0000CJUA,1989,1,31,53,144,-22
USR0000CJUA,1989,1,4,6,11,0
USR0000CJUA,1989,1,5,3,39,-28
USR0000CJUA,1989,1,6,-18,22,-56
USR0000CJUA,1989,1,7,-29,44,-83
USR0000CJUA,1989,1,8,1,50,-33
USR0000CJUA,1989,1,9,19,78,-17
USR0000CJUA,1989,2,1,3,44,-28
USR0000CJUA,1989,2,10,11,83,-61
USR0000CJUA,1989,2,11,23,117,-44
USR0000CJUA,1989,2,12,-3,72,-67
USR0000CJUA,1989,2,13,-13,78,-72
USR0000CJUA,1989,2,14,-15,83,-83
USR0000CJUA,1989,2,15,13,111,-61
USR0000CJUA,1989,2,16,54,106,11
USR0000CJUA,1989,2,17,50,83,22
USR0000CJUA,1989,2,18,61,117,33
USR0000CJUA,1989,2,19,49,111,0
USR0000CJUA,1989,2,2,-36,-6,-72
USR0000CJUA,1989,2,20,50,139,-17
USR0000CJUA,1989,2,21,56,111,22
USR0000CJUA,1989,2,22,53,128,-6
USR0000CJUA,1989,2,23,39,150,-33
USR0000CJUA,1989,2,24,41,139,-39
USR0000CJUA,1989,2,25,49,161,-22
USR0000CJUA,1989,2,26,41,167,-39
USR0000CJUA,1989,2,27,28,150,-56
USR0000CJUA,1989,2,28,37,161,-56
USR0000CJUA,1989,2,29,-9999,-9999,-9999
USR0000CJUA,1989,2,3,-45,28,-89
USR0000CJUA,1989,2,30,-9999,-9999,-9999
USR0000CJUA,1989,2,31,-9999,-9999,-9999
USR0000CJUA,1989,2,4,-97,-50,-133
USR0000CJUA,1989,2,5,-112,-28,-172
USR0000CJUA,1989,2,6,-83,6,-156
USR0000CJUA,1989,2,7,-71,22,-133
USR0000CJUA,1989,2,8,-49,44,-128
USR0000CJUA,1989,2,9,-6,56,-50
USR0000CJUA,1989,3,1,35,111,-28
USR0000CJUA,1989,3,10,109,150,72
USR0000CJUA,1989,3,11,90,150,44
USR0000CJUA,1989,3,12,72,139,28
USR0000CJUA,1989,3,13,24,89,-22
USR0000CJUA,1989,3,14,39,106,-39
USR0000CJUA,1989,3,15,67,161,-6
USR0000CJUA,1989,3,16,37,83,-6
USR0000CJUA,1989,3,17,56,122,-11
USR0000CJUA,1989,3,18,77,156,22
USR0000CJUA,1989,3,19,67,161,0
USR0000CJUA,1989,3,2,19,89,-33
USR0000CJUA,1989,3,20,69,156,-28
USR0000CJUA,1989,3,21,94,172,28
USR0000CJUA,1989,3,22,63,156,-6
USR0000CJUA,1989,3,23,67,139,11
USR0000CJUA,1989,3,24,86,156,39
USR0000CJUA,1989,3,25,56,94,-17
USR0000CJUA,1989,3,26,27,83,-44
USR0000CJUA,1989,3,27,70,122,22
USR0000CJUA,1989,3,28,102,156,28
USR0000CJUA,1989,3,29,84,156,11
USR0000CJUA,1989,3,3,-22,72,-83
USR0000CJUA,1989,3,30,73,150,11
USR0000CJUA,1989,3,31,91,167,22
USR0000CJUA,1989,3,4,18,67,-28
USR0000CJUA,1989,3,5,57,89,28
USR0000CJUA,1989,3,6,77,150,17
USR0000CJUA,1989,3,7,74,139,11
USR0000CJUA,1989,3,8,71,100,44
USR0000CJUA,1989,3,9,93,128,67
USR0000CJUA,1989,4,1,79,117,33
USR0000CJUA,1989,4,10,128,211,33
USR0000CJUA,1989,4,11,139,267,22
USR0000CJUA,1989,4,12,155,278,50
USR0000CJUA,1989,4,13,167,294,44
USR0000CJUA,1989,4,14,183,272,106
USR0000CJUA,1989,4,15,168,256,78
USR0000CJUA,1989,4,16,161,267,67
USR0000CJUA,1989,4,17,166,261,67
USR0000CJUA,1989,4,18,166,278,61
USR0000CJUA,1989,4,19,171,267,83
USR0000CJUA,1989,4,2,60,94,22
USR0000CJUA,1989,4,20,141,233,61
USR0000CJUA,1989,4,21,70,111,22
USR0000CJUA,1989,4,22,57,122,0
USR0000CJUA,1989,4,23,41,72,22
USR0000CJUA,1989,4,24,60,122,11
USR0000CJUA,1989,4,25,58,89,39
USR0000CJUA,1989,4,26,86,139,39
USR0000CJUA,1989,4,27,106,189,17
USR0000CJUA,1989,4,28,111,211,11
USR0000CJUA,1989,4,29,148,239,33
USR0000CJUA,1989,4,3,66,139,-6
USR0000CJUA,1989,4,30,127,167,94
USR0000CJUA,1989,4,31,-9999,-9999,-9999
USR0000CJUA,1989,4,4,108,222,6
USR0000CJUA,1989,4,5,136,261,28
USR0000CJUA,1989,4,6,152,289,39
USR0000CJUA,1989,4,7,154,283,44
USR0000CJUA,1989,4,8,151,278,44
USR0000CJUA,1989,4,9,157,278,39
USR0000CJUA,1989,5,1,128,200,50
USR0000CJUA,1989,5,10,39,83,0
USR0000CJUA,1989,5,11,41,122,-17
USR0000CJUA,1989,5,12,53,133,-11
USR0000CJUA,1989,5,13,80,144,17
USR0000CJUA,1989,5,14,93,156,39
USR0000CJUA,1989,5,15,116,183,56
USR0000CJUA,1989,5,16,131,200,61
USR0000CJUA,1989,5,17,112,194,39
USR0000CJUA,1989,5,18,32,78,-11
USR0000CJUA,1989,5,19,86,189,-22
USR0000CJUA,1989,5,2,151,228,61
USR0000CJUA,1989,5,20,132,194,72
USR0000CJUA,1989,5,21,110,183,50
USR0000CJUA,1989,5,22,73,144,0
USR0000CJUA,1989,5,23,16,44,-11
USR0000CJUA,1989,5,24,43,89,0
USR0000CJUA,1989,5,25,61,122,11
USR0000CJUA,1989,5,26,97,161,22
USR0000CJUA,1989,5,27,56,94,6
USR0000CJUA,1989,5,28,23,78,-6
USR0000CJUA,1989,5,29,54,122,-11
USR0000CJUA,1989,5,3,128,172,94
USR0000CJUA,1989,5,30,98,178,6
USR0000CJUA,1989,5,31,166,228,83
USR0000CJUA,1989,5,4,157,217,83
USR0000CJUA,1989,5,5,151,206,117
USR0000CJUA,1989,5,6,169,233,111
USR0000CJUA,1989,5,7,175,244,111
USR0000CJUA,1989,5,8,139,206,83
USR0000CJUA,1989,5,9,85,117,33
USR0000CJUA,1989,6,1,191,256,117
USR0000CJUA,1989,6,10,172,256,83
USR0000CJUA,1989,6,11,193,261,122
USR0000CJUA,1989,6,12,200,272,139
USR0000CJUA,1989,6,13,181,256,117
USR0000CJUA,1989,6,14,161,211,111
USR0000CJUA,1989,6,15,108,139,72
USR0000CJUA,1989,6,16,119,189,50
USR0000CJUA,1989,6,17,147,211,72
USR0000CJUA,1989,6,18,160,244,72
USR0000CJUA,1989,6,19,99,178,33
USR0000CJUA,1989,6,2,198,272,139
USR0000CJUA,1989,6,20,109,189,17
USR0000CJUA,1989,6,21,162,233,72
USR0000CJUA,1989,6,22,183,256,117
USR0000CJUA,1989,6,23,166,244,83
USR0000CJUA,1989,6,24,192,267,117
USR0000CJUA,1989,6,25,204,272,139
USR0000CJUA,1989,6,26,182,261,111
USR0000CJUA,1989,6,27,159,217,100
USR0000CJUA,1989,6,28,109,161,83
USR0000CJUA,1989,6,29,104,144,67
USR0000CJUA,1989,6,3,156,239,94
USR0000CJUA,1989,6,30,116,178,72
USR0000CJUA,1989,6,31,-9999,-9999,-9999
USR0000CJUA,1989,6,4,157,233,89
USR0000CJUA,1989,6,5,177,244,117
USR0000CJUA,1989,6,6,171,250,94
USR0000CJUA,1989,6,7,185,261,111
USR0000CJUA,1989,6,8,165,244,100
USR0000CJUA,1989,6,9,153,239,72
USR0000CJUA,1989,7,1,133,206,61
USR0000CJUA,1989,7,10,161,233,44
USR0000CJUA,1989,7,11,197,283,106
USR0000CJUA,1989,7,12,202,278,128
USR0000CJUA,1989,7,13,211,289,111
USR0000CJUA,1989,7,14,189,289,100
USR0000CJUA,1989,7,15,156,244,100
USR0000CJUA,1989,7,16,160,211,94
USR0000CJUA,1989,7,17,184,256,106
USR0000CJUA,1989,7,18,209,294,128
USR0000CJUA,1989,7,19,212,300,133
USR0000CJUA,1989,7,2,163,239,72
USR0000CJUA,1989,7,20,189,283,100
USR0000CJUA,1989,7,21,177,278,83
USR0000CJUA,1989,7,22,212,300,128
USR0000CJUA,1989,7,23,213,294,144
USR0000CJUA,1989,7,24,214,294,139
USR0000CJUA,1989,7,25,223,311,144
USR0000CJUA,1989,7,26,190,278,128
USR0000CJUA,1989,7,27,194,283,117
USR0000CJUA,1989,7,28,196,283,128
USR0000CJUA,1989,7,29,192,272,100
USR0000CJUA,1989,7,3,176,267,94
USR0000CJUA,1989,7,30,147,233,83
USR0000CJUA,1989,7,31,103,161,56
USR0000CJUA,1989,7,4,161,256,83
USR0000CJUA,1989,7,5,182,267,94
USR0000CJUA,1989,7,6,222,300,133
USR0000CJUA,1989,7,7,208,272,117
USR0000CJUA,1989,7,8,158,250,83
USR0000CJUA,1989,7,9,146,222,67
USR0000CJUA,1989,8,1,124,178,39
USR0000CJUA,1989,8,10,191,272,133
USR0000CJUA,1989,8,11,192,261,122
USR0000CJUA,1989,8,12,184,250,122
USR0000CJUA,1989,8,13,184,272,100
USR0000CJUA,1989,8,14,180,267,111
