ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CJUN,1988,4,1,-9999,-9999,-9999
USR0000CJUN,1988,4,10,146,256,39
USR0000CJUN,1988,4,11,147,261,28
USR0000CJUN,1988,4,12,148,250,22
USR0000CJUN,1988,4,13,116,183,44
USR0000CJUN,1988,4,14,58,94,28
USR0000CJUN,1988,4,15,84,167,22
USR0000CJUN,1988,4,16,95,178,33
USR0000CJUN,1988,4,17,74,122,56
USR0000CJUN,1988,4,18,61,100,33
USR0000CJUN,1988,4,19,66,100,33
USR0000CJUN,1988,4,2,-9999,-9999,-9999
USR0000CJUN,1988,4,20,26,44,6
USR0000CJUN,1988,4,21,41,72,17
USR0000CJUN,1988,4,22,32,61,0
USR0000CJUN,1988,4,23,60,111,-6
USR0000CJUN,1988,4,24,65,100,17
USR0000CJUN,1988,4,25,70,139,11
USR0000CJUN,1988,4,26,108,189,17
USR0000CJUN,1988,4,27,120,183,33
USR0000CJUN,1988,4,28,103,161,56
USR0000CJUN,1988,4,29,72,111,-11
USR0000CJUN,1988,4,3,-9999,-9999,-9999
USR0000CJUN,1988,4,30,-3,44,-33
USR0000CJUN,1988,4,31,-9999,-9999,-9999
USR0000CJUN,1988,4,4,-9999,-9999,-9999
USR0000CJUN,1988,4,5,161,217,94
USR0000CJUN,1988,4,6,142,200,67
USR0000CJUN,1988,4,7,48,111,-67
USR0000CJUN,1988,4,8,42,133,-78
USR0000CJUN,1988,4,9,94,200,-22
USR0000CJUN,1988,5,1,17,83,-39
USR0000CJUN,1988,5,10,148,250,33
USR0000CJUN,1988,5,11,181,283,72
USR0000CJUN,1988,5,12,166,250,44
USR0000CJUN,1988,5,13,93,167,22
USR0000CJUN,1988,5,14,131,228,11
USR0000CJUN,1988,5,15,173,261,50
USR0000CJUN,1988,5,16,103,150,39
USR0000CJUN,1988,5,17,86,139,33
USR0000CJUN,1988,5,18,101,172,22
USR0000CJUN,1988,5,19,125,222,17
USR0000CJUN,1988,5,2,57,128,-28
USR0000CJUN,1988,5,20,197,256,100
USR0000CJUN,1988,5,21,186,283,61
USR0000CJUN,1988,5,22,164,256,67
USR0000CJUN,1988,5,23,158,261,44
USR0000CJUN,1988,5,24,159,256,39
USR0000CJUN,1988,5,25,160,250,72
USR0000CJUN,1988,5,26,143,217,61
USR0000CJUN,1988,5,27,136,194,89
USR0000CJUN,1988,5,28,70,128,0
USR0000CJUN,1988,5,29,23,61,0
USR0000CJUN,1988,5,3,63,133,0
USR0000CJUN,1988,5,30,74,150,-6
USR0000CJUN,1988,5,31,104,156,72
USR0000CJUN,1988,5,4,29,89,-28
USR0000CJUN,1988,5,5,29,67,-22
USR0000CJUN,1988,5,6,32,61,6
USR0000CJUN,1988,5,7,46,106,22
USR0000CJUN,1988,5,8,47,83,0
USR0000CJUN,1988,5,9,89,161,11
USR0000CJUN,1988,6,1,108,128,89
USR0000CJUN,1988,6,10,132,211,44
USR0000CJUN,1988,6,11,147,228,39
USR0000CJUN,1988,6,12,151,233,39
USR0000CJUN,1988,6,13,179,278,56
USR0000CJUN,1988,6,14,201,300,94
USR0000CJUN,1988,6,15,209,300,106
USR0000CJUN,1988,6,16,194,283,111
USR0000CJUN,1988,6,17,191,289,89
USR0000CJUN,1988,6,18,209,317,94
USR0000CJUN,1988,6,19,247,356,83
USR0000CJUN,1988,6,2,170,239,100
USR0000CJUN,1988,6,20,265,322,183
USR0000CJUN,1988,6,21,253,333,156
USR0000CJUN,1988,6,22,243,344,133
USR0000CJUN,1988,6,23,248,333,139
USR0000CJUN,1988,6,24,240,350,117
USR0000CJUN,1988,6,25,202,261,161
USR0000CJUN,1988,6,26,200,272,111
USR0000CJUN,1988,6,27,186,272,83
USR0000CJUN,1988,6,28,144,233,50
USR0000CJUN,1988,6,29,121,211,-6
USR0000CJUN,1988,6,3,162,211,100
USR0000CJUN,1988,6,30,186,289,50
USR0000CJUN,1988,6,31,-9999,-9999,-9999
USR0000CJUN,1988,6,4,103,172,28
USR0000CJUN,1988,6,5,51,117,6
USR0000CJUN,1988,6,6,56,111,-6
USR0000CJUN,1988,6,7,48,89,-6
USR0000CJUN,1988,6,8,89,144,-11
USR0000CJUN,1988,6,9,109,167,61
USR0000CJUN,1988,7,1,208,300,94
USR0000CJUN,1988,7,10,221,322,106
USR0000CJUN,1988,7,11,191,261,100
USR0000CJUN,1988,7,12,209,283,111
USR0000CJUN,1988,7,13,223,300,122
USR0000CJUN,1988,7,14,218,294,150
USR0000CJUN,1988,7,15,221,294,128
USR0000CJUN,1988,7,16,257,317,150
USR0000CJUN,1988,7,17,224,333,89
USR0000CJUN,1988,7,18,247,344,117
USR0000CJUN,1988,7,19,256,361,106
USR0000CJUN,1988,7,2,213,300,100
USR0000CJUN,1988,7,20,272,372,133
USR0000CJUN,1988,7,21,272,372,156
USR0000CJUN,1988,7,22,263,367,139
USR0000CJUN,1988,7,23,254,356,133
