ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CKEE,1990,5,1,-9999,-9999,-9999
USR0000CKEE,1990,5,10,-9999,-9999,-9999
USR0000CKEE,1990,5,11,-9999,-9999,-9999
USR0000CKEE,1990,5,12,-9999,-9999,-9999
USR0000CKEE,1990,5,13,-9999,-9999,-9999
USR0000CKEE,1990,5,14,-9999,-9999,-9999
USR0000CKEE,1990,5,15,112,172,44
USR0000CKEE,1990,5,16,162,272,50
USR0000CKEE,1990,5,17,131,211,39
USR0000CKEE,1990,5,18,105,194,11
USR0000CKEE,1990,5,19,74,139,28
USR0000CKEE,1990,5,2,-9999,-9999,-9999
USR0000CKEE,1990,5,20,108,189,22
USR0000CKEE,1990,5,21,158,244,83
USR0000CKEE,1990,5,22,165,250,89
USR0000CKEE,1990,5,23,152,233,67
USR0000CKEE,1990,5,24,123,211,56
USR0000CKEE,1990,5,25,134,228,50
USR0000CKEE,1990,5,26,122,200,50
USR0000CKEE,1990,5,27,113,183,61
USR0000CKEE,1990,5,28,69,111,50
USR0000CKEE,1990,5,29,97,167,33
USR0000CKEE,1990,5,3,-9999,-9999,-9999
USR0000CKEE,1990,5,30,107,167,56
USR0000CKEE,1990,5,31,96,172,44
USR0000CKEE,1990,5,4,-9999,-9999,-9999
USR0000CKEE,1990,5,5,-9999,-9999,-9999
USR0000CKEE,1990,5,6,-9999,-9999,-9999
USR0000CKEE,1990,5,7,-9999,-9999,-9999
USR0000CKEE,1990,5,8,-9999,-9999,-9999
USR0000CKEE,1990,5,9,-9999,-9999,-9999
USR0000CKEE,1990,6,1,130,222,39
USR0000CKEE,1990,6,10,132,150,117
USR0000CKEE,1990,6,11,166,233,89
USR0000CKEE,1990,6,12,162,239,83
USR0000CKEE,1990,6,13,126,189,44
USR0000CKEE,1990,6,14,102,189,28
USR0000CKEE,1990,6,15,85,150,33
USR0000CKEE,1990,6,16,150,244,28
USR0000CKEE,1990,6,17,169,256,89
USR0000CKEE,1990,6,18,178,267,78
USR0000CKEE,1990,6,19,214,328,100
USR0000CKEE,1990,6,2,201,300,94
USR0000CKEE,1990,6,20,242,333,144
USR0000CKEE,1990,6,21,234,322,150
USR0000CKEE,1990,6,22,217,306,122
USR0000CKEE,1990,6,23,250,333,150
USR0000CKEE,1990,6,24,257,344,172
USR0000CKEE,1990,6,25,268,356,178
USR0000CKEE,1990,6,26,283,361,194
USR0000CKEE,1990,6,27,264,350,183
USR0000CKEE,1990,6,28,257,350,172
USR0000CKEE,1990,6,29,248,333,167
USR0000CKEE,1990,6,3,232,328,133
USR0000CKEE,1990,6,30,241,328,161
USR0000CKEE,1990,6,31,-9999,-9999,-9999
USR0000CKEE,1990,6,4,239,333,150
USR0000CKEE,1990,6,5,216,300,128
USR0000CKEE,1990,6,6,185,267,111
USR0000CKEE,1990,6,7,207,294,111
USR0000CKEE,1990,6,8,224,333,139
USR0000CKEE,1990,6,9,181,233,133
USR0000CKEE,1990,7,1,248,328,167
USR0000CKEE,1990,7,10,212,306,167
USR0000CKEE,1990,7,11,242,322,156
USR0000CKEE,1990,7,12,256,344,183
USR0000CKEE,1990,7,13,223,317,167
USR0000CKEE,1990,7,14,213,283,161
USR0000CKEE,1990,7,15,213,278,150
USR0000CKEE,1990,7,16,209,283,144
