ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CKET,1988,2,1,-9999,-9999,-9999
USR0000CKET,1988,2,10,-9999,-9999,-9999
USR0000CKET,1988,2,11,-9999,-9999,-9999
USR0000CKET,1988,2,12,-9999,-9999,-9999
USR0000CKET,1988,2,13,-9999,-9999,-9999
USR0000CKET,1988,2,14,-9999,-9999,-9999
USR0000CKET,1988,2,15,-9999,-9999,-9999
USR0000CKET,1988,2,16,-9999,-9999,-9999
USR0000CKET,1988,2,17,-9999,-9999,-9999
USR0000CKET,1988,2,18,-9999,-9999,-9999
USR0000CKET,1988,2,19,-9999,-9999,-9999
USR0000CKET,1988,2,2,-9999,-9999,-9999
USR0000CKET,1988,2,20,-9999,-9999,-9999
USR0000CKET,1988,2,21,-9999,-9999,-9999
USR0000CKET,1988,2,22,-9999,-9999,-9999
USR0000CKET,1988,2,23,170,211,122
USR0000CKET,1988,2,24,153,211,106
USR0000CKET,1988,2,25,169,222,122
USR0000CKET,1988,2,26,181,222,133
USR0000CKET,1988,2,27,167,200,117
USR0000CKET,1988,2,28,153,194,100
USR0000CKET,1988,2,29,112,122,100
USR0000CKET,1988,2,3,-9999,-9999,-9999
USR0000CKET,1988,2,30,-9999,-9999,-9999
USR0000CKET,1988,2,31,-9999,-9999,-9999
USR0000CKET,1988,2,4,-9999,-9999,-9999
USR0000CKET,1988,2,5,-9999,-9999,-9999
USR0000CKET,1988,2,6,-9999,-9999,-9999
USR0000CKET,1988,2,7,-9999,-9999,-9999
USR0000CKET,1988,2,8,-9999,-9999,-9999
USR0000CKET,1988,2,9,-9999,-9999,-9999
USR0000CKET,1988,3,1,113,156,78
USR0000CKET,1988,3,10,104,133,72
USR0000CKET,1988,3,11,97,144,39
USR0000CKET,1988,3,12,121,172,72
USR0000CKET,1988,3,13,141,200,83
USR0000CKET,1988,3,14,154,206,106
USR0000CKET,1988,3,15,158,222,117
USR0000CKET,1988,3,16,148,194,89
USR0000CKET,1988,3,17,171,233,117
USR0000CKET,1988,3,18,186,244,117
USR0000CKET,1988,3,19,206,267,156
USR0000CKET,1988,3,2,107,144,72
USR0000CKET,1988,3,20,215,278,167
USR0000CKET,1988,3,21,174,239,133
USR0000CKET,1988,3,22,168,228,89
USR0000CKET,1988,3,23,167,228,117
USR0000CKET,1988,3,24,159,217,100
USR0000CKET,1988,3,25,191,250,128
USR0000CKET,1988,3,26,231,289,172
USR0000CKET,1988,3,27,156,206,117
USR0000CKET,1988,3,28,139,183,78
USR0000CKET,1988,3,29,180,250,122
USR0000CKET,1988,3,3,124,167,72
USR0000CKET,1988,3,30,155,189,122
USR0000CKET,1988,3,31,155,217,83
USR0000CKET,1988,3,4,151,194,117
USR0000CKET,1988,3,5,156,200,117
USR0000CKET,1988,3,6,130,178,94
USR0000CKET,1988,3,7,142,183,94
USR0000CKET,1988,3,8,179,244,122
USR0000CKET,1988,3,9,133,161,100
USR0000CKET,1988,4,1,198,267,133
USR0000CKET,1988,4,10,252,311,194
USR0000CKET,1988,4,11,267,328,217
USR0000CKET,1988,4,12,232,278,183
USR0000CKET,1988,4,13,164,217,117
USR0000CKET,1988,4,14,98,122,72
USR0000CKET,1988,4,15,107,150,61
USR0000CKET,1988,4,16,123,144,106
USR0000CKET,1988,4,17,151,222,94
USR0000CKET,1988,4,18,168,222,111
USR0000CKET,1988,4,19,127,172,89
USR0000CKET,1988,4,2,198,261,133
USR0000CKET,1988,4,20,119,167,83
USR0000CKET,1988,4,21,126,183,89
USR0000CKET,1988,4,22,122,161,94
USR0000CKET,1988,4,23,103,144,67
USR0000CKET,1988,4,24,152,206,94
USR0000CKET,1988,4,25,161,222,83
USR0000CKET,1988,4,26,182,222,144
USR0000CKET,1988,4,27,193,250,122
USR0000CKET,1988,4,28,159,206,117
USR0000CKET,1988,4,29,169,233,111
USR0000CKET,1988,4,3,182,250,133
USR0000CKET,1988,4,30,122,161,89
USR0000CKET,1988,4,31,-9999,-9999,-9999
USR0000CKET,1988,4,4,169,233,111
USR0000CKET,1988,4,5,198,267,122
USR0000CKET,1988,4,6,241,311,178
USR0000CKET,1988,4,7,202,261,161
USR0000CKET,1988,4,8,166,222,100
USR0000CKET,1988,4,9,216,294,144
