ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CKNO,1985,5,1,-9999,-9999,-9999
USR0000CKNO,1985,5,10,-9999,-9999,-9999
USR0000CKNO,1985,5,11,-9999,-9999,-9999
USR0000CKNO,1985,5,12,-9999,-9999,-9999
USR0000CKNO,1985,5,13,-9999,-9999,-9999
USR0000CKNO,1985,5,14,-9999,-9999,-9999
USR0000CKNO,1985,5,15,-9999,-9999,-9999
USR0000CKNO,1985,5,16,-9999,-9999,-9999
USR0000CKNO,1985,5,17,-9999,-9999,-9999
USR0000CKNO,1985,5,18,-9999,-9999,-9999
USR0000CKNO,1985,5,19,-9999,-9999,-9999
USR0000CKNO,1985,5,2,-9999,-9999,-9999
USR0000CKNO,1985,5,20,-9999,-9999,-9999
USR0000CKNO,1985,5,21,-9999,-9999,-9999
USR0000CKNO,1985,5,22,-9999,-9999,-9999
USR0000CKNO,1985,5,23,205,261,117
USR0000CKNO,1985,5,24,172,261,83
USR0000CKNO,1985,5,25,183,222,106
USR0000CKNO,1985,5,26,124,156,83
USR0000CKNO,1985,5,27,134,189,78
USR0000CKNO,1985,5,28,80,106,44
USR0000CKNO,1985,5,29,120,194,33
USR0000CKNO,1985,5,3,-9999,-9999,-9999
USR0000CKNO,1985,5,30,144,217,56
USR0000CKNO,1985,5,31,113,167,56
USR0000CKNO,1985,5,4,-9999,-9999,-9999
USR0000CKNO,1985,5,5,-9999,-9999,-9999
USR0000CKNO,1985,5,6,-9999,-9999,-9999
USR0000CKNO,1985,5,7,-9999,-9999,-9999
USR0000CKNO,1985,5,8,-9999,-9999,-9999
USR0000CKNO,1985,5,9,-9999,-9999,-9999
USR0000CKNO,1985,6,1,121,167,61
USR0000CKNO,1985,6,10,284,344,211
USR0000CKNO,1985,6,11,320,361,272
USR0000CKNO,1985,6,12,246,250,239
USR0000CKNO,1985,6,13,293,350,228
USR0000CKNO,1985,6,14,273,339,211
USR0000CKNO,1985,6,15,277,361,194
USR0000CKNO,1985,6,16,303,378,244
USR0000CKNO,1985,6,17,-9999,-9999,-9999
USR0000CKNO,1985,6,18,302,356,233
USR0000CKNO,1985,6,19,212,233,194
USR0000CKNO,1985,6,2,-9999,-9999,-9999
USR0000CKNO,1985,6,20,266,322,194
USR0000CKNO,1985,6,21,272,306,228
USR0000CKNO,1985,6,22,234,283,167
USR0000CKNO,1985,6,23,282,300,250
USR0000CKNO,1985,6,24,259,294,200
USR0000CKNO,1985,6,25,270,294,211
USR0000CKNO,1985,6,26,243,322,122
USR0000CKNO,1985,6,27,254,317,128
USR0000CKNO,1985,6,28,275,317,222
USR0000CKNO,1985,6,29,217,267,139
USR0000CKNO,1985,6,3,222,267,161
USR0000CKNO,1985,6,30,239,278,183
USR0000CKNO,1985,6,31,-9999,-9999,-9999
USR0000CKNO,1985,6,4,161,167,156
USR0000CKNO,1985,6,5,232,272,172
USR0000CKNO,1985,6,6,221,289,150
USR0000CKNO,1985,6,7,256,267,239
USR0000CKNO,1985,6,8,213,217,211
USR0000CKNO,1985,6,9,253,339,150
USR0000CKNO,1985,7,1,254,328,122
USR0000CKNO,1985,7,10,257,339,183
USR0000CKNO,1985,7,11,244,306,161
USR0000CKNO,1985,7,12,263,339,150
USR0000CKNO,1985,7,13,288,367,189
USR0000CKNO,1985,7,14,-9999,-9999,-9999
USR0000CKNO,1985,7,15,303,361,200
USR0000CKNO,1985,7,16,251,328,150
USR0000CKNO,1985,7,17,231,322,128
USR0000CKNO,1985,7,18,204,311,117
USR0000CKNO,1985,7,19,235,322,133
USR0000CKNO,1985,7,2,265,322,172
USR0000CKNO,1985,7,20,236,278,206
USR0000CKNO,1985,7,21,228,283,172
USR0000CKNO,1985,7,22,250,317,156
USR0000CKNO,1985,7,23,264,339,183
USR0000CKNO,1985,7,24,309,394,239
USR0000CKNO,1985,7,25,275,356,200
USR0000CKNO,1985,7,26,278,356,200
USR0000CKNO,1985,7,27,277,344,194
USR0000CKNO,1985,7,28,211,283,139
USR0000CKNO,1985,7,29,148,222,89
USR0000CKNO,1985,7,3,234,350,150
USR0000CKNO,1985,7,30,160,250,100
USR0000CKNO,1985,7,31,147,228,78
USR0000CKNO,1985,7,4,-9999,-9999,-9999
USR0000CKNO,1985,7,5,304,356,206
USR0000CKNO,1985,7,6,248,322,172
USR0000CKNO,1985,7,7,253,317,172
USR0000CKNO,1985,7,8,281,344,194
USR0000CKNO,1985,7,9,286,344,233
USR0000CKNO,1985,8,1,177,256,89
USR0000CKNO,1985,8,10,218,300,133
USR0000CKNO,1985,8,11,235,311,144
USR0000CKNO,1985,8,12,188,278,117
USR0000CKNO,1985,8,13,188,272,89
USR0000CKNO,1985,8,14,211,294,128
USR0000CKNO,1985,8,15,216,294,144
USR0000CKNO,1985,8,16,208,300,133
USR0000CKNO,1985,8,17,149,206,111
USR0000CKNO,1985,8,18,158,244,83
USR0000CKNO,1985,8,19,172,261,67
USR0000CKNO,1985,8,2,223,306,150
USR0000CKNO,1985,8,20,168,256,100
USR0000CKNO,1985,8,21,188,278,89
USR0000CKNO,1985,8,22,209,300,89
USR0000CKNO,1985,8,23,253,333,117
USR0000CKNO,1985,8,24,268,350,172
USR0000CKNO,1985,8,25,257,339,167
USR0000CKNO,1985,8,26,243,317,183
USR0000CKNO,1985,8,27,183,272,111
USR0000CKNO,1985,8,28,216,300,94
USR0000CKNO,1985,8,29,216,300,94
USR0000CKNO,1985,8,3,245,339,144
USR0000CKNO,1985,8,30,231,278,156
USR0000CKNO,1985,8,31,238,322,122
USR0000CKNO,1985,8,4,247,322,150
USR0000CKNO,1985,8,5,236,311,144
USR0000CKNO,1985,8,6,254,328,156
USR0000CKNO,1985,8,7,236,317,156
USR0000CKNO,1985,8,8,224,300,156
USR0000CKNO,1985,8,9,252,322,172
USR0000CKNO,1985,9,1,204,267,139
USR0000CKNO,1985,9,10,110,172,50
USR0000CKNO,1985,9,11,113,178,50
USR0000CKNO,1985,9,12,143,211,72
USR0000CKNO,1985,9,13,142,200,89
USR0000CKNO,1985,9,14,154,217,100
USR0000CKNO,1985,9,15,164,239,89
USR0000CKNO,1985,9,16,179,250,117
USR0000CKNO,1985,9,17,138,200,61
USR0000CKNO,1985,9,18,167,217,111
USR0000CKNO,1985,9,19,196,267,128
USR0000CKNO,1985,9,2,169,244,111
USR0000CKNO,1985,9,20,182,256,117
USR0000CKNO,1985,9,21,199,294,106
USR0000CKNO,1985,9,22,219,294,133
USR0000CKNO,1985,9,23,213,306,122
USR0000CKNO,1985,9,24,234,333,144
USR0000CKNO,1985,9,25,224,322,128
USR0000CKNO,1985,9,26,181,267,111
USR0000CKNO,1985,9,27,166,244,111
USR0000CKNO,1985,9,28,179,256,111
USR0000CKNO,1985,9,29,149,233,83
USR0000CKNO,1985,9,3,207,272,156
USR0000CKNO,1985,9,30,137,217,61
USR0000CKNO,1985,9,31,-9999,-9999,-9999
USR0000CKNO,1985,9,4,191,233,111
USR0000CKNO,1985,9,5,167,233,106
USR0000CKNO,1985,9,6,140,194,89
USR0000CKNO,1985,9,7,125,139,111
USR0000CKNO,1985,9,8,-9999,-9999,-9999
USR0000CKNO,1985,9,9,99,133,61
USR0000CKNO,1985,10,1,198,289,94
USR0000CKNO,1985,10,10,152,222,67
USR0000CKNO,1985,10,11,127,222,50
USR0000CKNO,1985,10,12,172,200,144
USR0000CKNO,1985,10,13,161,200,117
USR0000CKNO,1985,10,14,206,250,150
USR0000CKNO,1985,10,15,185,267,94
USR0000CKNO,1985,10,16,172,272,72
USR0000CKNO,1985,10,17,174,250,100
USR0000CKNO,1985,10,18,132,228,61
USR0000CKNO,1985,10,19,108,178,44
USR0000CKNO,1985,10,2,270,300,233
USR0000CKNO,1985,10,20,103,133,61
USR0000CKNO,1985,10,21,72,111,33
USR0000CKNO,1985,10,22,81,100,56
USR0000CKNO,1985,10,23,137,206,94
USR0000CKNO,1985,10,24,146,222,72
USR0000CKNO,1985,10,25,137,233,61
USR0000CKNO,1985,10,26,-9999,-9999,-9999
USR0000CKNO,1985,10,27,154,228,106
USR0000CKNO,1985,10,28,131,200,56
USR0000CKNO,1985,10,29,115,183,44
USR0000CKNO,1985,10,3,273,322,222
USR0000CKNO,1985,10,30,126,189,83
USR0000CKNO,1985,10,31,141,194,94
USR0000CKNO,1985,10,4,279,333,244
USR0000CKNO,1985,10,5,-9999,-9999,-9999
USR0000CKNO,1985,10,6,121,161,100
USR0000CKNO,1985,10,7,136,206,78
USR0000CKNO,1985,10,8,125,189,67
USR0000CKNO,1985,10,9,85,156,50
USR0000CKNO,1985,11,1,180,233,144
USR0000CKNO,1985,11,10,28,61,0
USR0000CKNO,1985,11,11,11,33,-6
USR0000CKNO,1985,11,12,11,67,-44
USR0000CKNO,1985,11,13,23,111,-39
USR0000CKNO,1985,11,14,23,122,-33
USR0000CKNO,1985,11,15,28,83,-6
USR0000CKNO,1985,11,16,63,111,33
USR0000CKNO,1985,11,17,50,89,17
USR0000CKNO,1985,11,18,16,72,-39
USR0000CKNO,1985,11,19,13,78,-44
USR0000CKNO,1985,11,2,172,244,100
USR0000CKNO,1985,11,20,20,56,-17
USR0000CKNO,1985,11,21,18,72,-44
USR0000CKNO,1985,11,22,53,94,-11
USR0000CKNO,1985,11,23,36,44,28
