ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CLAB,1990,5,1,-9999,-9999,-9999
USR0000CLAB,1990,5,10,158,217,111
USR0000CLAB,1990,5,11,144,194,106
USR0000CLAB,1990,5,12,107,111,100
USR0000CLAB,1990,5,13,-9999,-9999,-9999
USR0000CLAB,1990,5,14,144,189,106
USR0000CLAB,1990,5,15,159,239,100
USR0000CLAB,1990,5,16,191,267,117
USR0000CLAB,1990,5,17,138,183,106
USR0000CLAB,1990,5,18,132,178,100
USR0000CLAB,1990,5,19,139,189,100
USR0000CLAB,1990,5,2,242,311,189
USR0000CLAB,1990,5,20,169,228,128
USR0000CLAB,1990,5,21,176,233,128
USR0000CLAB,1990,5,22,187,244,139
USR0000CLAB,1990,5,23,142,178,111
USR0000CLAB,1990,5,24,156,228,100
USR0000CLAB,1990,5,25,170,244,111
USR0000CLAB,1990,5,26,163,233,111
USR0000CLAB,1990,5,27,150,167,139
USR0000CLAB,1990,5,28,150,189,117
USR0000CLAB,1990,5,29,158,217,117
USR0000CLAB,1990,5,3,236,322,167
USR0000CLAB,1990,5,30,156,194,122
USR0000CLAB,1990,5,31,150,183,122
USR0000CLAB,1990,5,4,259,356,183
USR0000CLAB,1990,5,5,272,361,183
USR0000CLAB,1990,5,6,243,317,167
USR0000CLAB,1990,5,7,212,283,150
USR0000CLAB,1990,5,8,171,250,128
USR0000CLAB,1990,5,9,156,206,122
USR0000CLAB,1990,6,1,170,228,111
USR0000CLAB,1990,6,10,224,283,178
USR0000CLAB,1990,6,11,236,294,167
USR0000CLAB,1990,6,12,153,156,150
USR0000CLAB,1990,6,13,-9999,-9999,-9999
USR0000CLAB,1990,6,14,187,217,139
USR0000CLAB,1990,6,15,161,200,139
USR0000CLAB,1990,6,16,182,278,133
USR0000CLAB,1990,6,17,193,272,133
USR0000CLAB,1990,6,18,176,256,117
USR0000CLAB,1990,6,19,256,339,172
USR0000CLAB,1990,6,2,190,283,111
USR0000CLAB,1990,6,20,293,383,228
USR0000CLAB,1990,6,21,237,317,150
USR0000CLAB,1990,6,22,188,283,139
USR0000CLAB,1990,6,23,216,322,150
USR0000CLAB,1990,6,24,215,306,161
USR0000CLAB,1990,6,25,233,306,167
USR0000CLAB,1990,6,26,239,333,172
USR0000CLAB,1990,6,27,225,311,178
USR0000CLAB,1990,6,28,228,333,150
USR0000CLAB,1990,6,29,233,294,183
USR0000CLAB,1990,6,3,211,294,133
USR0000CLAB,1990,6,30,-9999,-9999,-9999
USR0000CLAB,1990,6,31,-9999,-9999,-9999
USR0000CLAB,1990,6,4,211,294,139
USR0000CLAB,1990,6,5,222,306,139
USR0000CLAB,1990,6,6,218,283,167
USR0000CLAB,1990,6,7,254,311,167
USR0000CLAB,1990,6,8,283,361,194
USR0000CLAB,1990,6,9,247,328,189
USR0000CLAB,1990,7,1,-9999,-9999,-9999
USR0000CLAB,1990,7,10,309,378,217
USR0000CLAB,1990,7,11,353,400,289
USR0000CLAB,1990,7,12,345,411,256
USR0000CLAB,1990,7,13,342,411,272
USR0000CLAB,1990,7,14,295,361,211
USR0000CLAB,1990,7,15,238,322,172
USR0000CLAB,1990,7,16,241,300,189
USR0000CLAB,1990,7,17,281,350,222
USR0000CLAB,1990,7,18,288,350,211
USR0000CLAB,1990,7,19,291,378,217
