ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CLAS,1990,5,1,-9999,-9999,-9999
USR0000CLAS,1990,5,10,123,172,61
USR0000CLAS,1990,5,11,97,161,61
USR0000CLAS,1990,5,12,68,72,61
USR0000CLAS,1990,5,13,-9999,-9999,-9999
USR0000CLAS,1990,5,14,124,172,72
USR0000CLAS,1990,5,15,124,183,67
USR0000CLAS,1990,5,16,137,206,83
USR0000CLAS,1990,5,17,139,189,94
USR0000CLAS,1990,5,18,105,150,56
USR0000CLAS,1990,5,19,46,67,33
USR0000CLAS,1990,5,2,148,206,117
USR0000CLAS,1990,5,20,44,50,33
USR0000CLAS,1990,5,21,69,100,33
USR0000CLAS,1990,5,22,80,100,72
USR0000CLAS,1990,5,23,61,83,11
USR0000CLAS,1990,5,24,54,106,6
USR0000CLAS,1990,5,25,89,139,39
USR0000CLAS,1990,5,26,59,72,33
USR0000CLAS,1990,5,27,60,78,44
USR0000CLAS,1990,5,28,71,100,50
USR0000CLAS,1990,5,29,80,133,61
USR0000CLAS,1990,5,3,177,250,106
USR0000CLAS,1990,5,30,43,72,11
USR0000CLAS,1990,5,31,26,78,6
USR0000CLAS,1990,5,4,200,283,139
USR0000CLAS,1990,5,5,213,272,167
USR0000CLAS,1990,5,6,166,228,111
USR0000CLAS,1990,5,7,132,200,83
USR0000CLAS,1990,5,8,127,206,61
USR0000CLAS,1990,5,9,155,217,106
USR0000CLAS,1990,6,1,88,144,-6
USR0000CLAS,1990,6,10,137,183,83
USR0000CLAS,1990,6,11,158,206,100
USR0000CLAS,1990,6,12,138,189,72
USR0000CLAS,1990,6,13,128,183,72
USR0000CLAS,1990,6,14,152,200,72
USR0000CLAS,1990,6,15,150,206,83
USR0000CLAS,1990,6,16,123,178,78
USR0000CLAS,1990,6,17,143,206,94
USR0000CLAS,1990,6,18,155,222,100
USR0000CLAS,1990,6,19,211,278,139
USR0000CLAS,1990,6,2,144,194,106
USR0000CLAS,1990,6,20,240,306,200
USR0000CLAS,1990,6,21,241,306,194
USR0000CLAS,1990,6,22,190,244,139
USR0000CLAS,1990,6,23,184,256,128
USR0000CLAS,1990,6,24,178,244,128
USR0000CLAS,1990,6,25,175,250,128
USR0000CLAS,1990,6,26,179,250,128
USR0000CLAS,1990,6,27,164,228,117
USR0000CLAS,1990,6,28,194,261,128
USR0000CLAS,1990,6,29,204,244,150
USR0000CLAS,1990,6,3,147,189,111
USR0000CLAS,1990,6,30,-9999,-9999,-9999
USR0000CLAS,1990,6,31,-9999,-9999,-9999
USR0000CLAS,1990,6,4,150,206,83
USR0000CLAS,1990,6,5,155,206,100
USR0000CLAS,1990,6,6,133,183,100
USR0000CLAS,1990,6,7,162,239,89
USR0000CLAS,1990,6,8,188,261,139
USR0000CLAS,1990,6,9,173,239,100
USR0000CLAS,1990,7,1,-9999,-9999,-9999
USR0000CLAS,1990,7,10,262,322,183
USR0000CLAS,1990,7,11,273,333,222
USR0000CLAS,1990,7,12,281,333,222
USR0000CLAS,1990,7,13,278,339,222
USR0000CLAS,1990,7,14,285,344,228
USR0000CLAS,1990,7,15,271,333,200
USR0000CLAS,1990,7,16,240,294,189
USR0000CLAS,1990,7,17,231,289,172
USR0000CLAS,1990,7,18,250,306,178
USR0000CLAS,1990,7,19,243,283,189
USR0000CLAS,1990,7,2,-9999,-9999,-9999
USR0000CLAS,1990,7,20,259,311,189
USR0000CLAS,1990,7,21,273,328,206
USR0000CLAS,1990,7,22,262,311,194
USR0000CLAS,1990,7,23,230,283,150
USR0000CLAS,1990,7,24,189,239,128
USR0000CLAS,1990,7,25,185,239,117
USR0000CLAS,1990,7,26,218,272,139
USR0000CLAS,1990,7,27,229,278,161
USR0000CLAS,1990,7,28,-9999,-9999,-9999
USR0000CLAS,1990,7,29,-9999,-9999,-9999
USR0000CLAS,1990,7,3,184,244,111
USR0000CLAS,1990,7,30,218,256,206
USR0000CLAS,1990,7,31,255,311,167
USR0000CLAS,1990,7,4,161,211,111
USR0000CLAS,1990,7,5,156,211,111
USR0000CLAS,1990,7,6,172,228,106
USR0000CLAS,1990,7,7,210,272,161
USR0000CLAS,1990,7,8,208,272,139
USR0000CLAS,1990,7,9,213,283,144
USR0000CLAS,1990,8,1,258,322,189
USR0000CLAS,1990,8,10,250,311,206
USR0000CLAS,1990,8,11,242,300,206
USR0000CLAS,1990,8,12,229,294,183
USR0000CLAS,1990,8,13,233,294,172
USR0000CLAS,1990,8,14,204,261,150
USR0000CLAS,1990,8,15,164,228,128
USR0000CLAS,1990,8,16,150,217,100
USR0000CLAS,1990,8,17,159,217,128
USR0000CLAS,1990,8,18,132,172,72
USR0000CLAS,1990,8,19,121,167,83
USR0000CLAS,1990,8,2,243,322,178
USR0000CLAS,1990,8,20,155,189,83
USR0000CLAS,1990,8,21,166,233,100
USR0000CLAS,1990,8,22,191,272,128
USR0000CLAS,1990,8,23,204,272,156
USR0000CLAS,1990,8,24,146,206,106
USR0000CLAS,1990,8,25,103,161,72
USR0000CLAS,1990,8,26,104,133,78
USR0000CLAS,1990,8,27,140,206,83
USR0000CLAS,1990,8,28,158,228,111
USR0000CLAS,1990,8,29,164,217,122
USR0000CLAS,1990,8,3,242,322,183
USR0000CLAS,1990,8,30,153,222,89
USR0000CLAS,1990,8,31,177,256,122
USR0000CLAS,1990,8,4,243,317,189
USR0000CLAS,1990,8,5,264,344,194
USR0000CLAS,1990,8,6,305,367,228
USR0000CLAS,1990,8,7,266,333,228
USR0000CLAS,1990,8,8,248,333,156
USR0000CLAS,1990,8,9,254,328,211
USR0000CLAS,1990,9,1,175,256,128
USR0000CLAS,1990,9,10,238,322,178
USR0000CLAS,1990,9,11,207,278,156
USR0000CLAS,1990,9,12,197,267,144
USR0000CLAS,1990,9,13,193,244,128
USR0000CLAS,1990,9,14,146,206,78
USR0000CLAS,1990,9,15,136,206,72
USR0000CLAS,1990,9,16,165,233,100
USR0000CLAS,1990,9,17,185,256,117
USR0000CLAS,1990,9,18,172,244,122
USR0000CLAS,1990,9,19,199,272,111
USR0000CLAS,1990,9,2,178,250,128
USR0000CLAS,1990,9,20,215,294,150
USR0000CLAS,1990,9,21,222,311,144
USR0000CLAS,1990,9,22,167,239,128
USR0000CLAS,1990,9,23,149,211,100
USR0000CLAS,1990,9,24,136,194,83
USR0000CLAS,1990,9,25,111,167,83
USR0000CLAS,1990,9,26,107,161,72
USR0000CLAS,1990,9,27,150,228,83
USR0000CLAS,1990,9,28,209,294,139
USR0000CLAS,1990,9,29,227,289,167
USR0000CLAS,1990,9,3,170,244,122
USR0000CLAS,1990,9,30,239,306,183
USR0000CLAS,1990,9,31,-9999,-9999,-9999
USR0000CLAS,1990,9,4,175,256,122
USR0000CLAS,1990,9,5,182,267,128
USR0000CLAS,1990,9,6,192,267,150
USR0000CLAS,1990,9,7,199,267,139
USR0000CLAS,1990,9,8,203,278,139
USR0000CLAS,1990,9,9,229,300,156
USR0000CLAS,1990,10,1,201,256,139
USR0000CLAS,1990,10,10,162,228,111
USR0000CLAS,1990,10,11,157,239,111
USR0000CLAS,1990,10,12,156,222,111
USR0000CLAS,1990,10,13,147,211,100
USR0000CLAS,1990,10,14,173,228,122
USR0000CLAS,1990,10,15,148,211,94
USR0000CLAS,1990,10,16,134,189,72
USR0000CLAS,1990,10,17,143,206,100
USR0000CLAS,1990,10,18,78,122,22
USR0000CLAS,1990,10,19,71,144,22
USR0000CLAS,1990,10,2,168,239,111
USR0000CLAS,1990,10,20,142,172,100
USR0000CLAS,1990,10,21,163,189,94
USR0000CLAS,1990,10,22,128,183,83
USR0000CLAS,1990,10,23,149,217,94
USR0000CLAS,1990,10,24,181,239,139
USR0000CLAS,1990,10,25,167,222,117
USR0000CLAS,1990,10,26,174,222,106
USR0000CLAS,1990,10,27,164,217,111
USR0000CLAS,1990,10,28,138,167,83
USR0000CLAS,1990,10,29,118,161,83
USR0000CLAS,1990,10,3,187,256,122
USR0000CLAS,1990,10,30,104,150,-11
USR0000CLAS,1990,10,31,15,44,-28
USR0000CLAS,1990,10,4,196,244,156
USR0000CLAS,1990,10,5,144,206,100
USR0000CLAS,1990,10,6,123,194,72
USR0000CLAS,1990,10,7,108,178,61
USR0000CLAS,1990,10,8,157,222,83
USR0000CLAS,1990,10,9,157,233,117
USR0000CLAS,1990,11,1,-1,56,-28
USR0000CLAS,1990,11,10,172,239,122
USR0000CLAS,1990,11,11,153,217,117
USR0000CLAS,1990,11,12,161,206,111
USR0000CLAS,1990,11,13,115,150,67
USR0000CLAS,1990,11,14,40,83,6
USR0000CLAS,1990,11,15,76,106,39
USR0000CLAS,1990,11,16,88,128,56
USR0000CLAS,1990,11,17,87,133,44
USR0000CLAS,1990,11,18,57,94,33
USR0000CLAS,1990,11,19,26,61,-22
USR0000CLAS,1990,11,2,29,94,-33
