ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CLDR,1988,4,1,-9999,-9999,-9999
USR0000CLDR,1988,4,10,147,228,83
USR0000CLDR,1988,4,11,163,233,100
USR0000CLDR,1988,4,12,147,222,94
USR0000CLDR,1988,4,13,77,139,39
USR0000CLDR,1988,4,14,42,61,22
USR0000CLDR,1988,4,15,81,144,22
USR0000CLDR,1988,4,16,74,139,39
USR0000CLDR,1988,4,17,59,106,33
USR0000CLDR,1988,4,18,34,56,11
USR0000CLDR,1988,4,19,25,61,0
USR0000CLDR,1988,4,2,-9999,-9999,-9999
USR0000CLDR,1988,4,20,13,56,-6
USR0000CLDR,1988,4,21,18,61,-11
USR0000CLDR,1988,4,22,9,39,-22
USR0000CLDR,1988,4,23,33,111,-28
USR0000CLDR,1988,4,24,44,106,0
USR0000CLDR,1988,4,25,319,3172,0
USR0000CLDR,1988,4,26,84,144,39
USR0000CLDR,1988,4,27,105,161,61
USR0000CLDR,1988,4,28,81,133,44
USR0000CLDR,1988,4,29,53,100,-6
USR0000CLDR,1988,4,3,-9999,-9999,-9999
USR0000CLDR,1988,4,30,-21,22,-50
USR0000CLDR,1988,4,31,-9999,-9999,-9999
USR0000CLDR,1988,4,4,-9999,-9999,-9999
USR0000CLDR,1988,4,5,145,194,94
USR0000CLDR,1988,4,6,119,183,61
USR0000CLDR,1988,4,7,49,94,-50
USR0000CLDR,1988,4,8,46,139,-56
USR0000CLDR,1988,4,9,87,189,22
USR0000CLDR,1988,5,1,1,72,-78
USR0000CLDR,1988,5,10,141,211,72
USR0000CLDR,1988,5,11,182,267,122
USR0000CLDR,1988,5,12,129,222,28
USR0000CLDR,1988,5,13,74,156,-6
USR0000CLDR,1988,5,14,134,217,44
USR0000CLDR,1988,5,15,156,239,89
USR0000CLDR,1988,5,16,61,100,22
USR0000CLDR,1988,5,17,65,117,0
USR0000CLDR,1988,5,18,90,161,17
USR0000CLDR,1988,5,19,68,150,33
USR0000CLDR,1988,5,2,44,122,-6
USR0000CLDR,1988,5,20,-9999,-9999,-9999
USR0000CLDR,1988,5,21,-9999,-9999,-9999
USR0000CLDR,1988,5,22,-9999,-9999,-9999
USR0000CLDR,1988,5,23,-9999,-9999,-9999
USR0000CLDR,1988,5,24,-9999,-9999,-9999
USR0000CLDR,1988,5,25,-9999,-9999,-9999
USR0000CLDR,1988,5,26,-9999,-9999,-9999
USR0000CLDR,1988,5,27,-9999,-9999,-9999
USR0000CLDR,1988,5,28,-9999,-9999,-9999
USR0000CLDR,1988,5,29,-9999,-9999,-9999
USR0000CLDR,1988,5,3,54,117,-6
USR0000CLDR,1988,5,30,-9999,-9999,-9999
USR0000CLDR,1988,5,31,-9999,-9999,-9999
USR0000CLDR,1988,5,4,-2,33,-39
USR0000CLDR,1988,5,5,-11,28,-50
USR0000CLDR,1988,5,6,3,44,-22
USR0000CLDR,1988,5,7,8,33,-11
USR0000CLDR,1988,5,8,25,83,-6
USR0000CLDR,1988,5,9,68,133,-6
USR0000CLDR,1988,6,1,-9999,-9999,-9999
USR0000CLDR,1988,6,10,119,189,33
USR0000CLDR,1988,6,11,124,194,56
USR0000CLDR,1988,6,12,138,211,56
USR0000CLDR,1988,6,13,177,256,89
USR0000CLDR,1988,6,14,200,267,150
USR0000CLDR,1988,6,15,208,267,150
USR0000CLDR,1988,6,16,191,250,117
USR0000CLDR,1988,6,17,181,250,100
USR0000CLDR,1988,6,18,211,289,117
USR0000CLDR,1988,6,19,234,311,167
USR0000CLDR,1988,6,2,-9999,-9999,-9999
USR0000CLDR,1988,6,20,233,300,183
USR0000CLDR,1988,6,21,211,283,161
USR0000CLDR,1988,6,22,221,300,139
USR0000CLDR,1988,6,23,232,300,161
USR0000CLDR,1988,6,24,236,328,150
USR0000CLDR,1988,6,25,189,244,139
USR0000CLDR,1988,6,26,172,239,122
USR0000CLDR,1988,6,27,167,233,94
USR0000CLDR,1988,6,28,134,211,44
USR0000CLDR,1988,6,29,118,211,0
USR0000CLDR,1988,6,3,129,178,67
USR0000CLDR,1988,6,30,182,267,100
USR0000CLDR,1988,6,31,-9999,-9999,-9999
USR0000CLDR,1988,6,4,45,111,-11
USR0000CLDR,1988,6,5,6,50,-17
USR0000CLDR,1988,6,6,16,78,-22
USR0000CLDR,1988,6,7,22,83,-17
USR0000CLDR,1988,6,8,57,106,-17
USR0000CLDR,1988,6,9,84,144,44
USR0000CLDR,1988,7,1,186,272,94
USR0000CLDR,1988,7,10,218,289,144
USR0000CLDR,1988,7,11,183,239,128
USR0000CLDR,1988,7,12,182,267,100
USR0000CLDR,1988,7,13,196,261,128
USR0000CLDR,1988,7,14,188,261,122
USR0000CLDR,1988,7,15,194,256,117
USR0000CLDR,1988,7,16,245,306,161
USR0000CLDR,1988,7,17,228,322,128
USR0000CLDR,1988,7,18,257,333,167
USR0000CLDR,1988,7,19,272,344,200
USR0000CLDR,1988,7,2,201,272,128
USR0000CLDR,1988,7,20,283,356,222
USR0000CLDR,1988,7,21,274,356,206
USR0000CLDR,1988,7,22,263,328,189
USR0000CLDR,1988,7,23,251,328,161
USR0000CLDR,1988,7,24,242,317,183
USR0000CLDR,1988,7,25,247,300,194
USR0000CLDR,1988,7,26,212,283,172
USR0000CLDR,1988,7,27,233,306,183
USR0000CLDR,1988,7,28,237,306,172
USR0000CLDR,1988,7,29,253,344,161
USR0000CLDR,1988,7,3,196,272,139
USR0000CLDR,1988,7,30,246,333,194
USR0000CLDR,1988,7,31,241,300,183
