ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CLYO,1988,3,1,-9999,-9999,-9999
USR0000CLYO,1988,3,10,-9999,-9999,-9999
USR0000CLYO,1988,3,11,-9999,-9999,-9999
USR0000CLYO,1988,3,12,-9999,-9999,-9999
USR0000CLYO,1988,3,13,-9999,-9999,-9999
USR0000CLYO,1988,3,14,-9999,-9999,-9999
USR0000CLYO,1988,3,15,-9999,-9999,-9999
USR0000CLYO,1988,3,16,114,167,94
USR0000CLYO,1988,3,17,146,194,106
USR0000CLYO,1988,3,18,152,217,106
USR0000CLYO,1988,3,19,147,206,106
USR0000CLYO,1988,3,2,-9999,-9999,-9999
USR0000CLYO,1988,3,20,116,161,50
USR0000CLYO,1988,3,21,82,117,44
USR0000CLYO,1988,3,22,83,161,44
USR0000CLYO,1988,3,23,58,89,33
USR0000CLYO,1988,3,24,106,167,50
USR0000CLYO,1988,3,25,163,206,100
USR0000CLYO,1988,3,26,133,189,11
USR0000CLYO,1988,3,27,56,122,-6
USR0000CLYO,1988,3,28,105,150,56
USR0000CLYO,1988,3,29,78,111,33
USR0000CLYO,1988,3,3,-9999,-9999,-9999
USR0000CLYO,1988,3,30,99,156,44
USR0000CLYO,1988,3,31,141,206,72
USR0000CLYO,1988,3,4,-9999,-9999,-9999
USR0000CLYO,1988,3,5,-9999,-9999,-9999
USR0000CLYO,1988,3,6,-9999,-9999,-9999
USR0000CLYO,1988,3,7,-9999,-9999,-9999
USR0000CLYO,1988,3,8,-9999,-9999,-9999
USR0000CLYO,1988,3,9,-9999,-9999,-9999
USR0000CLYO,1988,4,1,144,200,100
USR0000CLYO,1988,4,10,193,256,139
USR0000CLYO,1988,4,11,208,278,161
USR0000CLYO,1988,4,12,161,222,94
USR0000CLYO,1988,4,13,62,94,44
USR0000CLYO,1988,4,14,68,89,44
USR0000CLYO,1988,4,15,92,139,56
USR0000CLYO,1988,4,16,78,111,50
USR0000CLYO,1988,4,17,81,122,39
USR0000CLYO,1988,4,18,75,122,56
USR0000CLYO,1988,4,19,44,61,39
USR0000CLYO,1988,4,2,129,189,78
USR0000CLYO,1988,4,20,49,94,33
USR0000CLYO,1988,4,21,44,61,28
USR0000CLYO,1988,4,22,19,39,0
USR0000CLYO,1988,4,23,65,122,6
USR0000CLYO,1988,4,24,63,128,28
USR0000CLYO,1988,4,25,110,172,33
USR0000CLYO,1988,4,26,140,200,100
USR0000CLYO,1988,4,27,128,189,56
USR0000CLYO,1988,4,28,70,111,44
USR0000CLYO,1988,4,29,51,89,6
USR0000CLYO,1988,4,3,60,83,22
USR0000CLYO,1988,4,30,13,44,-11
USR0000CLYO,1988,4,31,-9999,-9999,-9999
USR0000CLYO,1988,4,4,68,122,6
USR0000CLYO,1988,4,5,151,206,94
USR0000CLYO,1988,4,6,145,217,72
USR0000CLYO,1988,4,7,69,106,28
USR0000CLYO,1988,4,8,139,194,50
USR0000CLYO,1988,4,9,182,250,133
USR0000CLYO,1988,5,1,43,94,-17
USR0000CLYO,1988,5,10,170,244,89
USR0000CLYO,1988,5,11,192,261,133
USR0000CLYO,1988,5,12,96,161,44
USR0000CLYO,1988,5,13,96,139,39
USR0000CLYO,1988,5,14,158,217,106
USR0000CLYO,1988,5,15,152,233,61
USR0000CLYO,1988,5,16,64,94,28
USR0000CLYO,1988,5,17,69,111,11
USR0000CLYO,1988,5,18,126,172,61
USR0000CLYO,1988,5,19,208,256,150
USR0000CLYO,1988,5,2,82,133,44
USR0000CLYO,1988,5,20,249,300,211
USR0000CLYO,1988,5,21,222,283,167
USR0000CLYO,1988,5,22,171,211,139
USR0000CLYO,1988,5,23,163,211,128
USR0000CLYO,1988,5,24,171,239,122
USR0000CLYO,1988,5,25,138,200,83
USR0000CLYO,1988,5,26,88,144,61
USR0000CLYO,1988,5,27,120,189,67
USR0000CLYO,1988,5,28,58,83,17
USR0000CLYO,1988,5,29,44,89,11
USR0000CLYO,1988,5,3,59,122,11
USR0000CLYO,1988,5,30,81,133,17
USR0000CLYO,1988,5,31,102,150,67
USR0000CLYO,1988,5,4,25,72,-11
USR0000CLYO,1988,5,5,27,78,0
USR0000CLYO,1988,5,6,31,44,11
USR0000CLYO,1988,5,7,54,100,39
USR0000CLYO,1988,5,8,58,106,28
USR0000CLYO,1988,5,9,109,178,39
USR0000CLYO,1988,6,1,114,150,78
USR0000CLYO,1988,6,10,150,206,89
USR0000CLYO,1988,6,11,147,183,111
USR0000CLYO,1988,6,12,200,244,139
USR0000CLYO,1988,6,13,237,289,194
USR0000CLYO,1988,6,14,230,294,194
USR0000CLYO,1988,6,15,242,306,183
USR0000CLYO,1988,6,16,172,217,128
USR0000CLYO,1988,6,17,196,228,172
USR0000CLYO,1988,6,18,226,261,172
USR0000CLYO,1988,6,19,254,328,200
USR0000CLYO,1988,6,2,123,156,94
USR0000CLYO,1988,6,20,234,294,178
USR0000CLYO,1988,6,21,208,250,156
USR0000CLYO,1988,6,22,230,272,200
USR0000CLYO,1988,6,23,225,261,189
USR0000CLYO,1988,6,24,247,311,189
USR0000CLYO,1988,6,25,194,256,144
USR0000CLYO,1988,6,26,173,222,133
USR0000CLYO,1988,6,27,162,211,117
USR0000CLYO,1988,6,28,146,189,83
