ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CMAN,1990,6,1,-9999,-9999,-9999
USR0000CMAN,1990,6,10,-9999,-9999,-9999
USR0000CMAN,1990,6,11,-9999,-9999,-9999
USR0000CMAN,1990,6,12,-9999,-9999,-9999
USR0000CMAN,1990,6,13,-9999,-9999,-9999
USR0000CMAN,1990,6,14,-9999,-9999,-9999
USR0000CMAN,1990,6,15,-9999,-9999,-9999
USR0000CMAN,1990,6,16,-9999,-9999,-9999
USR0000CMAN,1990,6,17,-9999,-9999,-9999
USR0000CMAN,1990,6,18,134,233,50
USR0000CMAN,1990,6,19,190,300,44
USR0000CMAN,1990,6,2,-9999,-9999,-9999
USR0000CMAN,1990,6,20,194,306,89
USR0000CMAN,1990,6,21,192,294,72
USR0000CMAN,1990,6,22,152,250,22
USR0000CMAN,1990,6,23,134,256,-6
USR0000CMAN,1990,6,24,129,250,0
USR0000CMAN,1990,6,25,101,250,-28
USR0000CMAN,1990,6,26,141,250,-11
USR0000CMAN,1990,6,27,114,222,-22
USR0000CMAN,1990,6,28,121,250,11
USR0000CMAN,1990,6,29,148,261,22
USR0000CMAN,1990,6,3,-9999,-9999,-9999
USR0000CMAN,1990,6,30,171,261,22
USR0000CMAN,1990,6,31,-9999,-9999,-9999
USR0000CMAN,1990,6,4,-9999,-9999,-9999
USR0000CMAN,1990,6,5,-9999,-9999,-9999
USR0000CMAN,1990,6,6,-9999,-9999,-9999
USR0000CMAN,1990,6,7,-9999,-9999,-9999
USR0000CMAN,1990,6,8,-9999,-9999,-9999
USR0000CMAN,1990,6,9,-9999,-9999,-9999
USR0000CMAN,1990,7,1,189,250,94
USR0000CMAN,1990,7,10,193,317,44
USR0000CMAN,1990,7,11,216,317,94
USR0000CMAN,1990,7,12,216,322,100
USR0000CMAN,1990,7,13,214,328,111
USR0000CMAN,1990,7,14,197,311,117
USR0000CMAN,1990,7,15,208,328,111
USR0000CMAN,1990,7,16,178,294,94
USR0000CMAN,1990,7,17,182,283,94
USR0000CMAN,1990,7,18,177,283,72
USR0000CMAN,1990,7,19,184,267,106
USR0000CMAN,1990,7,2,108,194,-17
USR0000CMAN,1990,7,20,188,289,83
USR0000CMAN,1990,7,21,199,306,100
USR0000CMAN,1990,7,22,181,294,67
USR0000CMAN,1990,7,23,157,256,28
USR0000CMAN,1990,7,24,129,228,33
USR0000CMAN,1990,7,25,123,228,22
USR0000CMAN,1990,7,26,149,261,22
USR0000CMAN,1990,7,27,182,289,72
USR0000CMAN,1990,7,28,178,306,78
USR0000CMAN,1990,7,29,184,300,67
USR0000CMAN,1990,7,3,103,239,-39
USR0000CMAN,1990,7,30,184,289,50
USR0000CMAN,1990,7,31,189,294,67
USR0000CMAN,1990,7,4,126,217,17
USR0000CMAN,1990,7,5,122,200,11
USR0000CMAN,1990,7,6,113,228,-17
USR0000CMAN,1990,7,7,157,267,28
USR0000CMAN,1990,7,8,144,261,22
USR0000CMAN,1990,7,9,158,278,17
USR0000CMAN,1990,8,1,188,300,83
USR0000CMAN,1990,8,10,173,283,72
USR0000CMAN,1990,8,11,166,278,72
USR0000CMAN,1990,8,12,151,283,44
USR0000CMAN,1990,8,13,149,278,22
USR0000CMAN,1990,8,14,131,250,50
USR0000CMAN,1990,8,15,124,228,22
USR0000CMAN,1990,8,16,109,200,17
USR0000CMAN,1990,8,17,128,194,89
USR0000CMAN,1990,8,18,93,156,44
USR0000CMAN,1990,8,19,77,194,6
USR0000CMAN,1990,8,2,190,311,72
USR0000CMAN,1990,8,20,84,172,0
USR0000CMAN,1990,8,21,103,200,22
USR0000CMAN,1990,8,22,134,261,39
USR0000CMAN,1990,8,23,153,244,28
USR0000CMAN,1990,8,24,106,194,22
USR0000CMAN,1990,8,25,81,139,28
USR0000CMAN,1990,8,26,78,122,22
USR0000CMAN,1990,8,27,80,161,0
USR0000CMAN,1990,8,28,103,222,-6
USR0000CMAN,1990,8,29,119,206,22
USR0000CMAN,1990,8,3,188,311,72
USR0000CMAN,1990,8,30,97,217,6
USR0000CMAN,1990,8,31,117,256,0
USR0000CMAN,1990,8,4,178,300,61
USR0000CMAN,1990,8,5,185,328,39
USR0000CMAN,1990,8,6,227,356,83
USR0000CMAN,1990,8,7,223,328,144
USR0000CMAN,1990,8,8,196,322,106
USR0000CMAN,1990,8,9,169,300,83
USR0000CMAN,1990,9,1,115,244,11
USR0000CMAN,1990,9,10,188,294,33
USR0000CMAN,1990,9,11,121,272,11
USR0000CMAN,1990,9,12,104,239,-6
USR0000CMAN,1990,9,13,109,244,-28
USR0000CMAN,1990,9,14,112,194,-11
USR0000CMAN,1990,9,15,76,189,-22
USR0000CMAN,1990,9,16,93,217,-11
USR0000CMAN,1990,9,17,101,228,22
USR0000CMAN,1990,9,18,111,233,0
USR0000CMAN,1990,9,19,123,250,28
USR0000CMAN,1990,9,2,119,244,11
USR0000CMAN,1990,9,20,157,256,28
USR0000CMAN,1990,9,21,157,289,17
USR0000CMAN,1990,9,22,116,250,22
USR0000CMAN,1990,9,23,81,217,28
USR0000CMAN,1990,9,24,92,172,22
USR0000CMAN,1990,9,25,68,122,22
USR0000CMAN,1990,9,26,75,139,28
USR0000CMAN,1990,9,27,109,194,39
USR0000CMAN,1990,9,28,146,244,50
USR0000CMAN,1990,9,29,167,272,78
USR0000CMAN,1990,9,3,113,233,-17
USR0000CMAN,1990,9,30,153,283,28
