ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CMIL,1989,4,1,-9999,-9999,-9999
USR0000CMIL,1989,4,10,-9999,-9999,-9999
USR0000CMIL,1989,4,11,-9999,-9999,-9999
USR0000CMIL,1989,4,12,-9999,-9999,-9999
USR0000CMIL,1989,4,13,-9999,-9999,-9999
USR0000CMIL,1989,4,14,-9999,-9999,-9999
USR0000CMIL,1989,4,15,-9999,-9999,-9999
USR0000CMIL,1989,4,16,-9999,-9999,-9999
USR0000CMIL,1989,4,17,-9999,-9999,-9999
USR0000CMIL,1989,4,18,-9999,-9999,-9999
USR0000CMIL,1989,4,19,-9999,-9999,-9999
USR0000CMIL,1989,4,2,-9999,-9999,-9999
USR0000CMIL,1989,4,20,-9999,-9999,-9999
USR0000CMIL,1989,4,21,111,167,69
USR0000CMIL,1989,4,22,85,143,41
USR0000CMIL,1989,4,23,57,96,-29
USR0000CMIL,1989,4,24,-9999,-9999,-9999
USR0000CMIL,1989,4,25,-9999,-9999,-9999
USR0000CMIL,1989,4,26,-9999,-9999,-9999
USR0000CMIL,1989,4,27,-9999,-9999,-9999
USR0000CMIL,1989,4,28,-9999,-9999,-9999
USR0000CMIL,1989,4,29,-9999,-9999,-9999
USR0000CMIL,1989,4,3,-9999,-9999,-9999
USR0000CMIL,1989,4,30,-9999,-9999,-9999
USR0000CMIL,1989,4,31,-9999,-9999,-9999
USR0000CMIL,1989,4,4,-9999,-9999,-9999
USR0000CMIL,1989,4,5,182,186,178
USR0000CMIL,1989,4,6,193,210,171
USR0000CMIL,1989,4,7,201,241,163
USR0000CMIL,1989,4,8,194,222,182
USR0000CMIL,1989,4,9,-9999,-9999,-9999
USR0000CMIL,1989,5,1,-9999,-9999,-9999
USR0000CMIL,1989,5,10,-9999,-9999,-9999
USR0000CMIL,1989,5,11,-9999,-9999,-9999
USR0000CMIL,1989,5,12,-9999,-9999,-9999
USR0000CMIL,1989,5,13,-9999,-9999,-9999
USR0000CMIL,1989,5,14,-9999,-9999,-9999
USR0000CMIL,1989,5,15,-9999,-9999,-9999
USR0000CMIL,1989,5,16,-9999,-9999,-9999
USR0000CMIL,1989,5,17,-9999,-9999,-9999
USR0000CMIL,1989,5,18,111,198,-159
USR0000CMIL,1989,5,19,166,241,96
USR0000CMIL,1989,5,2,-9999,-9999,-9999
USR0000CMIL,1989,5,20,172,226,131
USR0000CMIL,1989,5,21,172,218,127
USR0000CMIL,1989,5,22,159,198,123
USR0000CMIL,1989,5,23,141,186,88
USR0000CMIL,1989,5,24,132,206,69
USR0000CMIL,1989,5,25,136,210,69
USR0000CMIL,1989,5,26,167,233,96
USR0000CMIL,1989,5,27,145,194,96
USR0000CMIL,1989,5,28,124,171,73
USR0000CMIL,1989,5,29,107,139,61
USR0000CMIL,1989,5,3,-9999,-9999,-9999
USR0000CMIL,1989,5,30,-9999,-9999,-9999
USR0000CMIL,1989,5,31,-9999,-9999,-9999
USR0000CMIL,1989,5,4,-9999,-9999,-9999
USR0000CMIL,1989,5,5,-9999,-9999,-9999
USR0000CMIL,1989,5,6,-9999,-9999,-9999
USR0000CMIL,1989,5,7,-9999,-9999,-9999
USR0000CMIL,1989,5,8,-9999,-9999,-9999
USR0000CMIL,1989,5,9,-9999,-9999,-9999
USR0000CMIL,1990,3,1,-9999,-9999,-9999
USR0000CMIL,1990,3,10,-9999,-9999,-9999
USR0000CMIL,1990,3,11,-9999,-9999,-9999
USR0000CMIL,1990,3,12,-41,-29,-61
USR0000CMIL,1990,3,13,-7,41,-53
USR0000CMIL,1990,3,14,2,108,-29
USR0000CMIL,1990,3,15,109,155,18
USR0000CMIL,1990,3,16,118,163,53
USR0000CMIL,1990,3,17,138,194,64
USR0000CMIL,1990,3,18,149,222,22
USR0000CMIL,1990,3,19,166,210,139
USR0000CMIL,1990,3,2,-9999,-9999,-9999
USR0000CMIL,1990,3,20,170,226,119
USR0000CMIL,1990,3,21,-9999,-9999,-9999
USR0000CMIL,1990,3,22,183,202,127
USR0000CMIL,1990,3,23,-9999,-9999,-9999
