ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000COAK,1988,12,1,-9999,-9999,-9999
USR0000COAK,1988,12,10,-9999,-9999,-9999
USR0000COAK,1988,12,11,-9999,-9999,-9999
USR0000COAK,1988,12,12,-9999,-9999,-9999
USR0000COAK,1988,12,13,-9999,-9999,-9999
USR0000COAK,1988,12,14,-9999,-9999,-9999
USR0000COAK,1988,12,15,-9999,-9999,-9999
USR0000COAK,1988,12,16,-9999,-9999,-9999
USR0000COAK,1988,12,17,-9999,-9999,-9999
USR0000COAK,1988,12,18,-9999,-9999,-9999
USR0000COAK,1988,12,19,-9999,-9999,-9999
USR0000COAK,1988,12,2,-9999,-9999,-9999
USR0000COAK,1988,12,20,-9999,-9999,-9999
USR0000COAK,1988,12,21,-9999,-9999,-9999
USR0000COAK,1988,12,22,-9999,-9999,-9999
USR0000COAK,1988,12,23,-9999,-9999,-9999
USR0000COAK,1988,12,24,-9999,-9999,-9999
USR0000COAK,1988,12,25,-9999,-9999,-9999
USR0000COAK,1988,12,26,-9999,-9999,-9999
USR0000COAK,1988,12,27,-9999,-9999,-9999
USR0000COAK,1988,12,28,-9999,-9999,-9999
USR0000COAK,1988,12,29,-9999,-9999,-9999
USR0000COAK,1988,12,3,-9999,-9999,-9999
USR0000COAK,1988,12,30,16,39,0
USR0000COAK,1988,12,31,12,67,-33
USR0000COAK,1988,12,4,-9999,-9999,-9999
USR0000COAK,1988,12,5,-9999,-9999,-9999
USR0000COAK,1988,12,6,-9999,-9999,-9999
USR0000COAK,1988,12,7,-9999,-9999,-9999
USR0000COAK,1988,12,8,-9999,-9999,-9999
USR0000COAK,1988,12,9,-9999,-9999,-9999
USR0000COAK,1989,1,1,0,61,-39
USR0000COAK,1989,1,10,42,83,11
USR0000COAK,1989,1,11,14,94,-33
USR0000COAK,1989,1,12,-2,67,-44
USR0000COAK,1989,1,13,-24,28,-56
USR0000COAK,1989,1,14,-7,56,-61
USR0000COAK,1989,1,15,15,56,-6
USR0000COAK,1989,1,16,31,89,6
USR0000COAK,1989,1,17,36,72,17
USR0000COAK,1989,1,18,27,61,-6
USR0000COAK,1989,1,19,20,78,-11
USR0000COAK,1989,1,2,14,44,-17
USR0000COAK,1989,1,20,14,83,-17
USR0000COAK,1989,1,21,21,56,-11
USR0000COAK,1989,1,22,24,72,-22
USR0000COAK,1989,1,23,-12,50,-56
