ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000COWE,1989,9,1,-9999,-9999,-9999
USR0000COWE,1989,9,10,-9999,-9999,-9999
USR0000COWE,1989,9,11,-9999,-9999,-9999
USR0000COWE,1989,9,12,-9999,-9999,-9999
USR0000COWE,1989,9,13,-9999,-9999,-9999
USR0000COWE,1989,9,14,-9999,-9999,-9999
USR0000COWE,1989,9,15,-9999,-9999,-9999
USR0000COWE,1989,9,16,-9999,-9999,-9999
USR0000COWE,1989,9,17,-9999,-9999,-9999
USR0000COWE,1989,9,18,-9999,-9999,-9999
USR0000COWE,1989,9,19,-9999,-9999,-9999
USR0000COWE,1989,9,2,-9999,-9999,-9999
USR0000COWE,1989,9,20,-9999,-9999,-9999
USR0000COWE,1989,9,21,-9999,-9999,-9999
USR0000COWE,1989,9,22,-9999,-9999,-9999
USR0000COWE,1989,9,23,-9999,-9999,-9999
USR0000COWE,1989,9,24,-9999,-9999,-9999
USR0000COWE,1989,9,25,138,222,72
USR0000COWE,1989,9,26,128,228,44
USR0000COWE,1989,9,27,132,228,56
USR0000COWE,1989,9,28,131,239,61
USR0000COWE,1989,9,29,94,133,61
USR0000COWE,1989,9,3,-9999,-9999,-9999
USR0000COWE,1989,9,30,90,161,22
USR0000COWE,1989,9,31,-9999,-9999,-9999
USR0000COWE,1989,9,4,-9999,-9999,-9999
USR0000COWE,1989,9,5,-9999,-9999,-9999
USR0000COWE,1989,9,6,-9999,-9999,-9999
USR0000COWE,1989,9,7,-9999,-9999,-9999
USR0000COWE,1989,9,8,-9999,-9999,-9999
USR0000COWE,1989,9,9,-9999,-9999,-9999
USR0000COWE,1989,10,1,100,183,28
USR0000COWE,1989,10,10,131,233,56
USR0000COWE,1989,10,11,119,239,39
USR0000COWE,1989,10,12,157,233,61
USR0000COWE,1989,10,13,118,228,39
USR0000COWE,1989,10,14,97,200,39
USR0000COWE,1989,10,15,86,178,11
USR0000COWE,1989,10,16,108,206,33
USR0000COWE,1989,10,17,128,233,50
USR0000COWE,1989,10,18,127,233,50
USR0000COWE,1989,10,19,128,239,56
USR0000COWE,1989,10,2,63,144,28
USR0000COWE,1989,10,20,101,200,39
USR0000COWE,1989,10,21,71,100,50
USR0000COWE,1989,10,22,72,122,28
USR0000COWE,1989,10,23,76,100,39
USR0000COWE,1989,10,24,16,44,0
USR0000COWE,1989,10,25,11,67,-28
USR0000COWE,1989,10,26,14,122,-56
USR0000COWE,1989,10,27,22,83,-17
USR0000COWE,1989,10,28,36,111,-17
USR0000COWE,1989,10,29,40,161,-39
USR0000COWE,1989,10,3,58,133,0
USR0000COWE,1989,10,30,44,156,-28
USR0000COWE,1989,10,31,62,189,-11
USR0000COWE,1989,10,4,84,194,0
USR0000COWE,1989,10,5,96,194,11
USR0000COWE,1989,10,6,101,200,17
USR0000COWE,1989,10,7,126,256,39
USR0000COWE,1989,10,8,130,233,44
USR0000COWE,1989,10,9,143,256,56
USR0000COWE,1989,11,1,63,172,0
USR0000COWE,1989,11,10,123,228,39
USR0000COWE,1989,11,11,106,222,39
USR0000COWE,1989,11,12,82,194,11
USR0000COWE,1989,11,13,79,178,0
USR0000COWE,1989,11,14,114,194,33
USR0000COWE,1989,11,15,71,161,22
USR0000COWE,1989,11,16,80,194,6
USR0000COWE,1989,11,17,82,178,11
USR0000COWE,1989,11,18,79,194,11
USR0000COWE,1989,11,19,92,211,17
USR0000COWE,1989,11,2,71,194,-11
USR0000COWE,1989,11,20,81,189,11
USR0000COWE,1989,11,21,66,167,-6
USR0000COWE,1989,11,22,63,156,-6
USR0000COWE,1989,11,23,52,139,-6
USR0000COWE,1989,11,24,21,39,6
USR0000COWE,1989,11,25,13,33,0
USR0000COWE,1989,11,26,-18,39,-67
USR0000COWE,1989,11,27,-6,94,-67
USR0000COWE,1989,11,28,10,117,-50
USR0000COWE,1989,11,29,34,161,-28
USR0000COWE,1989,11,3,88,217,6
USR0000COWE,1989,11,30,24,144,-44
USR0000COWE,1989,11,31,-9999,-9999,-9999
USR0000COWE,1989,11,4,87,200,11
USR0000COWE,1989,11,5,60,172,-6
USR0000COWE,1989,11,6,42,133,-17
USR0000COWE,1989,11,7,39,133,-17
USR0000COWE,1989,11,8,63,183,-6
USR0000COWE,1989,11,9,88,211,11
USR0000COWE,1989,12,1,48,183,-22
USR0000COWE,1989,12,10,27,133,-28
USR0000COWE,1989,12,11,32,156,-28
USR0000COWE,1989,12,12,14,117,-44
USR0000COWE,1989,12,13,53,172,-11
USR0000COWE,1989,12,14,50,161,-22
USR0000COWE,1989,12,15,59,156,6
USR0000COWE,1989,12,16,59,150,-6
USR0000COWE,1989,12,17,27,128,-28
USR0000COWE,1989,12,18,12,100,-39
USR0000COWE,1989,12,19,21,111,-28
USR0000COWE,1989,12,2,48,189,-22
USR0000COWE,1989,12,20,29,122,-33
USR0000COWE,1989,12,21,47,161,-11
USR0000COWE,1989,12,22,49,161,-17
USR0000COWE,1989,12,23,73,200,0
USR0000COWE,1989,12,24,67,189,6
USR0000COWE,1989,12,25,61,178,-6
USR0000COWE,1989,12,26,54,156,0
USR0000COWE,1989,12,27,37,150,-17
USR0000COWE,1989,12,28,16,100,-39
USR0000COWE,1989,12,29,36,89,0
USR0000COWE,1989,12,3,62,194,0
USR0000COWE,1989,12,30,59,167,-11
USR0000COWE,1989,12,31,34,150,-17
USR0000COWE,1989,12,4,72,194,11
USR0000COWE,1989,12,5,58,150,0
USR0000COWE,1989,12,6,59,167,-11
USR0000COWE,1989,12,7,51,183,0
USR0000COWE,1989,12,8,52,167,-6
USR0000COWE,1989,12,9,54,156,-6
USR0000COWE,1990,1,1,-17,17,-33
USR0000COWE,1990,1,10,71,167,28
USR0000COWE,1990,1,11,83,189,17
USR0000COWE,1990,1,12,53,106,6
USR0000COWE,1990,1,13,11,50,0
USR0000COWE,1990,1,14,-2,22,-17
USR0000COWE,1990,1,15,-4,72,-61
USR0000COWE,1990,1,16,-42,-6,-100
USR0000COWE,1990,1,17,-24,56,-100
USR0000COWE,1990,1,18,3,78,-78
USR0000COWE,1990,1,19,-26,78,-106
USR0000COWE,1990,1,2,-12,39,-56
USR0000COWE,1990,1,20,3,144,-89
USR0000COWE,1990,1,21,39,172,-33
USR0000COWE,1990,1,22,23,128,-39
USR0000COWE,1990,1,23,40,144,-28
USR0000COWE,1990,1,24,44,172,-17
USR0000COWE,1990,1,25,39,156,-17
USR0000COWE,1990,1,26,5,39,-44
USR0000COWE,1990,1,27,-1,106,-72
USR0000COWE,1990,1,28,18,111,-50
USR0000COWE,1990,1,29,25,111,-33
USR0000COWE,1990,1,3,-11,89,-83
USR0000COWE,1990,1,30,-8,11,-28
USR0000COWE,1990,1,31,-14,67,-67
USR0000COWE,1990,1,4,3,106,-67
USR0000COWE,1990,1,5,24,156,-56
USR0000COWE,1990,1,6,29,122,-28
USR0000COWE,1990,1,7,34,56,6
USR0000COWE,1990,1,8,54,117,-6
USR0000COWE,1990,1,9,53,189,-11
USR0000COWE,1990,2,1,-16,28,-61
USR0000COWE,1990,2,10,69,183,-11
USR0000COWE,1990,2,11,63,183,-6
USR0000COWE,1990,2,12,28,111,-33
USR0000COWE,1990,2,13,-61,-17,-128
USR0000COWE,1990,2,14,-75,-6,-139
USR0000COWE,1990,2,15,-48,44,-133
USR0000COWE,1990,2,16,-44,-28,-61
USR0000COWE,1990,2,17,-48,-17,-72
USR0000COWE,1990,2,18,-53,28,-128
USR0000COWE,1990,2,19,-18,94,-117
USR0000COWE,1990,2,2,-10,106,-89
USR0000COWE,1990,2,20,6,111,-83
USR0000COWE,1990,2,21,54,150,-17
USR0000COWE,1990,2,22,74,206,-6
USR0000COWE,1990,2,23,64,200,-11
USR0000COWE,1990,2,24,68,183,6
USR0000COWE,1990,2,25,97,144,33
USR0000COWE,1990,2,26,72,211,11
USR0000COWE,1990,2,27,62,200,0
USR0000COWE,1990,2,28,69,189,0
USR0000COWE,1990,2,29,-9999,-9999,-9999
USR0000COWE,1990,2,3,10,122,-50
USR0000COWE,1990,2,30,-9999,-9999,-9999
USR0000COWE,1990,2,31,-9999,-9999,-9999
USR0000COWE,1990,2,4,-14,56,-72
USR0000COWE,1990,2,5,-13,83,-100
USR0000COWE,1990,2,6,-25,0,-89
USR0000COWE,1990,2,7,-76,22,-139
USR0000COWE,1990,2,8,-7,56,-100
USR0000COWE,1990,2,9,7,111,-61
USR0000COWE,1990,3,1,47,111,0
USR0000COWE,1990,3,10,-12,28,-39
USR0000COWE,1990,3,11,-38,11,-61
USR0000COWE,1990,3,12,-46,11,-100
USR0000COWE,1990,3,13,-31,78,-128
USR0000COWE,1990,3,14,18,83,-33
USR0000COWE,1990,3,15,79,161,-22
USR0000COWE,1990,3,16,76,167,11
USR0000COWE,1990,3,17,84,172,22
USR0000COWE,1990,3,18,77,172,0
USR0000COWE,1990,3,19,76,189,0
USR0000COWE,1990,3,2,40,89,22
USR0000COWE,1990,3,20,85,194,-6
USR0000COWE,1990,3,21,91,189,6
USR0000COWE,1990,3,22,83,178,11
USR0000COWE,1990,3,23,84,189,-6
USR0000COWE,1990,3,24,85,189,6
USR0000COWE,1990,3,25,72,172,0
USR0000COWE,1990,3,26,62,161,-17
USR0000COWE,1990,3,27,66,161,-11
USR0000COWE,1990,3,28,56,139,-17
USR0000COWE,1990,3,29,48,150,-22
USR0000COWE,1990,3,3,42,106,-6
USR0000COWE,1990,3,30,69,172,-17
USR0000COWE,1990,3,31,85,178,-17
USR0000COWE,1990,3,4,1,67,-33
USR0000COWE,1990,3,5,4,94,-83
USR0000COWE,1990,3,6,47,167,-33
USR0000COWE,1990,3,7,61,161,-6
USR0000COWE,1990,3,8,38,128,-22
USR0000COWE,1990,3,9,36,122,-33
USR0000COWE,1990,4,1,81,178,0
USR0000COWE,1990,4,10,96,211,17
USR0000COWE,1990,4,11,94,194,17
USR0000COWE,1990,4,12,118,239,22
USR0000COWE,1990,4,13,146,256,50
USR0000COWE,1990,4,14,138,239,50
USR0000COWE,1990,4,15,113,194,44
USR0000COWE,1990,4,16,43,83,6
USR0000COWE,1990,4,17,54,100,17
USR0000COWE,1990,4,18,88,156,44
USR0000COWE,1990,4,19,79,133,39
USR0000COWE,1990,4,2,91,200,0
USR0000COWE,1990,4,20,76,133,33
USR0000COWE,1990,4,21,61,117,11
USR0000COWE,1990,4,22,66,144,11
USR0000COWE,1990,4,23,42,72,6
USR0000COWE,1990,4,24,65,144,-6
USR0000COWE,1990,4,25,94,194,11
USR0000COWE,1990,4,26,122,217,22
USR0000COWE,1990,4,27,131,217,56
USR0000COWE,1990,4,28,93,172,6
USR0000COWE,1990,4,29,51,122,-17
USR0000COWE,1990,4,3,103,217,22
USR0000COWE,1990,4,30,69,133,11
USR0000COWE,1990,4,31,-9999,-9999,-9999
USR0000COWE,1990,4,4,89,200,17
USR0000COWE,1990,4,5,83,161,11
USR0000COWE,1990,4,6,68,156,22
USR0000COWE,1990,4,7,46,139,6
USR0000COWE,1990,4,8,49,100,6
USR0000COWE,1990,4,9,83,183,-11
USR0000COWE,1990,5,1,111,194,39
USR0000COWE,1990,5,10,94,156,39
USR0000COWE,1990,5,11,86,139,28
USR0000COWE,1990,5,12,93,183,6
USR0000COWE,1990,5,13,99,189,6
USR0000COWE,1990,5,14,74,167,22
USR0000COWE,1990,5,15,101,183,6
USR0000COWE,1990,5,16,117,222,22
USR0000COWE,1990,5,17,103,200,17
USR0000COWE,1990,5,18,84,178,0
USR0000COWE,1990,5,19,66,139,0
USR0000COWE,1990,5,2,123,211,39
USR0000COWE,1990,5,20,74,117,33
USR0000COWE,1990,5,21,104,183,56
USR0000COWE,1990,5,22,104,194,28
USR0000COWE,1990,5,23,37,89,6
USR0000COWE,1990,5,24,55,122,-17
USR0000COWE,1990,5,25,87,172,0
USR0000COWE,1990,5,26,84,122,44
USR0000COWE,1990,5,27,71,94,50
USR0000COWE,1990,5,28,58,78,33
USR0000COWE,1990,5,29,93,150,56
USR0000COWE,1990,5,3,155,233,72
USR0000COWE,1990,5,30,56,83,39
USR0000COWE,1990,5,31,34,89,-6
USR0000COWE,1990,5,4,179,278,94
USR0000COWE,1990,5,5,168,272,67
USR0000COWE,1990,5,6,144,244,50
USR0000COWE,1990,5,7,128,239,33
USR0000COWE,1990,5,8,122,228,17
USR0000COWE,1990,5,9,122,206,33
USR0000COWE,1990,6,1,75,156,-22
USR0000COWE,1990,6,10,121,206,61
USR0000COWE,1990,6,11,31,33,28
USR0000COWE,1990,6,12,47,50,44
USR0000COWE,1990,6,13,-9999,-9999,-9999
USR0000COWE,1990,6,14,67,67,67
USR0000COWE,1990,6,15,84,133,44
USR0000COWE,1990,6,16,83,183,39
USR0000COWE,1990,6,17,140,222,56
USR0000COWE,1990,6,18,119,194,50
USR0000COWE,1990,6,19,186,272,67
USR0000COWE,1990,6,2,118,217,28
USR0000COWE,1990,6,20,144,156,133
USR0000COWE,1990,6,21,279,322,144
USR0000COWE,1990,6,22,114,128,100
USR0000COWE,1990,6,23,182,239,100
USR0000COWE,1990,6,24,117,117,117
USR0000COWE,1990,6,25,206,256,94
USR0000COWE,1990,6,26,177,283,67
USR0000COWE,1990,6,27,164,261,72
USR0000COWE,1990,6,28,175,272,67
USR0000COWE,1990,6,29,183,289,89
USR0000COWE,1990,6,3,150,239,50
USR0000COWE,1990,6,30,194,300,94
USR0000COWE,1990,6,31,-9999,-9999,-9999
USR0000COWE,1990,6,4,118,244,50
USR0000COWE,1990,6,5,143,222,44
USR0000COWE,1990,6,6,128,183,67
USR0000COWE,1990,6,7,201,250,56
USR0000COWE,1990,6,8,174,289,100
USR0000COWE,1990,6,9,100,100,100
USR0000COWE,1990,7,1,174,261,111
USR0000COWE,1990,7,10,183,294,117
USR0000COWE,1990,7,11,211,300,122
USR0000COWE,1990,7,12,242,333,172
USR0000COWE,1990,7,13,249,317,183
USR0000COWE,1990,7,14,228,317,156
USR0000COWE,1990,7,15,210,306,150
USR0000COWE,1990,7,16,214,294,144
USR0000COWE,1990,7,17,210,294,133
USR0000COWE,1990,7,18,203,289,133
USR0000COWE,1990,7,19,194,278,128
USR0000COWE,1990,7,2,154,239,78
USR0000COWE,1990,7,20,211,300,117
USR0000COWE,1990,7,21,208,311,100
USR0000COWE,1990,7,22,210,300,128
USR0000COWE,1990,7,23,201,300,106
USR0000COWE,1990,7,24,173,267,83
USR0000COWE,1990,7,25,164,267,61
USR0000COWE,1990,7,26,171,267,67
USR0000COWE,1990,7,27,192,283,106
USR0000COWE,1990,7,28,206,300,111
USR0000COWE,1990,7,29,209,300,122
USR0000COWE,1990,7,3,153,244,61
USR0000COWE,1990,7,30,201,294,111
USR0000COWE,1990,7,31,207,294,100
USR0000COWE,1990,7,4,153,250,61
USR0000COWE,1990,7,5,150,239,61
USR0000COWE,1990,7,6,153,239,50
USR0000COWE,1990,7,7,163,250,56
USR0000COWE,1990,7,8,173,261,83
USR0000COWE,1990,7,9,187,278,83
USR0000COWE,1990,8,1,198,294,100
USR0000COWE,1990,8,10,222,311,144
USR0000COWE,1990,8,11,215,311,133
USR0000COWE,1990,8,12,214,322,128
USR0000COWE,1990,8,13,211,306,122
USR0000COWE,1990,8,14,194,283,122
USR0000COWE,1990,8,15,166,250,89
USR0000COWE,1990,8,16,146,244,56
USR0000COWE,1990,8,17,146,239,72
USR0000COWE,1990,8,18,132,206,67
USR0000COWE,1990,8,19,98,172,50
USR0000COWE,1990,8,2,208,300,122
USR0000COWE,1990,8,20,111,172,33
USR0000COWE,1990,8,21,133,211,44
USR0000COWE,1990,8,22,167,261,78
USR0000COWE,1990,8,23,172,261,89
USR0000COWE,1990,8,24,146,233,56
USR0000COWE,1990,8,25,104,194,33
USR0000COWE,1990,8,26,117,194,56
USR0000COWE,1990,8,27,139,244,39
USR0000COWE,1990,8,28,156,261,56
USR0000COWE,1990,8,29,167,278,72
USR0000COWE,1990,8,3,212,300,122
USR0000COWE,1990,8,30,140,250,67
USR0000COWE,1990,8,31,147,250,67
USR0000COWE,1990,8,4,222,317,128
USR0000COWE,1990,8,5,229,339,133
USR0000COWE,1990,8,6,244,344,167
USR0000COWE,1990,8,7,205,333,128
USR0000COWE,1990,8,8,200,306,128
USR0000COWE,1990,8,9,231,328,133
USR0000COWE,1990,9,1,161,261,78
USR0000COWE,1990,9,10,196,306,111
USR0000COWE,1990,9,11,191,311,106
USR0000COWE,1990,9,12,176,289,89
USR0000COWE,1990,9,13,177,306,72
USR0000COWE,1990,9,14,142,250,61
USR0000COWE,1990,9,15,124,222,44
USR0000COWE,1990,9,16,123,228,28
USR0000COWE,1990,9,17,141,222,67
USR0000COWE,1990,9,18,136,233,67
USR0000COWE,1990,9,19,152,256,72
USR0000COWE,1990,9,2,161,289,56
USR0000COWE,1990,9,20,156,256,56
USR0000COWE,1990,9,21,164,267,83
USR0000COWE,1990,9,22,122,194,67
USR0000COWE,1990,9,23,95,217,44
USR0000COWE,1990,9,24,83,172,33
USR0000COWE,1990,9,25,98,139,56
USR0000COWE,1990,9,26,109,161,72
USR0000COWE,1990,9,27,116,200,50
USR0000COWE,1990,9,28,152,239,72
USR0000COWE,1990,9,29,156,261,72
USR0000COWE,1990,9,3,157,267,72
USR0000COWE,1990,9,30,169,289,78
USR0000COWE,1990,9,31,-9999,-9999,-9999
USR0000COWE,1990,9,4,167,283,61
USR0000COWE,1990,9,5,181,283,94
USR0000COWE,1990,9,6,183,289,94
USR0000COWE,1990,9,7,179,278,106
USR0000COWE,1990,9,8,172,278,83
USR0000COWE,1990,9,9,191,300,94
USR0000COWE,1990,10,1,164,272,83
USR0000COWE,1990,10,10,116,222,33
USR0000COWE,1990,10,11,112,244,33
USR0000COWE,1990,10,12,117,233,17
USR0000COWE,1990,10,13,121,228,44
USR0000COWE,1990,10,14,132,244,50
USR0000COWE,1990,10,15,114,233,44
USR0000COWE,1990,10,16,115,211,44
USR0000COWE,1990,10,17,117,233,22
USR0000COWE,1990,10,18,77,144,44
USR0000COWE,1990,10,19,74,133,28
USR0000COWE,1990,10,2,146,244,72
USR0000COWE,1990,10,20,68,172,-17
USR0000COWE,1990,10,21,92,194,22
USR0000COWE,1990,10,22,99,200,33
USR0000COWE,1990,10,23,113,233,17
USR0000COWE,1990,10,24,138,272,56
USR0000COWE,1990,10,25,126,250,56
USR0000COWE,1990,10,26,102,228,33
USR0000COWE,1990,10,27,118,244,39
USR0000COWE,1990,10,28,109,217,33
USR0000COWE,1990,10,29,89,200,28
USR0000COWE,1990,10,3,177,294,83
USR0000COWE,1990,10,30,86,206,17
USR0000COWE,1990,10,31,46,72,17
USR0000COWE,1990,10,4,166,272,89
USR0000COWE,1990,10,5,126,233,67
USR0000COWE,1990,10,6,111,194,44
USR0000COWE,1990,10,7,95,183,22
USR0000COWE,1990,10,8,104,217,6
USR0000COWE,1990,10,9,115,222,28
USR0000COWE,1990,11,1,17,67,-11
USR0000COWE,1990,11,10,105,261,28
USR0000COWE,1990,11,11,99,233,22
USR0000COWE,1990,11,12,101,228,28
USR0000COWE,1990,11,13,85,206,22
USR0000COWE,1990,11,14,67,128,17
USR0000COWE,1990,11,15,86,194,28
USR0000COWE,1990,11,16,76,161,11
USR0000COWE,1990,11,17,85,161,22
USR0000COWE,1990,11,18,52,133,11
USR0000COWE,1990,11,19,16,61,0
USR0000COWE,1990,11,2,31,94,-11
USR0000COWE,1990,11,20,-7,33,-44
USR0000COWE,1990,11,21,8,89,-50
USR0000COWE,1990,11,22,38,156,-33
USR0000COWE,1990,11,23,64,194,0
USR0000COWE,1990,11,24,88,206,11
USR0000COWE,1990,11,25,37,144,-17
USR0000COWE,1990,11,26,-28,50,-89
USR0000COWE,1990,11,27,-12,128,-89
USR0000COWE,1990,11,28,27,144,-39
USR0000COWE,1990,11,29,37,139,-22
USR0000COWE,1990,11,3,59,167,-33
USR0000COWE,1990,11,30,35,133,-22
USR0000COWE,1990,11,31,-9999,-9999,-9999
USR0000COWE,1990,11,4,70,178,0
USR0000COWE,1990,11,5,62,133,17
USR0000COWE,1990,11,6,18,67,-6
USR0000COWE,1990,11,7,54,167,-39
USR0000COWE,1990,11,8,89,200,28
USR0000COWE,1990,11,9,97,233,17
USR0000COWE,1990,12,1,13,111,-39
USR0000COWE,1990,12,10,73,144,28
USR0000COWE,1990,12,11,22,44,6
USR0000COWE,1990,12,12,15,78,-22
USR0000COWE,1990,12,13,-3,44,-39
USR0000COWE,1990,12,14,-22,67,-83
USR0000COWE,1990,12,15,-27,6,-67
USR0000COWE,1990,12,16,-46,44,-106
USR0000COWE,1990,12,17,14,133,-72
USR0000COWE,1990,12,18,11,100,-33
USR0000COWE,1990,12,19,-61,-11,-89
USR0000COWE,1990,12,2,22,117,-56
USR0000COWE,1990,12,20,-109,-67,-167
USR0000COWE,1990,12,21,-133,-44,-183
USR0000COWE,1990,12,22,-114,-11,-200
USR0000COWE,1990,12,23,-63,50,-139
USR0000COWE,1990,12,24,-33,89,-111
USR0000COWE,1990,12,25,11,117,-50
USR0000COWE,1990,12,26,2,122,-56
USR0000COWE,1990,12,27,-7,106,-78
USR0000COWE,1990,12,28,-24,83,-94
USR0000COWE,1990,12,29,-51,39,-117
USR0000COWE,1990,12,3,42,133,-11
USR0000COWE,1990,12,30,-23,78,-100
USR0000COWE,1990,12,31,17,133,-56
USR0000COWE,1990,12,4,46,156,-17
USR0000COWE,1990,12,5,58,156,-11
USR0000COWE,1990,12,6,48,161,-17
USR0000COWE,1990,12,7,46,150,-11
USR0000COWE,1990,12,8,55,167,-6
USR0000COWE,1990,12,9,62,189,-6
USR0000COWE,1991,1,1,32,161,-33
USR0000COWE,1991,1,10,22,94,-28
USR0000COWE,1991,1,11,27,83,-6
USR0000COWE,1991,1,12,51,139,0
USR0000COWE,1991,1,13,44,144,-6
USR0000COWE,1991,1,14,49,150,-6
USR0000COWE,1991,1,15,35,111,-17
USR0000COWE,1991,1,16,62,128,22
USR0000COWE,1991,1,17,58,161,0
USR0000COWE,1991,1,18,44,144,-17
USR0000COWE,1991,1,19,56,144,-17
USR0000COWE,1991,1,2,31,144,-33
USR0000COWE,1991,1,20,8,56,-39
USR0000COWE,1991,1,21,18,78,-22
USR0000COWE,1991,1,22,34,144,-39
USR0000COWE,1991,1,23,31,139,-33
USR0000COWE,1991,1,24,21,122,-44
USR0000COWE,1991,1,25,18,122,-50
USR0000COWE,1991,1,26,14,117,-44
USR0000COWE,1991,1,27,0,100,-44
USR0000COWE,1991,1,28,6,106,-61
USR0000COWE,1991,1,29,28,144,-39
USR0000COWE,1991,1,3,31,72,6
USR0000COWE,1991,1,30,31,144,-44
USR0000COWE,1991,1,31,38,144,-22
USR0000COWE,1991,1,4,27,111,-28
USR0000COWE,1991,1,5,16,128,-50
USR0000COWE,1991,1,6,21,122,-39
USR0000COWE,1991,1,7,11,67,-6
USR0000COWE,1991,1,8,14,78,-17
USR0000COWE,1991,1,9,6,72,-22
USR0000COWE,1991,2,1,50,172,-17
USR0000COWE,1991,2,10,57,178,-11
USR0000COWE,1991,2,11,57,172,0
USR0000COWE,1991,2,12,52,144,-17
USR0000COWE,1991,2,13,76,183,6
USR0000COWE,1991,2,14,96,194,28
USR0000COWE,1991,2,15,89,156,39
USR0000COWE,1991,2,16,56,128,6
USR0000COWE,1991,2,17,23,89,-28
USR0000COWE,1991,2,18,38,150,-39
USR0000COWE,1991,2,19,76,194,0
USR0000COWE,1991,2,2,33,78,-6
USR0000COWE,1991,2,20,81,194,-6
USR0000COWE,1991,2,21,74,178,6
USR0000COWE,1991,2,22,56,172,-11
USR0000COWE,1991,2,23,83,178,-11
USR0000COWE,1991,2,24,77,189,-11
USR0000COWE,1991,2,25,79,183,6
USR0000COWE,1991,2,26,73,194,-6
USR0000COWE,1991,2,27,52,111,6
USR0000COWE,1991,2,28,39,83,17
USR0000COWE,1991,2,29,-9999,-9999,-9999
USR0000COWE,1991,2,3,38,122,-6
USR0000COWE,1991,2,30,-9999,-9999,-9999
USR0000COWE,1991,2,31,-9999,-9999,-9999
USR0000COWE,1991,2,4,62,172,-6
USR0000COWE,1991,2,5,50,106,6
USR0000COWE,1991,2,6,64,167,-6
USR0000COWE,1991,2,7,61,161,-6
USR0000COWE,1991,2,8,67,167,0
USR0000COWE,1991,2,9,55,167,-17
USR0000COWE,1991,3,1,9,17,0
USR0000COWE,1991,3,10,10,50,-39
USR0000COWE,1991,3,11,-19,33,-56
USR0000COWE,1991,3,12,-4,33,-39
USR0000COWE,1991,3,13,-9,22,-44
USR0000COWE,1991,3,14,-31,50,-89
USR0000COWE,1991,3,15,-29,56,-94
USR0000COWE,1991,3,16,-10,89,-100
USR0000COWE,1991,3,17,17,72,-22
USR0000COWE,1991,3,18,3,67,-22
USR0000COWE,1991,3,19,2,50,-22
USR0000COWE,1991,3,2,21,33,6
USR0000COWE,1991,3,20,-11,22,-33
USR0000COWE,1991,3,21,-11,61,-83
USR0000COWE,1991,3,22,2,106,-78
USR0000COWE,1991,3,23,13,83,-17
USR0000COWE,1991,3,24,1,44,-17
USR0000COWE,1991,3,25,-27,-6,-50
USR0000COWE,1991,3,26,-24,33,-61
USR0000COWE,1991,3,27,12,122,-72
USR0000COWE,1991,3,28,31,122,-67
USR0000COWE,1991,3,29,66,161,-17
USR0000COWE,1991,3,3,39,61,22
USR0000COWE,1991,3,30,84,189,0
USR0000COWE,1991,3,31,64,161,-6
USR0000COWE,1991,3,4,60,83,28
USR0000COWE,1991,3,5,-6,22,-39
USR0000COWE,1991,3,6,-13,67,-89
USR0000COWE,1991,3,7,21,111,-39
USR0000COWE,1991,3,8,41,150,-33
USR0000COWE,1991,3,9,38,117,-17
USR0000COWE,1991,4,1,26,67,-6
USR0000COWE,1991,4,10,2,61,-33
USR0000COWE,1991,4,11,13,83,-44
USR0000COWE,1991,4,12,57,144,-6
USR0000COWE,1991,4,13,64,161,-17
USR0000COWE,1991,4,14,67,150,-6
USR0000COWE,1991,4,15,31,89,-28
USR0000COWE,1991,4,16,11,83,-44
USR0000COWE,1991,4,17,23,94,-50
USR0000COWE,1991,4,18,47,133,-28
USR0000COWE,1991,4,19,64,161,-11
USR0000COWE,1991,4,2,41,144,-33
USR0000COWE,1991,4,20,41,89,11
USR0000COWE,1991,4,21,49,122,0
USR0000COWE,1991,4,22,61,133,-11
USR0000COWE,1991,4,23,63,161,-17
USR0000COWE,1991,4,24,37,100,0
USR0000COWE,1991,4,25,7,28,-6
USR0000COWE,1991,4,26,50,122,0
USR0000COWE,1991,4,27,58,144,-22
USR0000COWE,1991,4,28,88,200,-11
USR0000COWE,1991,4,29,103,211,11
USR0000COWE,1991,4,3,85,172,-17
USR0000COWE,1991,4,30,82,200,-6
USR0000COWE,1991,4,31,-9999,-9999,-9999
USR0000COWE,1991,4,4,84,189,11
USR0000COWE,1991,4,5,80,178,0
USR0000COWE,1991,4,6,46,89,11
USR0000COWE,1991,4,7,28,94,-33
USR0000COWE,1991,4,8,57,161,-33
USR0000COWE,1991,4,9,62,150,-11
USR0000COWE,1991,5,1,8,50,-17
USR0000COWE,1991,5,10,43,100,-17
USR0000COWE,1991,5,11,37,106,-17
USR0000COWE,1991,5,12,92,161,-6
USR0000COWE,1991,5,13,32,78,0
USR0000COWE,1991,5,14,65,150,-17
USR0000COWE,1991,5,15,139,206,22
USR0000COWE,1991,5,16,90,183,0
