ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CPIE,1986,7,1,-9999,-9999,-9999
USR0000CPIE,1986,7,10,-9999,-9999,-9999
USR0000CPIE,1986,7,11,-9999,-9999,-9999
USR0000CPIE,1986,7,12,-9999,-9999,-9999
USR0000CPIE,1986,7,13,-9999,-9999,-9999
USR0000CPIE,1986,7,14,-9999,-9999,-9999
USR0000CPIE,1986,7,15,-9999,-9999,-9999
USR0000CPIE,1986,7,16,172,233,111
USR0000CPIE,1986,7,17,154,233,89
USR0000CPIE,1986,7,18,162,256,83
USR0000CPIE,1986,7,19,198,311,94
USR0000CPIE,1986,7,2,-9999,-9999,-9999
USR0000CPIE,1986,7,20,246,350,161
USR0000CPIE,1986,7,21,237,333,183
USR0000CPIE,1986,7,22,212,294,156
USR0000CPIE,1986,7,23,171,250,111
USR0000CPIE,1986,7,24,183,267,111
USR0000CPIE,1986,7,25,167,267,111
USR0000CPIE,1986,7,26,163,233,94
USR0000CPIE,1986,7,27,175,261,100
USR0000CPIE,1986,7,28,171,256,100
USR0000CPIE,1986,7,29,189,289,100
USR0000CPIE,1986,7,3,-9999,-9999,-9999
USR0000CPIE,1986,7,30,213,306,128
USR0000CPIE,1986,7,31,224,328,144
USR0000CPIE,1986,7,4,-9999,-9999,-9999
USR0000CPIE,1986,7,5,-9999,-9999,-9999
USR0000CPIE,1986,7,6,-9999,-9999,-9999
USR0000CPIE,1986,7,7,-9999,-9999,-9999
USR0000CPIE,1986,7,8,-9999,-9999,-9999
USR0000CPIE,1986,7,9,-9999,-9999,-9999
USR0000CPIE,1986,8,1,233,333,161
USR0000CPIE,1986,8,10,227,328,150
USR0000CPIE,1986,8,11,221,322,139
USR0000CPIE,1986,8,12,222,322,133
USR0000CPIE,1986,8,13,227,322,144
USR0000CPIE,1986,8,14,232,339,150
USR0000CPIE,1986,8,15,221,317,156
USR0000CPIE,1986,8,16,199,294,150
USR0000CPIE,1986,8,17,211,306,139
USR0000CPIE,1986,8,18,219,333,128
USR0000CPIE,1986,8,19,224,328,144
USR0000CPIE,1986,8,2,232,311,144
USR0000CPIE,1986,8,20,219,306,161
USR0000CPIE,1986,8,21,216,317,139
USR0000CPIE,1986,8,22,194,278,122
USR0000CPIE,1986,8,23,206,311,111
USR0000CPIE,1986,8,24,201,283,133
USR0000CPIE,1986,8,25,226,322,139
USR0000CPIE,1986,8,26,203,278,144
USR0000CPIE,1986,8,27,214,311,144
USR0000CPIE,1986,8,28,199,278,144
USR0000CPIE,1986,8,29,178,261,122
USR0000CPIE,1986,8,3,231,333,150
USR0000CPIE,1986,8,30,176,272,94
USR0000CPIE,1986,8,31,194,294,117
USR0000CPIE,1986,8,4,237,333,161
USR0000CPIE,1986,8,5,227,322,156
USR0000CPIE,1986,8,6,214,306,133
USR0000CPIE,1986,8,7,213,311,122
USR0000CPIE,1986,8,8,217,328,139
USR0000CPIE,1986,8,9,229,333,144
