ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CPOT,1990,5,1,-9999,-9999,-9999
USR0000CPOT,1990,5,10,110,144,83
USR0000CPOT,1990,5,11,93,128,72
USR0000CPOT,1990,5,12,102,139,94
USR0000CPOT,1990,5,13,-9999,-9999,-9999
USR0000CPOT,1990,5,14,146,200,83
USR0000CPOT,1990,5,15,118,206,17
USR0000CPOT,1990,5,16,141,283,-6
USR0000CPOT,1990,5,17,139,244,22
USR0000CPOT,1990,5,18,131,228,11
USR0000CPOT,1990,5,19,103,167,33
USR0000CPOT,1990,5,2,114,206,28
USR0000CPOT,1990,5,20,132,222,72
USR0000CPOT,1990,5,21,149,256,56
USR0000CPOT,1990,5,22,-9999,-9999,-9999
USR0000CPOT,1990,5,23,-9999,-9999,-9999
USR0000CPOT,1990,5,24,-9999,-9999,-9999
USR0000CPOT,1990,5,25,-9999,-9999,-9999
USR0000CPOT,1990,5,26,-9999,-9999,-9999
USR0000CPOT,1990,5,27,-9999,-9999,-9999
USR0000CPOT,1990,5,28,-9999,-9999,-9999
USR0000CPOT,1990,5,29,-9999,-9999,-9999
USR0000CPOT,1990,5,3,144,244,11
USR0000CPOT,1990,5,30,-9999,-9999,-9999
USR0000CPOT,1990,5,31,-9999,-9999,-9999
USR0000CPOT,1990,5,4,203,322,61
USR0000CPOT,1990,5,5,211,328,72
USR0000CPOT,1990,5,6,219,344,100
USR0000CPOT,1990,5,7,177,300,28
USR0000CPOT,1990,5,8,106,256,6
USR0000CPOT,1990,5,9,87,228,0
USR0000CPOT,1990,6,1,124,206,78
USR0000CPOT,1990,6,10,40,128,-61
USR0000CPOT,1990,6,11,172,267,72
USR0000CPOT,1990,6,12,187,283,72
USR0000CPOT,1990,6,13,159,222,61
USR0000CPOT,1990,6,14,190,222,139
USR0000CPOT,1990,6,15,132,189,67
USR0000CPOT,1990,6,16,143,244,39
USR0000CPOT,1990,6,17,156,261,67
USR0000CPOT,1990,6,18,149,272,61
USR0000CPOT,1990,6,19,198,322,61
USR0000CPOT,1990,6,2,210,322,72
USR0000CPOT,1990,6,20,217,328,94
USR0000CPOT,1990,6,21,196,333,106
USR0000CPOT,1990,6,22,198,350,78
USR0000CPOT,1990,6,23,231,361,117
USR0000CPOT,1990,6,24,231,350,156
USR0000CPOT,1990,6,25,257,394,139
USR0000CPOT,1990,6,26,277,428,167
USR0000CPOT,1990,6,27,275,400,150
USR0000CPOT,1990,6,28,263,389,128
USR0000CPOT,1990,6,29,211,322,144
USR0000CPOT,1990,6,3,225,361,111
USR0000CPOT,1990,6,30,-9999,-9999,-9999
USR0000CPOT,1990,6,31,-9999,-9999,-9999
USR0000CPOT,1990,6,4,222,372,106
USR0000CPOT,1990,6,5,221,344,94
USR0000CPOT,1990,6,6,207,311,83
USR0000CPOT,1990,6,7,193,333,106
USR0000CPOT,1990,6,8,235,322,128
USR0000CPOT,1990,6,9,176,289,111
USR0000CPOT,1990,7,1,-9999,-9999,-9999
USR0000CPOT,1990,7,10,286,367,211
USR0000CPOT,1990,7,11,200,200,200
USR0000CPOT,1990,7,12,-9999,-9999,-9999
USR0000CPOT,1990,7,13,-9999,-9999,-9999
USR0000CPOT,1990,7,14,-9999,-9999,-9999
USR0000CPOT,1990,7,15,-9999,-9999,-9999
USR0000CPOT,1990,7,16,-9999,-9999,-9999
USR0000CPOT,1990,7,17,255,333,167
USR0000CPOT,1990,7,18,260,339,144
USR0000CPOT,1990,7,19,280,372,150
USR0000CPOT,1990,7,2,-9999,-9999,-9999
USR0000CPOT,1990,7,20,278,361,167
USR0000CPOT,1990,7,21,267,333,167
USR0000CPOT,1990,7,22,263,344,156
USR0000CPOT,1990,7,23,249,344,144
USR0000CPOT,1990,7,24,252,328,117
USR0000CPOT,1990,7,25,-9999,-9999,-9999
USR0000CPOT,1990,7,26,-9999,-9999,-9999
USR0000CPOT,1990,7,27,-9999,-9999,-9999
USR0000CPOT,1990,7,28,-9999,-9999,-9999
USR0000CPOT,1990,7,29,-9999,-9999,-9999
USR0000CPOT,1990,7,3,242,322,128
USR0000CPOT,1990,7,30,-9999,-9999,-9999
USR0000CPOT,1990,7,31,322,356,228
USR0000CPOT,1990,7,4,243,339,111
USR0000CPOT,1990,7,5,246,333,111
USR0000CPOT,1990,7,6,259,333,100
USR0000CPOT,1990,7,7,127,289,-267
USR0000CPOT,1990,7,8,-9999,-9999,-9999
USR0000CPOT,1990,7,9,-9999,-9999,-9999
USR0000CPOT,1990,8,1,274,322,100
USR0000CPOT,1990,8,10,264,350,156
USR0000CPOT,1990,8,11,257,356,172
USR0000CPOT,1990,8,12,254,328,178
USR0000CPOT,1990,8,13,203,289,139
USR0000CPOT,1990,8,14,182,244,122
USR0000CPOT,1990,8,15,182,256,100
USR0000CPOT,1990,8,16,191,283,94
USR0000CPOT,1990,8,17,230,306,83
USR0000CPOT,1990,8,18,231,283,83
USR0000CPOT,1990,8,19,217,278,72
