ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CQUA,1990,5,1,-9999,-9999,-9999
USR0000CQUA,1990,5,10,149,206,33
USR0000CQUA,1990,5,11,87,178,11
USR0000CQUA,1990,5,12,64,106,44
USR0000CQUA,1990,5,13,-9999,-9999,-9999
USR0000CQUA,1990,5,14,118,178,33
USR0000CQUA,1990,5,15,104,194,11
USR0000CQUA,1990,5,16,142,244,61
USR0000CQUA,1990,5,17,152,211,67
USR0000CQUA,1990,5,18,97,167,33
USR0000CQUA,1990,5,19,57,111,33
USR0000CQUA,1990,5,2,162,217,111
USR0000CQUA,1990,5,20,63,111,22
USR0000CQUA,1990,5,21,66,100,44
USR0000CQUA,1990,5,22,-141,61,-500
USR0000CQUA,1990,5,23,-173,-39,-417
USR0000CQUA,1990,5,24,9,89,-56
USR0000CQUA,1990,5,25,81,139,22
USR0000CQUA,1990,5,26,72,100,44
USR0000CQUA,1990,5,27,67,89,44
USR0000CQUA,1990,5,28,84,150,44
USR0000CQUA,1990,5,29,74,117,33
USR0000CQUA,1990,5,3,176,256,83
USR0000CQUA,1990,5,30,43,78,-6
USR0000CQUA,1990,5,31,-84,-6,-139
USR0000CQUA,1990,5,4,171,294,-272
USR0000CQUA,1990,5,5,203,289,139
USR0000CQUA,1990,5,6,118,178,22
USR0000CQUA,1990,5,7,78,178,-6
USR0000CQUA,1990,5,8,80,167,0
USR0000CQUA,1990,5,9,127,244,56
USR0000CQUA,1990,6,1,-87,-22,-150
USR0000CQUA,1990,6,10,124,167,56
USR0000CQUA,1990,6,11,153,206,61
USR0000CQUA,1990,6,12,96,178,28
USR0000CQUA,1990,6,13,92,167,22
USR0000CQUA,1990,6,14,151,217,89
USR0000CQUA,1990,6,15,156,222,111
USR0000CQUA,1990,6,16,151,217,100
USR0000CQUA,1990,6,17,143,228,83
USR0000CQUA,1990,6,18,163,228,100
USR0000CQUA,1990,6,19,177,267,111
USR0000CQUA,1990,6,2,34,133,-50
USR0000CQUA,1990,6,20,216,311,156
USR0000CQUA,1990,6,21,224,311,167
USR0000CQUA,1990,6,22,207,267,167
USR0000CQUA,1990,6,23,187,294,122
USR0000CQUA,1990,6,24,183,272,133
USR0000CQUA,1990,6,25,168,272,111
USR0000CQUA,1990,6,26,158,233,111
USR0000CQUA,1990,6,27,157,244,111
USR0000CQUA,1990,6,28,181,283,100
USR0000CQUA,1990,6,29,180,244,139
USR0000CQUA,1990,6,3,113,178,50
USR0000CQUA,1990,6,30,-9999,-9999,-9999
USR0000CQUA,1990,6,31,-9999,-9999,-9999
USR0000CQUA,1990,6,4,118,206,28
USR0000CQUA,1990,6,5,131,206,61
USR0000CQUA,1990,6,6,128,167,67
USR0000CQUA,1990,6,7,141,244,44
USR0000CQUA,1990,6,8,176,261,111
USR0000CQUA,1990,6,9,138,200,100
USR0000CQUA,1990,7,1,-9999,-9999,-9999
USR0000CQUA,1990,7,10,259,328,178
USR0000CQUA,1990,7,11,280,356,217
USR0000CQUA,1990,7,12,271,350,206
USR0000CQUA,1990,7,13,270,350,206
USR0000CQUA,1990,7,14,279,367,217
USR0000CQUA,1990,7,15,283,372,211
USR0000CQUA,1990,7,16,269,361,211
USR0000CQUA,1990,7,17,215,256,178
USR0000CQUA,1990,7,18,218,317,144
USR0000CQUA,1990,7,19,181,217,139
USR0000CQUA,1990,7,2,-9999,-9999,-9999
USR0000CQUA,1990,7,20,241,311,167
USR0000CQUA,1990,7,21,262,344,200
USR0000CQUA,1990,7,22,258,322,200
USR0000CQUA,1990,7,23,201,289,139
USR0000CQUA,1990,7,24,171,244,106
USR0000CQUA,1990,7,25,162,239,100
USR0000CQUA,1990,7,26,210,294,128
USR0000CQUA,1990,7,27,244,322,161
USR0000CQUA,1990,7,28,-9999,-9999,-9999
USR0000CQUA,1990,7,29,-9999,-9999,-9999
USR0000CQUA,1990,7,3,173,272,100
USR0000CQUA,1990,7,30,225,294,194
USR0000CQUA,1990,7,31,248,328,167
USR0000CQUA,1990,7,4,168,211,106
USR0000CQUA,1990,7,5,147,206,83
USR0000CQUA,1990,7,6,145,222,72
USR0000CQUA,1990,7,7,203,272,172
USR0000CQUA,1990,7,8,219,294,150
USR0000CQUA,1990,7,9,231,328,172
USR0000CQUA,1990,8,1,219,311,150
USR0000CQUA,1990,8,10,219,333,150
USR0000CQUA,1990,8,11,235,333,178
USR0000CQUA,1990,8,12,236,333,178
USR0000CQUA,1990,8,13,226,322,156
USR0000CQUA,1990,8,14,209,317,150
USR0000CQUA,1990,8,15,167,261,122
USR0000CQUA,1990,8,16,163,228,106
USR0000CQUA,1990,8,17,157,211,122
USR0000CQUA,1990,8,18,115,172,72
USR0000CQUA,1990,8,19,147,183,67
USR0000CQUA,1990,8,2,217,306,150
USR0000CQUA,1990,8,20,145,200,94
USR0000CQUA,1990,8,21,162,261,72
USR0000CQUA,1990,8,22,186,289,111
USR0000CQUA,1990,8,23,178,294,122
USR0000CQUA,1990,8,24,146,228,89
USR0000CQUA,1990,8,25,104,156,72
USR0000CQUA,1990,8,26,103,139,72
USR0000CQUA,1990,8,27,124,178,89
USR0000CQUA,1990,8,28,163,272,100
USR0000CQUA,1990,8,29,140,217,94
USR0000CQUA,1990,8,3,238,333,161
USR0000CQUA,1990,8,30,154,250,61
USR0000CQUA,1990,8,31,161,272,83
USR0000CQUA,1990,8,4,249,356,172
USR0000CQUA,1990,8,5,261,361,183
USR0000CQUA,1990,8,6,248,378,189
USR0000CQUA,1990,8,7,254,350,206
USR0000CQUA,1990,8,8,226,283,189
USR0000CQUA,1990,8,9,207,294,167
USR0000CQUA,1990,9,1,170,283,100
USR0000CQUA,1990,9,10,222,328,144
USR0000CQUA,1990,9,11,198,283,139
USR0000CQUA,1990,9,12,168,272,100
USR0000CQUA,1990,9,13,178,256,100
USR0000CQUA,1990,9,14,149,228,100
USR0000CQUA,1990,9,15,138,233,61
USR0000CQUA,1990,9,16,137,211,72
USR0000CQUA,1990,9,17,170,250,78
USR0000CQUA,1990,9,18,153,239,100
USR0000CQUA,1990,9,19,174,272,83
USR0000CQUA,1990,9,2,164,283,94
USR0000CQUA,1990,9,20,178,261,106
USR0000CQUA,1990,9,21,206,289,139
USR0000CQUA,1990,9,22,208,278,144
USR0000CQUA,1990,9,23,176,278,117
USR0000CQUA,1990,9,24,151,222,100
USR0000CQUA,1990,9,25,121,161,94
USR0000CQUA,1990,9,26,126,194,83
USR0000CQUA,1990,9,27,171,250,78
USR0000CQUA,1990,9,28,191,283,117
USR0000CQUA,1990,9,29,203,294,128
USR0000CQUA,1990,9,3,173,256,111
USR0000CQUA,1990,9,30,229,328,139
USR0000CQUA,1990,9,31,-9999,-9999,-9999
USR0000CQUA,1990,9,4,172,244,106
USR0000CQUA,1990,9,5,187,256,128
USR0000CQUA,1990,9,6,195,267,150
USR0000CQUA,1990,9,7,193,283,139
USR0000CQUA,1990,9,8,187,289,111
USR0000CQUA,1990,9,9,208,322,117
USR0000CQUA,1990,10,1,179,256,83
USR0000CQUA,1990,10,10,140,206,72
USR0000CQUA,1990,10,11,113,211,33
USR0000CQUA,1990,10,12,126,217,72
USR0000CQUA,1990,10,13,108,178,50
USR0000CQUA,1990,10,14,130,239,33
USR0000CQUA,1990,10,15,139,206,100
USR0000CQUA,1990,10,16,84,156,33
USR0000CQUA,1990,10,17,102,200,22
USR0000CQUA,1990,10,18,76,111,39
USR0000CQUA,1990,10,19,67,133,22
USR0000CQUA,1990,10,2,128,206,39
USR0000CQUA,1990,10,20,53,161,-22
USR0000CQUA,1990,10,21,98,150,56
USR0000CQUA,1990,10,22,91,161,61
USR0000CQUA,1990,10,23,107,200,44
USR0000CQUA,1990,10,24,144,239,78
USR0000CQUA,1990,10,25,163,228,117
USR0000CQUA,1990,10,26,133,206,72
USR0000CQUA,1990,10,27,133,206,83
USR0000CQUA,1990,10,28,98,122,44
USR0000CQUA,1990,10,29,62,139,17
USR0000CQUA,1990,10,3,158,228,67
USR0000CQUA,1990,10,30,83,100,56
USR0000CQUA,1990,10,31,51,89,6
USR0000CQUA,1990,10,4,176,261,100
USR0000CQUA,1990,10,5,106,150,22
USR0000CQUA,1990,10,6,67,167,0
USR0000CQUA,1990,10,7,75,156,-11
USR0000CQUA,1990,10,8,109,206,28
USR0000CQUA,1990,10,9,142,228,56
USR0000CQUA,1990,11,1,25,83,-22
USR0000CQUA,1990,11,10,89,172,22
USR0000CQUA,1990,11,11,94,172,44
USR0000CQUA,1990,11,12,127,194,56
USR0000CQUA,1990,11,13,74,133,6
USR0000CQUA,1990,11,14,-52,6,-156
USR0000CQUA,1990,11,15,-73,11,-233
USR0000CQUA,1990,11,16,-139,-17,-317
USR0000CQUA,1990,11,17,-97,-39,-161
USR0000CQUA,1990,11,18,-12,22,-33
USR0000CQUA,1990,11,19,-9,28,-33
USR0000CQUA,1990,11,2,34,111,-33
USR0000CQUA,1990,11,20,-12,17,-44
USR0000CQUA,1990,11,21,14,56,-17
USR0000CQUA,1990,11,22,-30,83,-417
USR0000CQUA,1990,11,23,29,111,-17
USR0000CQUA,1990,11,24,73,156,6
USR0000CQUA,1990,11,25,16,72,-33
USR0000CQUA,1990,11,26,-4,50,-39
USR0000CQUA,1990,11,27,14,67,-33
USR0000CQUA,1990,11,28,1,44,-17
USR0000CQUA,1990,11,29,46,94,-6
USR0000CQUA,1990,11,3,81,150,22
USR0000CQUA,1990,11,30,18,72,-22
USR0000CQUA,1990,11,31,-9999,-9999,-9999
USR0000CQUA,1990,11,4,73,117,44
USR0000CQUA,1990,11,5,34,106,-6
USR0000CQUA,1990,11,6,34,83,-11
USR0000CQUA,1990,11,7,44,72,-6
USR0000CQUA,1990,11,8,106,167,61
USR0000CQUA,1990,11,9,87,167,28
USR0000CQUA,1990,12,1,7,72,-39
USR0000CQUA,1990,12,10,28,56,-6
USR0000CQUA,1990,12,11,-6,39,-39
USR0000CQUA,1990,12,12,-23,0,-44
USR0000CQUA,1990,12,13,-34,-6,-56
USR0000CQUA,1990,12,14,-30,-17,-56
USR0000CQUA,1990,12,15,-10,17,-22
USR0000CQUA,1990,12,16,-3,33,-22
USR0000CQUA,1990,12,17,43,83,-11
USR0000CQUA,1990,12,18,15,72,-50
USR0000CQUA,1990,12,19,-80,-50,-106
USR0000CQUA,1990,12,2,-7,11,-33
USR0000CQUA,1990,12,20,-115,-72,-172
USR0000CQUA,1990,12,21,-164,-122,-183
USR0000CQUA,1990,12,22,-129,-78,-183
USR0000CQUA,1990,12,23,-88,-28,-128
