ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CQUI,1988,10,1,-9999,-9999,-9999
USR0000CQUI,1988,10,10,-9999,-9999,-9999
USR0000CQUI,1988,10,11,-9999,-9999,-9999
USR0000CQUI,1988,10,12,-9999,-9999,-9999
USR0000CQUI,1988,10,13,-9999,-9999,-9999
USR0000CQUI,1988,10,14,-9999,-9999,-9999
USR0000CQUI,1988,10,15,-9999,-9999,-9999
USR0000CQUI,1988,10,16,-9999,-9999,-9999
USR0000CQUI,1988,10,17,-9999,-9999,-9999
USR0000CQUI,1988,10,18,197,311,111
USR0000CQUI,1988,10,19,83,106,67
USR0000CQUI,1988,10,2,-9999,-9999,-9999
USR0000CQUI,1988,10,20,-9999,-9999,-9999
USR0000CQUI,1988,10,21,-9999,-9999,-9999
USR0000CQUI,1988,10,22,-9999,-9999,-9999
USR0000CQUI,1988,10,23,-9999,-9999,-9999
USR0000CQUI,1988,10,24,-9999,-9999,-9999
USR0000CQUI,1988,10,25,-9999,-9999,-9999
USR0000CQUI,1988,10,26,-9999,-9999,-9999
USR0000CQUI,1988,10,27,-9999,-9999,-9999
USR0000CQUI,1988,10,28,-172,-172,-172
USR0000CQUI,1988,10,29,-168,-150,-178
USR0000CQUI,1988,10,3,-9999,-9999,-9999
USR0000CQUI,1988,10,30,81,217,-172
USR0000CQUI,1988,10,31,114,244,33
USR0000CQUI,1988,10,4,-9999,-9999,-9999
USR0000CQUI,1988,10,5,-9999,-9999,-9999
USR0000CQUI,1988,10,6,-9999,-9999,-9999
USR0000CQUI,1988,10,7,-9999,-9999,-9999
USR0000CQUI,1988,10,8,-9999,-9999,-9999
USR0000CQUI,1988,10,9,-9999,-9999,-9999
USR0000CQUI,1988,11,1,116,178,72
USR0000CQUI,1988,11,10,29,44,17
USR0000CQUI,1988,11,11,39,78,-6
USR0000CQUI,1988,11,12,56,67,39
USR0000CQUI,1988,11,13,23,67,-6
USR0000CQUI,1988,11,14,6,61,-28
USR0000CQUI,1988,11,15,17,61,-6
USR0000CQUI,1988,11,16,11,33,-6
USR0000CQUI,1988,11,17,-4,44,-33
USR0000CQUI,1988,11,18,-17,44,-67
USR0000CQUI,1988,11,19,13,78,-50
USR0000CQUI,1988,11,2,66,100,44
USR0000CQUI,1988,11,20,28,106,-17
USR0000CQUI,1988,11,21,11,67,-22
USR0000CQUI,1988,11,22,50,67,22
USR0000CQUI,1988,11,23,21,67,-22
USR0000CQUI,1988,11,24,-25,-22,-28
USR0000CQUI,1988,11,25,-9999,-9999,-9999
USR0000CQUI,1988,11,26,-9999,-9999,-9999
USR0000CQUI,1988,11,27,-9999,-9999,-9999
USR0000CQUI,1988,11,28,-9999,-9999,-9999
USR0000CQUI,1988,11,29,-9999,-9999,-9999
USR0000CQUI,1988,11,3,85,111,61
USR0000CQUI,1988,11,30,-9999,-9999,-9999
USR0000CQUI,1988,11,31,-9999,-9999,-9999
USR0000CQUI,1988,11,4,94,183,44
USR0000CQUI,1988,11,5,97,211,28
USR0000CQUI,1988,11,6,78,150,33
USR0000CQUI,1988,11,7,59,122,17
USR0000CQUI,1988,11,8,-9999,-9999,-9999
USR0000CQUI,1988,11,9,-9999,-9999,-9999
USR0000CQUI,1989,9,1,-9999,-9999,-9999
USR0000CQUI,1989,9,10,194,317,94
USR0000CQUI,1989,9,11,187,311,94
USR0000CQUI,1989,9,12,191,300,100
USR0000CQUI,1989,9,13,211,317,78
USR0000CQUI,1989,9,14,194,333,94
USR0000CQUI,1989,9,15,206,322,100
USR0000CQUI,1989,9,16,129,200,100
USR0000CQUI,1989,9,17,83,111,61
USR0000CQUI,1989,9,18,81,144,56
USR0000CQUI,1989,9,19,121,239,33
USR0000CQUI,1989,9,2,-9999,-9999,-9999
USR0000CQUI,1989,9,20,143,256,50
USR0000CQUI,1989,9,21,162,283,61
USR0000CQUI,1989,9,22,181,311,89
USR0000CQUI,1989,9,23,172,278,89
