ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CRIC,1988,3,1,-9999,-9999,-9999
USR0000CRIC,1988,3,10,129,183,50
USR0000CRIC,1988,3,11,106,178,28
USR0000CRIC,1988,3,12,110,194,33
USR0000CRIC,1988,3,13,110,200,0
USR0000CRIC,1988,3,14,126,239,11
USR0000CRIC,1988,3,15,159,256,28
USR0000CRIC,1988,3,16,144,217,44
USR0000CRIC,1988,3,17,156,228,44
USR0000CRIC,1988,3,18,133,244,44
USR0000CRIC,1988,3,19,161,289,33
USR0000CRIC,1988,3,2,-9999,-9999,-9999
USR0000CRIC,1988,3,20,176,322,33
USR0000CRIC,1988,3,21,199,317,67
USR0000CRIC,1988,3,22,216,311,128
USR0000CRIC,1988,3,23,213,322,94
USR0000CRIC,1988,3,24,236,300,144
USR0000CRIC,1988,3,25,230,328,100
USR0000CRIC,1988,3,26,242,361,139
USR0000CRIC,1988,3,27,250,344,111
USR0000CRIC,1988,3,28,176,217,100
USR0000CRIC,1988,3,29,143,244,33
USR0000CRIC,1988,3,3,-9999,-9999,-9999
USR0000CRIC,1988,3,30,163,233,83
USR0000CRIC,1988,3,31,157,217,83
USR0000CRIC,1988,3,4,-9999,-9999,-9999
USR0000CRIC,1988,3,5,204,278,106
USR0000CRIC,1988,3,6,186,278,94
USR0000CRIC,1988,3,7,193,244,144
USR0000CRIC,1988,3,8,169,256,78
USR0000CRIC,1988,3,9,171,272,39
USR0000CRIC,1988,4,1,165,256,67
USR0000CRIC,1988,4,10,230,317,133
USR0000CRIC,1988,4,11,226,350,94
USR0000CRIC,1988,4,12,247,344,94
USR0000CRIC,1988,4,13,217,256,133
USR0000CRIC,1988,4,14,197,267,122
USR0000CRIC,1988,4,15,108,167,78
USR0000CRIC,1988,4,16,141,194,78
USR0000CRIC,1988,4,17,188,261,122
USR0000CRIC,1988,4,18,188,261,100
USR0000CRIC,1988,4,19,210,278,122
USR0000CRIC,1988,4,2,183,300,39
USR0000CRIC,1988,4,20,181,244,122
USR0000CRIC,1988,4,21,156,211,111
USR0000CRIC,1988,4,22,164,217,89
USR0000CRIC,1988,4,23,155,228,83
USR0000CRIC,1988,4,24,182,261,111
USR0000CRIC,1988,4,25,211,294,117
USR0000CRIC,1988,4,26,232,339,100
USR0000CRIC,1988,4,27,261,339,150
USR0000CRIC,1988,4,28,238,294,150
USR0000CRIC,1988,4,29,237,322,122
USR0000CRIC,1988,4,3,211,317,94
USR0000CRIC,1988,4,30,222,306,133
USR0000CRIC,1988,4,31,-9999,-9999,-9999
USR0000CRIC,1988,4,4,214,317,106
USR0000CRIC,1988,4,5,220,344,100
USR0000CRIC,1988,4,6,244,367,111
USR0000CRIC,1988,4,7,258,361,122
USR0000CRIC,1988,4,8,260,328,161
USR0000CRIC,1988,4,9,234,289,183
USR0000CRIC,1988,5,1,173,222,122
USR0000CRIC,1988,5,10,274,378,128
USR0000CRIC,1988,5,11,309,411,200
USR0000CRIC,1988,5,12,331,417,217
USR0000CRIC,1988,5,13,324,400,239
USR0000CRIC,1988,5,14,306,389,189
USR0000CRIC,1988,5,15,311,394,206
USR0000CRIC,1988,5,16,317,383,233
USR0000CRIC,1988,5,17,268,333,211
USR0000CRIC,1988,5,18,264,339,178
USR0000CRIC,1988,5,19,294,344,233
USR0000CRIC,1988,5,2,186,261,100
USR0000CRIC,1988,5,20,302,356,206
USR0000CRIC,1988,5,21,291,394,156
USR0000CRIC,1988,5,22,304,406,178
USR0000CRIC,1988,5,23,313,400,211
USR0000CRIC,1988,5,24,301,383,194
USR0000CRIC,1988,5,25,302,389,194
USR0000CRIC,1988,5,26,309,400,194
USR0000CRIC,1988,5,27,303,372,244
USR0000CRIC,1988,5,28,295,361,217
USR0000CRIC,1988,5,29,211,250,156
USR0000CRIC,1988,5,3,216,322,78
USR0000CRIC,1988,5,30,205,261,161
USR0000CRIC,1988,5,31,228,311,139
USR0000CRIC,1988,5,4,248,333,144
USR0000CRIC,1988,5,5,171,250,111
USR0000CRIC,1988,5,6,158,228,83
USR0000CRIC,1988,5,7,181,244,83
USR0000CRIC,1988,5,8,201,278,128
USR0000CRIC,1988,5,9,229,328,100
USR0000CRIC,1988,6,1,254,356,144
USR0000CRIC,1988,6,10,302,394,183
USR0000CRIC,1988,6,11,302,378,217
USR0000CRIC,1988,6,12,291,361,233
USR0000CRIC,1988,6,13,308,400,194
USR0000CRIC,1988,6,14,311,400,222
USR0000CRIC,1988,6,15,321,400,233
USR0000CRIC,1988,6,16,335,422,228
USR0000CRIC,1988,6,17,331,394,272
USR0000CRIC,1988,6,18,336,411,272
USR0000CRIC,1988,6,19,349,411,283
USR0000CRIC,1988,6,2,297,411,178
USR0000CRIC,1988,6,20,323,400,261
USR0000CRIC,1988,6,21,321,417,211
USR0000CRIC,1988,6,22,358,444,256
USR0000CRIC,1988,6,23,367,444,272
USR0000CRIC,1988,6,24,348,422,267
USR0000CRIC,1988,6,25,309,383,228
USR0000CRIC,1988,6,26,323,406,211
USR0000CRIC,1988,6,27,353,433,239
USR0000CRIC,1988,6,28,337,394,272
USR0000CRIC,1988,6,29,346,417,261
USR0000CRIC,1988,6,3,328,422,194
USR0000CRIC,1988,6,30,361,433,261
USR0000CRIC,1988,6,31,-9999,-9999,-9999
USR0000CRIC,1988,6,4,328,406,233
USR0000CRIC,1988,6,5,274,339,194
USR0000CRIC,1988,6,6,236,300,183
USR0000CRIC,1988,6,7,239,311,172
USR0000CRIC,1988,6,8,261,344,172
USR0000CRIC,1988,6,9,279,378,144
USR0000CRIC,1988,7,1,364,439,267
USR0000CRIC,1988,7,10,362,422,317
USR0000CRIC,1988,7,11,338,406,283
USR0000CRIC,1988,7,12,333,422,233
USR0000CRIC,1988,7,13,334,428,233
USR0000CRIC,1988,7,14,340,433,222
USR0000CRIC,1988,7,15,348,428,233
USR0000CRIC,1988,7,16,400,450,322
USR0000CRIC,1988,7,17,376,444,283
USR0000CRIC,1988,7,18,336,400,283
USR0000CRIC,1988,7,19,343,406,278
USR0000CRIC,1988,7,2,373,439,272
USR0000CRIC,1988,7,20,341,406,261
USR0000CRIC,1988,7,21,334,406,261
USR0000CRIC,1988,7,22,367,439,283
USR0000CRIC,1988,7,23,371,439,283
USR0000CRIC,1988,7,24,368,439,283
USR0000CRIC,1988,7,25,379,450,289
USR0000CRIC,1988,7,26,364,422,311
USR0000CRIC,1988,7,27,356,422,289
USR0000CRIC,1988,7,28,357,417,294
USR0000CRIC,1988,7,29,358,433,283
USR0000CRIC,1988,7,3,356,417,283
USR0000CRIC,1988,7,30,330,378,289
USR0000CRIC,1988,7,31,331,394,272
USR0000CRIC,1988,7,4,333,406,233
USR0000CRIC,1988,7,5,343,422,244
USR0000CRIC,1988,7,6,346,422,244
USR0000CRIC,1988,7,7,358,422,267
USR0000CRIC,1988,7,8,367,444,278
USR0000CRIC,1988,7,9,367,439,256
