ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSAW,1988,12,1,-9999,-9999,-9999
USR0000CSAW,1988,12,10,-9999,-9999,-9999
USR0000CSAW,1988,12,11,-9999,-9999,-9999
USR0000CSAW,1988,12,12,-9999,-9999,-9999
USR0000CSAW,1988,12,13,-9999,-9999,-9999
USR0000CSAW,1988,12,14,-9999,-9999,-9999
USR0000CSAW,1988,12,15,-9999,-9999,-9999
USR0000CSAW,1988,12,16,-9999,-9999,-9999
USR0000CSAW,1988,12,17,-9999,-9999,-9999
USR0000CSAW,1988,12,18,-9999,-9999,-9999
USR0000CSAW,1988,12,19,-9999,-9999,-9999
USR0000CSAW,1988,12,2,-9999,-9999,-9999
USR0000CSAW,1988,12,20,-9999,-9999,-9999
USR0000CSAW,1988,12,21,-9999,-9999,-9999
USR0000CSAW,1988,12,22,-9999,-9999,-9999
USR0000CSAW,1988,12,23,-9999,-9999,-9999
USR0000CSAW,1988,12,24,-9999,-9999,-9999
USR0000CSAW,1988,12,25,-9999,-9999,-9999
USR0000CSAW,1988,12,26,-9999,-9999,-9999
USR0000CSAW,1988,12,27,-9999,-9999,-9999
USR0000CSAW,1988,12,28,-9999,-9999,-9999
USR0000CSAW,1988,12,29,-9999,-9999,-9999
USR0000CSAW,1988,12,3,-9999,-9999,-9999
USR0000CSAW,1988,12,30,3,11,0
USR0000CSAW,1988,12,31,2,50,-28
USR0000CSAW,1988,12,4,-9999,-9999,-9999
USR0000CSAW,1988,12,5,-9999,-9999,-9999
USR0000CSAW,1988,12,6,-9999,-9999,-9999
USR0000CSAW,1988,12,7,-9999,-9999,-9999
USR0000CSAW,1988,12,8,-9999,-9999,-9999
USR0000CSAW,1988,12,9,-9999,-9999,-9999
USR0000CSAW,1989,1,1,-3,67,-28
USR0000CSAW,1989,1,10,11,72,-22
USR0000CSAW,1989,1,11,-12,67,-44
USR0000CSAW,1989,1,12,-6,83,-44
USR0000CSAW,1989,1,13,-4,33,-28
USR0000CSAW,1989,1,14,4,44,-17
USR0000CSAW,1989,1,15,13,39,0
USR0000CSAW,1989,1,16,20,83,-11
USR0000CSAW,1989,1,17,9,100,-28
USR0000CSAW,1989,1,18,12,117,-28
USR0000CSAW,1989,1,19,9,117,-33
USR0000CSAW,1989,1,2,21,72,-6
USR0000CSAW,1989,1,20,9,111,-33
USR0000CSAW,1989,1,21,17,61,-22
USR0000CSAW,1989,1,22,18,56,-17
USR0000CSAW,1989,1,23,-12,72,-50
USR0000CSAW,1989,1,24,1,94,-44
USR0000CSAW,1989,1,25,13,133,-28
USR0000CSAW,1989,1,26,19,133,-28
USR0000CSAW,1989,1,27,22,133,-22
USR0000CSAW,1989,1,28,20,133,-28
USR0000CSAW,1989,1,29,37,172,-22
USR0000CSAW,1989,1,3,22,72,0
USR0000CSAW,1989,1,30,44,178,-6
USR0000CSAW,1989,1,31,39,133,-6
USR0000CSAW,1989,1,4,19,56,11
USR0000CSAW,1989,1,5,6,28,-17
USR0000CSAW,1989,1,6,-1,28,-17
USR0000CSAW,1989,1,7,-1,44,-28
USR0000CSAW,1989,1,8,3,33,-17
USR0000CSAW,1989,1,9,22,44,11
USR0000CSAW,1989,2,1,-3,17,-28
USR0000CSAW,1989,2,10,28,94,-28
USR0000CSAW,1989,2,11,27,111,-28
USR0000CSAW,1989,2,12,-3,100,-39
USR0000CSAW,1989,2,13,-1,111,-56
USR0000CSAW,1989,2,14,7,122,-56
USR0000CSAW,1989,2,15,31,122,-33
USR0000CSAW,1989,2,16,53,111,17
USR0000CSAW,1989,2,17,52,89,28
USR0000CSAW,1989,2,18,57,78,39
USR0000CSAW,1989,2,19,62,111,39
USR0000CSAW,1989,2,2,-25,6,-39
USR0000CSAW,1989,2,20,75,144,39
USR0000CSAW,1989,2,21,64,100,44
USR0000CSAW,1989,2,22,68,144,22
USR0000CSAW,1989,2,23,48,150,-6
USR0000CSAW,1989,2,24,33,133,-22
USR0000CSAW,1989,2,25,51,156,-22
USR0000CSAW,1989,2,26,56,194,-22
USR0000CSAW,1989,2,27,49,161,-22
USR0000CSAW,1989,2,28,41,189,-28
USR0000CSAW,1989,2,29,-9999,-9999,-9999
USR0000CSAW,1989,2,3,-26,28,-56
USR0000CSAW,1989,2,30,-9999,-9999,-9999
USR0000CSAW,1989,2,31,-9999,-9999,-9999
USR0000CSAW,1989,2,4,-48,28,-94
USR0000CSAW,1989,2,5,-56,44,-117
USR0000CSAW,1989,2,6,-42,89,-117
