ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSCI,1990,4,1,-9999,-9999,-9999
USR0000CSCI,1990,4,10,-9999,-9999,-9999
USR0000CSCI,1990,4,11,-9999,-9999,-9999
USR0000CSCI,1990,4,12,-9999,-9999,-9999
USR0000CSCI,1990,4,13,-9999,-9999,-9999
USR0000CSCI,1990,4,14,-9999,-9999,-9999
USR0000CSCI,1990,4,15,-9999,-9999,-9999
USR0000CSCI,1990,4,16,-9999,-9999,-9999
USR0000CSCI,1990,4,17,118,161,78
USR0000CSCI,1990,4,18,92,139,67
USR0000CSCI,1990,4,19,84,111,72
USR0000CSCI,1990,4,2,-9999,-9999,-9999
USR0000CSCI,1990,4,20,102,150,72
USR0000CSCI,1990,4,21,89,128,56
USR0000CSCI,1990,4,22,88,128,67
USR0000CSCI,1990,4,23,91,111,72
USR0000CSCI,1990,4,24,92,133,61
USR0000CSCI,1990,4,25,164,206,117
USR0000CSCI,1990,4,26,195,233,156
USR0000CSCI,1990,4,27,162,228,106
USR0000CSCI,1990,4,28,110,172,72
USR0000CSCI,1990,4,29,93,139,50
USR0000CSCI,1990,4,3,-9999,-9999,-9999
USR0000CSCI,1990,4,30,94,161,44
USR0000CSCI,1990,4,31,-9999,-9999,-9999
USR0000CSCI,1990,4,4,-9999,-9999,-9999
USR0000CSCI,1990,4,5,-9999,-9999,-9999
USR0000CSCI,1990,4,6,-9999,-9999,-9999
USR0000CSCI,1990,4,7,-9999,-9999,-9999
USR0000CSCI,1990,4,8,-9999,-9999,-9999
USR0000CSCI,1990,4,9,-9999,-9999,-9999
USR0000CSCI,1990,5,1,132,194,61
USR0000CSCI,1990,5,10,96,139,67
USR0000CSCI,1990,5,11,84,117,56
USR0000CSCI,1990,5,12,92,156,56
USR0000CSCI,1990,5,13,99,156,56
USR0000CSCI,1990,5,14,85,117,61
USR0000CSCI,1990,5,15,79,128,44
USR0000CSCI,1990,5,16,104,167,61
USR0000CSCI,1990,5,17,79,117,50
USR0000CSCI,1990,5,18,81,128,44
