ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSHQ,1990,5,1,-9999,-9999,-9999
USR0000CSHQ,1990,5,10,66,83,44
USR0000CSHQ,1990,5,11,110,172,50
USR0000CSHQ,1990,5,12,92,100,83
USR0000CSHQ,1990,5,13,-9999,-9999,-9999
USR0000CSHQ,1990,5,14,147,189,100
USR0000CSHQ,1990,5,15,120,183,72
USR0000CSHQ,1990,5,16,159,217,100
USR0000CSHQ,1990,5,17,151,206,111
USR0000CSHQ,1990,5,18,122,189,72
USR0000CSHQ,1990,5,19,85,139,44
USR0000CSHQ,1990,5,2,166,217,122
USR0000CSHQ,1990,5,20,117,178,61
USR0000CSHQ,1990,5,21,142,206,89
USR0000CSHQ,1990,5,22,154,211,94
USR0000CSHQ,1990,5,23,80,172,22
USR0000CSHQ,1990,5,24,67,111,17
USR0000CSHQ,1990,5,25,114,167,61
USR0000CSHQ,1990,5,26,123,167,72
USR0000CSHQ,1990,5,27,89,117,61
USR0000CSHQ,1990,5,28,68,100,44
USR0000CSHQ,1990,5,29,83,117,61
USR0000CSHQ,1990,5,3,186,250,128
USR0000CSHQ,1990,5,30,106,156,67
USR0000CSHQ,1990,5,31,70,111,50
USR0000CSHQ,1990,5,4,207,256,139
USR0000CSHQ,1990,5,5,224,283,178
USR0000CSHQ,1990,5,6,218,283,178
USR0000CSHQ,1990,5,7,192,244,150
USR0000CSHQ,1990,5,8,162,206,139
USR0000CSHQ,1990,5,9,158,194,128
USR0000CSHQ,1990,6,1,97,161,39
USR0000CSHQ,1990,6,10,184,233,144
USR0000CSHQ,1990,6,11,179,228,150
USR0000CSHQ,1990,6,12,179,239,133
USR0000CSHQ,1990,6,13,161,183,139
USR0000CSHQ,1990,6,14,127,156,72
USR0000CSHQ,1990,6,15,109,150,72
USR0000CSHQ,1990,6,16,153,217,100
USR0000CSHQ,1990,6,17,178,239,128
USR0000CSHQ,1990,6,18,166,233,128
USR0000CSHQ,1990,6,19,204,267,133
USR0000CSHQ,1990,6,2,159,228,83
USR0000CSHQ,1990,6,20,252,311,189
USR0000CSHQ,1990,6,21,258,322,217
USR0000CSHQ,1990,6,22,219,283,178
USR0000CSHQ,1990,6,23,207,272,178
USR0000CSHQ,1990,6,24,213,283,178
USR0000CSHQ,1990,6,25,214,272,172
USR0000CSHQ,1990,6,26,221,278,172
USR0000CSHQ,1990,6,27,226,272,178
USR0000CSHQ,1990,6,28,210,267,150
USR0000CSHQ,1990,6,29,222,261,161
USR0000CSHQ,1990,6,3,187,244,139
USR0000CSHQ,1990,6,30,-9999,-9999,-9999
USR0000CSHQ,1990,6,31,-9999,-9999,-9999
USR0000CSHQ,1990,6,4,187,239,144
USR0000CSHQ,1990,6,5,188,233,139
USR0000CSHQ,1990,6,6,179,233,139
USR0000CSHQ,1990,6,7,194,244,150
USR0000CSHQ,1990,6,8,224,278,156
USR0000CSHQ,1990,6,9,186,228,150
USR0000CSHQ,1990,7,1,-9999,-9999,-9999
USR0000CSHQ,1990,7,10,268,333,206
USR0000CSHQ,1990,7,11,274,322,228
