ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSIM,1989,11,1,-9999,-9999,-9999
USR0000CSIM,1989,11,10,-9999,-9999,-9999
USR0000CSIM,1989,11,11,-9999,-9999,-9999
USR0000CSIM,1989,11,12,-9999,-9999,-9999
USR0000CSIM,1989,11,13,182,189,172
USR0000CSIM,1989,11,14,99,161,50
USR0000CSIM,1989,11,15,88,144,50
USR0000CSIM,1989,11,16,112,183,50
USR0000CSIM,1989,11,17,127,211,72
USR0000CSIM,1989,11,18,116,228,61
USR0000CSIM,1989,11,19,116,239,44
USR0000CSIM,1989,11,2,-9999,-9999,-9999
USR0000CSIM,1989,11,20,116,233,67
USR0000CSIM,1989,11,21,122,228,67
USR0000CSIM,1989,11,22,100,178,50
USR0000CSIM,1989,11,23,72,94,56
USR0000CSIM,1989,11,24,60,111,17
USR0000CSIM,1989,11,25,12,28,0
USR0000CSIM,1989,11,26,27,83,-6
USR0000CSIM,1989,11,27,37,117,-17
USR0000CSIM,1989,11,28,51,144,0
USR0000CSIM,1989,11,29,53,150,17
USR0000CSIM,1989,11,3,-9999,-9999,-9999
USR0000CSIM,1989,11,30,63,144,33
USR0000CSIM,1989,11,31,-9999,-9999,-9999
USR0000CSIM,1989,11,4,-9999,-9999,-9999
USR0000CSIM,1989,11,5,-9999,-9999,-9999
USR0000CSIM,1989,11,6,-9999,-9999,-9999
USR0000CSIM,1989,11,7,-9999,-9999,-9999
USR0000CSIM,1989,11,8,-9999,-9999,-9999
USR0000CSIM,1989,11,9,-9999,-9999,-9999
USR0000CSIM,1989,12,1,488,4844,22
USR0000CSIM,1989,12,10,39,128,-6
USR0000CSIM,1989,12,11,42,139,-6
USR0000CSIM,1989,12,12,56,150,0
USR0000CSIM,1989,12,13,81,178,33
USR0000CSIM,1989,12,14,89,178,39
USR0000CSIM,1989,12,15,105,211,61
USR0000CSIM,1989,12,16,76,172,22
USR0000CSIM,1989,12,17,47,144,-6
USR0000CSIM,1989,12,18,57,161,-6
USR0000CSIM,1989,12,19,71,178,22
USR0000CSIM,1989,12,2,78,167,39
USR0000CSIM,1989,12,20,50,94,0
USR0000CSIM,1989,12,21,73,156,28
USR0000CSIM,1989,12,22,80,178,28
USR0000CSIM,1989,12,23,88,189,39
USR0000CSIM,1989,12,24,90,161,61
USR0000CSIM,1989,12,25,97,189,56
USR0000CSIM,1989,12,26,86,189,39
USR0000CSIM,1989,12,27,54,128,17
USR0000CSIM,1989,12,28,59,128,11
USR0000CSIM,1989,12,29,67,144,28
USR0000CSIM,1989,12,3,88,172,39
USR0000CSIM,1989,12,30,85,183,22
USR0000CSIM,1989,12,31,45,89,6
USR0000CSIM,1989,12,4,106,172,72
USR0000CSIM,1989,12,5,95,156,61
USR0000CSIM,1989,12,6,84,172,39
USR0000CSIM,1989,12,7,75,178,28
USR0000CSIM,1989,12,8,52,94,28
USR0000CSIM,1989,12,9,62,122,28
USR0000CSIM,1990,1,1,16,28,-6
USR0000CSIM,1990,1,10,74,117,44
USR0000CSIM,1990,1,11,84,161,44
USR0000CSIM,1990,1,12,62,72,50
USR0000CSIM,1990,1,13,39,56,11
USR0000CSIM,1990,1,14,32,89,17
USR0000CSIM,1990,1,15,51,122,11
USR0000CSIM,1990,1,16,23,67,6
USR0000CSIM,1990,1,17,39,111,0
USR0000CSIM,1990,1,18,42,133,-6
USR0000CSIM,1990,1,19,281,2628,-17
USR0000CSIM,1990,1,2,24,106,-17
USR0000CSIM,1990,1,20,46,144,-11
USR0000CSIM,1990,1,21,63,167,11
USR0000CSIM,1990,1,22,67,167,0
USR0000CSIM,1990,1,23,76,161,11
USR0000CSIM,1990,1,24,67,167,11
USR0000CSIM,1990,1,25,61,122,22
USR0000CSIM,1990,1,26,34,106,-6
USR0000CSIM,1990,1,27,32,122,-28
USR0000CSIM,1990,1,28,28,72,-17
USR0000CSIM,1990,1,29,32,78,-11
USR0000CSIM,1990,1,3,27,117,-17
USR0000CSIM,1990,1,30,13,33,-6
USR0000CSIM,1990,1,31,0,33,-28
USR0000CSIM,1990,1,4,27,106,-6
USR0000CSIM,1990,1,5,66,167,6
USR0000CSIM,1990,1,6,29,44,6
USR0000CSIM,1990,1,7,27,67,0
USR0000CSIM,1990,1,8,84,100,67
USR0000CSIM,1990,1,9,83,100,50
USR0000CSIM,1990,2,1,1,22,-11
USR0000CSIM,1990,2,10,69,167,11
USR0000CSIM,1990,2,11,76,172,6
USR0000CSIM,1990,2,12,36,106,-17
USR0000CSIM,1990,2,13,-14,72,-50
USR0000CSIM,1990,2,14,-13,67,-72
USR0000CSIM,1990,2,15,-21,28,-50
USR0000CSIM,1990,2,16,-8,6,-17
USR0000CSIM,1990,2,17,-11,22,-39
USR0000CSIM,1990,2,18,6,100,-56
USR0000CSIM,1990,2,19,27,156,-56
USR0000CSIM,1990,2,2,21,94,-28
USR0000CSIM,1990,2,20,33,128,-28
USR0000CSIM,1990,2,21,91,211,17
USR0000CSIM,1990,2,22,108,250,28
USR0000CSIM,1990,2,23,95,200,22
USR0000CSIM,1990,2,24,129,239,56
USR0000CSIM,1990,2,25,196,239,122
USR0000CSIM,1990,2,26,148,256,50
USR0000CSIM,1990,2,27,138,250,56
USR0000CSIM,1990,2,28,127,228,61
USR0000CSIM,1990,2,29,-9999,-9999,-9999
USR0000CSIM,1990,2,3,11,28,-6
USR0000CSIM,1990,2,30,-9999,-9999,-9999
USR0000CSIM,1990,2,31,-9999,-9999,-9999
USR0000CSIM,1990,2,4,9,89,-33
USR0000CSIM,1990,2,5,3,44,-22
USR0000CSIM,1990,2,6,11,94,-44
USR0000CSIM,1990,2,7,-8,78,-67
USR0000CSIM,1990,2,8,11,33,-6
USR0000CSIM,1990,2,9,31,83,6
USR0000CSIM,1990,3,1,103,172,56
USR0000CSIM,1990,3,10,43,94,6
USR0000CSIM,1990,3,11,21,106,-22
USR0000CSIM,1990,3,12,22,100,-39
USR0000CSIM,1990,3,13,38,106,-28
USR0000CSIM,1990,3,14,41,72,6
USR0000CSIM,1990,3,15,117,206,17
USR0000CSIM,1990,3,16,114,183,72
USR0000CSIM,1990,3,17,113,183,67
USR0000CSIM,1990,3,18,120,211,39
USR0000CSIM,1990,3,19,126,217,67
USR0000CSIM,1990,3,2,78,83,72
USR0000CSIM,1990,3,20,138,250,50
USR0000CSIM,1990,3,21,151,250,78
USR0000CSIM,1990,3,22,121,233,67
USR0000CSIM,1990,3,23,128,239,56
USR0000CSIM,1990,3,24,145,267,50
USR0000CSIM,1990,3,25,114,211,56
USR0000CSIM,1990,3,26,122,233,44
USR0000CSIM,1990,3,27,147,267,67
USR0000CSIM,1990,3,28,141,256,56
USR0000CSIM,1990,3,29,143,267,61
USR0000CSIM,1990,3,3,71,117,50
USR0000CSIM,1990,3,30,149,267,50
USR0000CSIM,1990,3,31,142,261,44
USR0000CSIM,1990,3,4,39,61,17
USR0000CSIM,1990,3,5,69,156,11
USR0000CSIM,1990,3,6,93,211,11
USR0000CSIM,1990,3,7,57,72,39
USR0000CSIM,1990,3,8,52,139,0
USR0000CSIM,1990,3,9,72,150,-6
USR0000CSIM,1990,4,1,133,222,50
USR0000CSIM,1990,4,10,141,217,61
USR0000CSIM,1990,4,11,166,261,83
USR0000CSIM,1990,4,12,182,294,89
USR0000CSIM,1990,4,13,199,322,94
USR0000CSIM,1990,4,14,199,306,100
USR0000CSIM,1990,4,15,168,250,106
USR0000CSIM,1990,4,16,134,189,94
USR0000CSIM,1990,4,17,99,111,83
USR0000CSIM,1990,4,18,158,239,83
USR0000CSIM,1990,4,19,133,178,106
USR0000CSIM,1990,4,2,147,261,44
USR0000CSIM,1990,4,20,158,250,94
USR0000CSIM,1990,4,21,147,244,83
USR0000CSIM,1990,4,22,96,100,83
USR0000CSIM,1990,4,23,113,178,56
USR0000CSIM,1990,4,24,125,228,44
USR0000CSIM,1990,4,25,161,267,83
USR0000CSIM,1990,4,26,163,278,67
USR0000CSIM,1990,4,27,183,289,94
USR0000CSIM,1990,4,28,141,222,61
USR0000CSIM,1990,4,29,114,211,39
USR0000CSIM,1990,4,3,187,317,94
USR0000CSIM,1990,4,30,143,244,50
USR0000CSIM,1990,4,31,-9999,-9999,-9999
USR0000CSIM,1990,4,4,161,300,106
USR0000CSIM,1990,4,5,144,250,89
USR0000CSIM,1990,4,6,141,217,67
USR0000CSIM,1990,4,7,121,200,83
USR0000CSIM,1990,4,8,83,94,72
USR0000CSIM,1990,4,9,137,244,50
USR0000CSIM,1990,5,1,183,294,72
USR0000CSIM,1990,5,10,139,211,83
USR0000CSIM,1990,5,11,150,239,61
USR0000CSIM,1990,5,12,134,217,89
USR0000CSIM,1990,5,13,157,267,56
USR0000CSIM,1990,5,14,162,261,78
USR0000CSIM,1990,5,15,171,267,72
USR0000CSIM,1990,5,16,173,261,78
USR0000CSIM,1990,5,17,168,250,94
USR0000CSIM,1990,5,18,131,200,72
USR0000CSIM,1990,5,19,80,89,67
USR0000CSIM,1990,5,2,206,311,117
USR0000CSIM,1990,5,20,90,122,67
USR0000CSIM,1990,5,21,103,122,89
USR0000CSIM,1990,5,22,96,111,72
USR0000CSIM,1990,5,23,80,156,33
USR0000CSIM,1990,5,24,92,172,11
USR0000CSIM,1990,5,25,121,194,61
USR0000CSIM,1990,5,26,93,111,78
USR0000CSIM,1990,5,27,106,117,83
USR0000CSIM,1990,5,28,124,178,78
USR0000CSIM,1990,5,29,111,156,89
USR0000CSIM,1990,5,3,223,333,122
USR0000CSIM,1990,5,30,81,94,50
USR0000CSIM,1990,5,31,64,117,39
USR0000CSIM,1990,5,4,233,344,128
USR0000CSIM,1990,5,5,232,328,122
USR0000CSIM,1990,5,6,184,272,89
USR0000CSIM,1990,5,7,146,250,56
USR0000CSIM,1990,5,8,159,272,56
USR0000CSIM,1990,5,9,184,283,67
USR0000CSIM,1990,6,1,109,189,33
USR0000CSIM,1990,6,10,183,272,111
USR0000CSIM,1990,6,11,182,289,94
USR0000CSIM,1990,6,12,168,272,94
USR0000CSIM,1990,6,13,165,261,78
USR0000CSIM,1990,6,14,178,272,94
USR0000CSIM,1990,6,15,171,267,106
USR0000CSIM,1990,6,16,164,256,89
USR0000CSIM,1990,6,17,167,256,94
USR0000CSIM,1990,6,18,208,317,100
USR0000CSIM,1990,6,19,248,356,156
USR0000CSIM,1990,6,2,155,222,78
USR0000CSIM,1990,6,20,274,389,189
USR0000CSIM,1990,6,21,265,372,167
USR0000CSIM,1990,6,22,221,283,144
USR0000CSIM,1990,6,23,219,311,111
USR0000CSIM,1990,6,24,214,294,133
USR0000CSIM,1990,6,25,207,294,117
USR0000CSIM,1990,6,26,209,306,117
USR0000CSIM,1990,6,27,209,294,128
USR0000CSIM,1990,6,28,221,317,128
USR0000CSIM,1990,6,29,232,311,150
USR0000CSIM,1990,6,3,158,217,106
USR0000CSIM,1990,6,30,227,322,139
USR0000CSIM,1990,6,31,-9999,-9999,-9999
USR0000CSIM,1990,6,4,177,278,78
USR0000CSIM,1990,6,5,189,278,100
USR0000CSIM,1990,6,6,172,239,111
USR0000CSIM,1990,6,7,197,311,83
USR0000CSIM,1990,6,8,633,4856,128
USR0000CSIM,1990,6,9,214,289,133
USR0000CSIM,1990,7,1,225,294,139
USR0000CSIM,1990,7,10,270,389,156
USR0000CSIM,1990,7,11,286,406,200
USR0000CSIM,1990,7,12,307,422,211
USR0000CSIM,1990,7,13,309,411,222
USR0000CSIM,1990,7,14,311,428,217
USR0000CSIM,1990,7,15,300,422,217
USR0000CSIM,1990,7,16,258,333,189
USR0000CSIM,1990,7,17,226,322,172
USR0000CSIM,1990,7,18,261,367,172
USR0000CSIM,1990,7,19,255,356,194
USR0000CSIM,1990,7,2,186,283,111
USR0000CSIM,1990,7,20,276,383,189
USR0000CSIM,1990,7,21,294,406,206
USR0000CSIM,1990,7,22,278,361,183
USR0000CSIM,1990,7,23,254,333,178
USR0000CSIM,1990,7,24,229,322,161
USR0000CSIM,1990,7,25,217,311,128
USR0000CSIM,1990,7,26,241,356,139
USR0000CSIM,1990,7,27,276,394,172
USR0000CSIM,1990,7,28,288,400,189
USR0000CSIM,1990,7,29,276,367,172
USR0000CSIM,1990,7,3,203,300,100
USR0000CSIM,1990,7,30,266,356,167
USR0000CSIM,1990,7,31,280,389,183
USR0000CSIM,1990,7,4,192,256,139
USR0000CSIM,1990,7,5,183,250,139
USR0000CSIM,1990,7,6,208,289,122
USR0000CSIM,1990,7,7,236,356,133
USR0000CSIM,1990,7,8,234,328,133
USR0000CSIM,1990,7,9,239,356,133
USR0000CSIM,1990,8,1,282,383,189
USR0000CSIM,1990,8,10,282,389,200
USR0000CSIM,1990,8,11,270,378,183
USR0000CSIM,1990,8,12,268,389,161
