ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSLA,1988,12,1,-9999,-9999,-9999
USR0000CSLA,1988,12,10,-9999,-9999,-9999
USR0000CSLA,1988,12,11,-9999,-9999,-9999
USR0000CSLA,1988,12,12,-9999,-9999,-9999
USR0000CSLA,1988,12,13,-9999,-9999,-9999
USR0000CSLA,1988,12,14,-9999,-9999,-9999
USR0000CSLA,1988,12,15,-9999,-9999,-9999
USR0000CSLA,1988,12,16,-9999,-9999,-9999
USR0000CSLA,1988,12,17,-9999,-9999,-9999
USR0000CSLA,1988,12,18,-9999,-9999,-9999
USR0000CSLA,1988,12,19,-9999,-9999,-9999
USR0000CSLA,1988,12,2,-9999,-9999,-9999
USR0000CSLA,1988,12,20,-9999,-9999,-9999
USR0000CSLA,1988,12,21,-9999,-9999,-9999
USR0000CSLA,1988,12,22,-9999,-9999,-9999
USR0000CSLA,1988,12,23,-9999,-9999,-9999
USR0000CSLA,1988,12,24,-9999,-9999,-9999
USR0000CSLA,1988,12,25,-9999,-9999,-9999
USR0000CSLA,1988,12,26,-9999,-9999,-9999
USR0000CSLA,1988,12,27,-9999,-9999,-9999
USR0000CSLA,1988,12,28,-9999,-9999,-9999
USR0000CSLA,1988,12,29,-9999,-9999,-9999
USR0000CSLA,1988,12,3,-9999,-9999,-9999
USR0000CSLA,1988,12,30,-22,-17,-28
USR0000CSLA,1988,12,31,-28,-6,-39
USR0000CSLA,1988,12,4,-9999,-9999,-9999
USR0000CSLA,1988,12,5,-9999,-9999,-9999
USR0000CSLA,1988,12,6,-9999,-9999,-9999
USR0000CSLA,1988,12,7,-9999,-9999,-9999
USR0000CSLA,1988,12,8,-9999,-9999,-9999
USR0000CSLA,1988,12,9,-9999,-9999,-9999
USR0000CSLA,1989,1,1,-21,-17,-22
USR0000CSLA,1989,1,10,-28,11,-50
USR0000CSLA,1989,1,11,-25,33,-50
USR0000CSLA,1989,1,12,-23,6,-50
USR0000CSLA,1989,1,13,-40,-17,-67
USR0000CSLA,1989,1,14,-58,-50,-61
USR0000CSLA,1989,1,15,-7,0,-22
USR0000CSLA,1989,1,16,6,33,-6
USR0000CSLA,1989,1,17,30,67,-11
USR0000CSLA,1989,1,18,64,133,33
USR0000CSLA,1989,1,19,38,61,6
USR0000CSLA,1989,1,2,14,67,-11
USR0000CSLA,1989,1,20,50,111,17
USR0000CSLA,1989,1,21,14,44,-6
USR0000CSLA,1989,1,22,-28,0,-67
USR0000CSLA,1989,1,23,-49,-11,-78
USR0000CSLA,1989,1,24,1,83,-56
USR0000CSLA,1989,1,25,23,61,-11
USR0000CSLA,1989,1,26,41,89,-6
USR0000CSLA,1989,1,27,39,122,6
USR0000CSLA,1989,1,28,57,117,0
USR0000CSLA,1989,1,29,94,144,72
USR0000CSLA,1989,1,3,11,83,-17
USR0000CSLA,1989,1,30,111,194,61
USR0000CSLA,1989,1,31,37,100,-44
USR0000CSLA,1989,1,4,-9999,-9999,-9999
USR0000CSLA,1989,1,5,-37,-33,-39
USR0000CSLA,1989,1,6,-47,-33,-56
USR0000CSLA,1989,1,7,-48,-22,-61
USR0000CSLA,1989,1,8,-21,0,-50
USR0000CSLA,1989,1,9,8,22,0
USR0000CSLA,1989,2,1,-64,-44,-83
USR0000CSLA,1989,2,10,-13,17,-33
USR0000CSLA,1989,2,11,4,72,-28
USR0000CSLA,1989,2,12,-14,39,-50
USR0000CSLA,1989,2,13,-19,50,-56
USR0000CSLA,1989,2,14,8,89,-56
USR0000CSLA,1989,2,15,12,83,-17
USR0000CSLA,1989,2,16,3,11,-11
USR0000CSLA,1989,2,17,18,39,6
USR0000CSLA,1989,2,18,14,33,-6
