ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSOL,1990,5,1,-9999,-9999,-9999
USR0000CSOL,1990,5,10,138,183,83
USR0000CSOL,1990,5,11,113,172,61
USR0000CSOL,1990,5,12,71,83,61
USR0000CSOL,1990,5,13,-9999,-9999,-9999
USR0000CSOL,1990,5,14,128,178,72
USR0000CSOL,1990,5,15,116,189,39
USR0000CSOL,1990,5,16,135,206,44
USR0000CSOL,1990,5,17,137,200,72
USR0000CSOL,1990,5,18,108,150,61
USR0000CSOL,1990,5,19,69,94,44
USR0000CSOL,1990,5,2,166,200,128
USR0000CSOL,1990,5,20,79,122,33
USR0000CSOL,1990,5,21,96,150,61
USR0000CSOL,1990,5,22,108,133,94
USR0000CSOL,1990,5,23,60,111,22
USR0000CSOL,1990,5,24,68,122,11
USR0000CSOL,1990,5,25,99,150,33
USR0000CSOL,1990,5,26,97,128,67
USR0000CSOL,1990,5,27,97,139,78
USR0000CSOL,1990,5,28,108,150,67
USR0000CSOL,1990,5,29,92,139,67
USR0000CSOL,1990,5,3,170,239,94
USR0000CSOL,1990,5,30,51,106,6
USR0000CSOL,1990,5,31,40,83,11
USR0000CSOL,1990,5,4,202,294,111
USR0000CSOL,1990,5,5,203,283,111
USR0000CSOL,1990,5,6,169,222,67
USR0000CSOL,1990,5,7,99,178,22
USR0000CSOL,1990,5,8,104,189,17
USR0000CSOL,1990,5,9,136,228,67
USR0000CSOL,1990,6,1,67,139,-6
USR0000CSOL,1990,6,10,152,189,106
USR0000CSOL,1990,6,11,170,211,111
USR0000CSOL,1990,6,12,134,194,72
USR0000CSOL,1990,6,13,129,167,72
USR0000CSOL,1990,6,14,157,200,89
USR0000CSOL,1990,6,15,148,206,94
USR0000CSOL,1990,6,16,134,200,83
USR0000CSOL,1990,6,17,138,217,78
USR0000CSOL,1990,6,18,153,239,83
USR0000CSOL,1990,6,19,192,272,128
USR0000CSOL,1990,6,2,136,194,72
USR0000CSOL,1990,6,20,223,317,150
USR0000CSOL,1990,6,21,227,311,156
USR0000CSOL,1990,6,22,207,261,150
USR0000CSOL,1990,6,23,184,272,111
USR0000CSOL,1990,6,24,182,256,117
USR0000CSOL,1990,6,25,178,256,106
USR0000CSOL,1990,6,26,175,244,106
USR0000CSOL,1990,6,27,176,228,106
USR0000CSOL,1990,6,28,188,256,111
USR0000CSOL,1990,6,29,193,261,139
USR0000CSOL,1990,6,3,157,194,117
USR0000CSOL,1990,6,30,-9999,-9999,-9999
USR0000CSOL,1990,6,31,-9999,-9999,-9999
USR0000CSOL,1990,6,4,160,217,111
USR0000CSOL,1990,6,5,154,211,83
USR0000CSOL,1990,6,6,150,189,111
USR0000CSOL,1990,6,7,177,244,83
USR0000CSOL,1990,6,8,193,272,111
USR0000CSOL,1990,6,9,176,244,128
USR0000CSOL,1990,7,1,-9999,-9999,-9999
USR0000CSOL,1990,7,10,256,328,167
USR0000CSOL,1990,7,11,285,333,206
USR0000CSOL,1990,7,12,284,344,206
USR0000CSOL,1990,7,13,284,350,211
USR0000CSOL,1990,7,14,286,350,206
USR0000CSOL,1990,7,15,283,361,217
USR0000CSOL,1990,7,16,253,306,194
USR0000CSOL,1990,7,17,237,294,189
USR0000CSOL,1990,7,18,260,317,189
USR0000CSOL,1990,7,19,257,294,206
USR0000CSOL,1990,7,2,-9999,-9999,-9999
USR0000CSOL,1990,7,20,264,311,189
USR0000CSOL,1990,7,21,285,344,206
USR0000CSOL,1990,7,22,271,311,194
USR0000CSOL,1990,7,23,243,283,178
USR0000CSOL,1990,7,24,211,244,144
USR0000CSOL,1990,7,25,192,233,144
USR0000CSOL,1990,7,26,230,294,139
USR0000CSOL,1990,7,27,252,311,167
USR0000CSOL,1990,7,28,-9999,-9999,-9999
USR0000CSOL,1990,7,29,-9999,-9999,-9999
USR0000CSOL,1990,7,3,183,244,111
USR0000CSOL,1990,7,30,243,289,206
USR0000CSOL,1990,7,31,263,317,167
USR0000CSOL,1990,7,4,169,228,122
USR0000CSOL,1990,7,5,169,217,117
USR0000CSOL,1990,7,6,186,228,128
USR0000CSOL,1990,7,7,223,272,172
USR0000CSOL,1990,7,8,223,278,156
USR0000CSOL,1990,7,9,219,283,150
USR0000CSOL,1990,8,1,263,322,189
USR0000CSOL,1990,8,10,247,322,150
USR0000CSOL,1990,8,11,244,311,150
USR0000CSOL,1990,8,12,239,317,156
USR0000CSOL,1990,8,13,237,311,139
USR0000CSOL,1990,8,14,197,261,139
USR0000CSOL,1990,8,15,179,228,133
USR0000CSOL,1990,8,16,166,211,128
USR0000CSOL,1990,8,17,168,217,128
USR0000CSOL,1990,8,18,139,178,100
USR0000CSOL,1990,8,19,151,189,78
USR0000CSOL,1990,8,2,246,322,167
USR0000CSOL,1990,8,20,155,206,72
USR0000CSOL,1990,8,21,177,228,89
USR0000CSOL,1990,8,22,186,278,100
USR0000CSOL,1990,8,23,198,278,122
USR0000CSOL,1990,8,24,166,206,128
USR0000CSOL,1990,8,25,118,150,100
USR0000CSOL,1990,8,26,121,156,83
USR0000CSOL,1990,8,27,148,211,94
USR0000CSOL,1990,8,28,153,222,83
USR0000CSOL,1990,8,29,164,239,117
USR0000CSOL,1990,8,3,250,328,150
USR0000CSOL,1990,8,30,168,228,111
USR0000CSOL,1990,8,31,170,261,83
USR0000CSOL,1990,8,4,253,322,161
USR0000CSOL,1990,8,5,262,350,167
USR0000CSOL,1990,8,6,276,361,178
USR0000CSOL,1990,8,7,277,361,172
USR0000CSOL,1990,8,8,238,328,178
USR0000CSOL,1990,8,9,217,322,144
USR0000CSOL,1990,9,1,179,256,100
USR0000CSOL,1990,9,10,231,322,128
USR0000CSOL,1990,9,11,211,294,128
USR0000CSOL,1990,9,12,189,256,111
USR0000CSOL,1990,9,13,176,250,100
USR0000CSOL,1990,9,14,157,206,106
USR0000CSOL,1990,9,15,143,200,78
USR0000CSOL,1990,9,16,149,228,72
USR0000CSOL,1990,9,17,163,250,89
USR0000CSOL,1990,9,18,172,244,100
USR0000CSOL,1990,9,19,168,250,106
USR0000CSOL,1990,9,2,184,261,100
USR0000CSOL,1990,9,20,187,256,106
USR0000CSOL,1990,9,21,204,294,128
USR0000CSOL,1990,9,22,179,278,117
USR0000CSOL,1990,9,23,167,244,111
USR0000CSOL,1990,9,24,139,206,100
USR0000CSOL,1990,9,25,128,178,83
USR0000CSOL,1990,9,26,118,189,72
USR0000CSOL,1990,9,27,151,244,72
USR0000CSOL,1990,9,28,191,272,100
USR0000CSOL,1990,9,29,208,283,128
USR0000CSOL,1990,9,3,170,250,106
USR0000CSOL,1990,9,30,208,306,117
USR0000CSOL,1990,9,31,-9999,-9999,-9999
USR0000CSOL,1990,9,4,169,256,89
USR0000CSOL,1990,9,5,182,278,106
USR0000CSOL,1990,9,6,199,272,139
USR0000CSOL,1990,9,7,202,272,133
USR0000CSOL,1990,9,8,197,272,106
USR0000CSOL,1990,9,9,217,306,111
USR0000CSOL,1990,10,1,194,256,133
USR0000CSOL,1990,10,10,136,228,61
USR0000CSOL,1990,10,11,117,217,22
USR0000CSOL,1990,10,12,127,217,39
USR0000CSOL,1990,10,13,129,206,61
USR0000CSOL,1990,10,14,132,233,33
USR0000CSOL,1990,10,15,162,206,117
USR0000CSOL,1990,10,16,113,167,61
USR0000CSOL,1990,10,17,100,206,6
USR0000CSOL,1990,10,18,81,117,44
USR0000CSOL,1990,10,19,58,111,6
USR0000CSOL,1990,10,2,136,194,78
USR0000CSOL,1990,10,20,67,167,-6
USR0000CSOL,1990,10,21,103,183,28
USR0000CSOL,1990,10,22,127,189,72
USR0000CSOL,1990,10,23,111,228,33
USR0000CSOL,1990,10,24,144,244,61
USR0000CSOL,1990,10,25,142,222,72
USR0000CSOL,1990,10,26,134,222,61
USR0000CSOL,1990,10,27,126,217,50
USR0000CSOL,1990,10,28,135,167,94
USR0000CSOL,1990,10,29,101,178,44
