ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSOM,1988,12,1,-9999,-9999,-9999
USR0000CSOM,1988,12,10,-9999,-9999,-9999
USR0000CSOM,1988,12,11,-9999,-9999,-9999
USR0000CSOM,1988,12,12,-9999,-9999,-9999
USR0000CSOM,1988,12,13,-9999,-9999,-9999
USR0000CSOM,1988,12,14,-9999,-9999,-9999
USR0000CSOM,1988,12,15,-9999,-9999,-9999
USR0000CSOM,1988,12,16,-9999,-9999,-9999
USR0000CSOM,1988,12,17,-9999,-9999,-9999
USR0000CSOM,1988,12,18,-9999,-9999,-9999
USR0000CSOM,1988,12,19,-9999,-9999,-9999
USR0000CSOM,1988,12,2,-9999,-9999,-9999
USR0000CSOM,1988,12,20,-9999,-9999,-9999
USR0000CSOM,1988,12,21,-9999,-9999,-9999
USR0000CSOM,1988,12,22,-9999,-9999,-9999
USR0000CSOM,1988,12,23,-9999,-9999,-9999
USR0000CSOM,1988,12,24,-9999,-9999,-9999
USR0000CSOM,1988,12,25,-9999,-9999,-9999
USR0000CSOM,1988,12,26,-9999,-9999,-9999
USR0000CSOM,1988,12,27,-9999,-9999,-9999
USR0000CSOM,1988,12,28,-9999,-9999,-9999
USR0000CSOM,1988,12,29,-9999,-9999,-9999
USR0000CSOM,1988,12,3,-9999,-9999,-9999
USR0000CSOM,1988,12,30,28,44,17
USR0000CSOM,1988,12,31,32,89,6
USR0000CSOM,1988,12,4,-9999,-9999,-9999
USR0000CSOM,1988,12,5,-9999,-9999,-9999
USR0000CSOM,1988,12,6,-9999,-9999,-9999
USR0000CSOM,1988,12,7,-9999,-9999,-9999
USR0000CSOM,1988,12,8,-9999,-9999,-9999
USR0000CSOM,1988,12,9,-9999,-9999,-9999
USR0000CSOM,1989,1,1,34,89,6
USR0000CSOM,1989,1,10,52,100,0
USR0000CSOM,1989,1,11,29,117,-6
USR0000CSOM,1989,1,12,23,106,-11
USR0000CSOM,1989,1,13,5,22,-6
USR0000CSOM,1989,1,14,20,56,0
USR0000CSOM,1989,1,15,30,50,17
USR0000CSOM,1989,1,16,59,128,33
USR0000CSOM,1989,1,17,56,106,33
USR0000CSOM,1989,1,18,51,111,22
USR0000CSOM,1989,1,19,58,156,6
USR0000CSOM,1989,1,2,44,94,17
USR0000CSOM,1989,1,20,42,133,-6
USR0000CSOM,1989,1,21,28,50,6
USR0000CSOM,1989,1,22,44,94,-6
USR0000CSOM,1989,1,23,18,94,-22
