ID,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USR0000CSQU,1986,4,1,-9999,-9999,-9999
USR0000CSQU,1986,4,10,-9999,-9999,-9999
USR0000CSQU,1986,4,11,-9999,-9999,-9999
USR0000CSQU,1986,4,12,-9999,-9999,-9999
USR0000CSQU,1986,4,13,-9999,-9999,-9999
USR0000CSQU,1986,4,14,-9999,-9999,-9999
USR0000CSQU,1986,4,15,-9999,-9999,-9999
USR0000CSQU,1986,4,16,-9999,-9999,-9999
USR0000CSQU,1986,4,17,-9999,-9999,-9999
USR0000CSQU,1986,4,18,-9999,-9999,-9999
USR0000CSQU,1986,4,19,-9999,-9999,-9999
USR0000CSQU,1986,4,2,-9999,-9999,-9999
USR0000CSQU,1986,4,20,-9999,-9999,-9999
USR0000CSQU,1986,4,21,-9999,-9999,-9999
USR0000CSQU,1986,4,22,-9999,-9999,-9999
USR0000CSQU,1986,4,23,-9999,-9999,-9999
USR0000CSQU,1986,4,24,279,328,217
USR0000CSQU,1986,4,25,254,311,206
USR0000CSQU,1986,4,26,243,300,178
USR0000CSQU,1986,4,27,242,300,172
USR0000CSQU,1986,4,28,268,350,156
USR0000CSQU,1986,4,29,267,361,183
USR0000CSQU,1986,4,3,-9999,-9999,-9999
USR0000CSQU,1986,4,30,269,344,183
USR0000CSQU,1986,4,31,-9999,-9999,-9999
USR0000CSQU,1986,4,4,-9999,-9999,-9999
USR0000CSQU,1986,4,5,-9999,-9999,-9999
USR0000CSQU,1986,4,6,-9999,-9999,-9999
USR0000CSQU,1986,4,7,-9999,-9999,-9999
USR0000CSQU,1986,4,8,-9999,-9999,-9999
USR0000CSQU,1986,4,9,-9999,-9999,-9999
USR0000CSQU,1986,5,1,282,356,194
USR0000CSQU,1986,5,10,256,322,172
USR0000CSQU,1986,5,11,269,333,189
USR0000CSQU,1986,5,12,272,339,189
USR0000CSQU,1986,5,13,276,344,183
USR0000CSQU,1986,5,14,278,350,194
USR0000CSQU,1986,5,15,253,317,211
USR0000CSQU,1986,5,16,278,344,200
USR0000CSQU,1986,5,17,277,328,211
USR0000CSQU,1986,5,18,303,394,183
USR0000CSQU,1986,5,19,325,406,217
USR0000CSQU,1986,5,2,300,378,194
USR0000CSQU,1986,5,20,327,389,233
USR0000CSQU,1986,5,21,264,339,222
USR0000CSQU,1986,5,22,283,356,206
USR0000CSQU,1986,5,23,287,356,211
USR0000CSQU,1986,5,24,301,372,217
USR0000CSQU,1986,5,25,303,389,211
USR0000CSQU,1986,5,26,305,383,206
USR0000CSQU,1986,5,27,321,400,222
USR0000CSQU,1986,5,28,332,406,244
USR0000CSQU,1986,5,29,326,400,256
USR0000CSQU,1986,5,3,293,372,211
USR0000CSQU,1986,5,30,319,394,256
USR0000CSQU,1986,5,31,324,383,256
USR0000CSQU,1986,5,4,234,294,183
USR0000CSQU,1986,5,5,239,300,150
USR0000CSQU,1986,5,6,196,250,139
USR0000CSQU,1986,5,7,184,250,133
USR0000CSQU,1986,5,8,255,289,194
USR0000CSQU,1986,5,9,248,317,156
USR0000CSQU,1986,6,1,326,394,267
USR0000CSQU,1986,6,10,322,394,233
USR0000CSQU,1986,6,11,341,422,239
USR0000CSQU,1986,6,12,353,422,256
USR0000CSQU,1986,6,13,334,417,250
USR0000CSQU,1986,6,14,-9999,-9999,-9999
USR0000CSQU,1986,6,15,-9999,-9999,-9999
USR0000CSQU,1986,6,16,-9999,-9999,-9999
USR0000CSQU,1986,6,17,-9999,-9999,-9999
USR0000CSQU,1986,6,18,366,411,283
USR0000CSQU,1986,6,19,333,411,244
USR0000CSQU,1986,6,2,324,389,256
USR0000CSQU,1986,6,20,339,411,239
USR0000CSQU,1986,6,21,327,411,239
USR0000CSQU,1986,6,22,313,400,233
USR0000CSQU,1986,6,23,316,394,272
USR0000CSQU,1986,6,24,348,422,-89
USR0000CSQU,1986,6,25,379,439,283
USR0000CSQU,1986,6,26,364,450,278
USR0000CSQU,1986,6,27,357,433,294
USR0000CSQU,1986,6,28,353,417,283
